% Model:              ParameterStudy_2Array_bu_V2.mph
% Version:            COMSOL 5.2.0.166
% Date:               May 29 2017, 18:22
% Table:              Table 1 - bu_b (acpr.p_t*2*pi*r)
% freq (Hz)                                       g=0.02, acpr.p_t*2*pi*r (N)                       g=0.04, acpr.p_t*2*pi*r (N)                       g=0.06, acpr.p_t*2*pi*r (N)                       g=0.08, acpr.p_t*2*pi*r (N)                       g=0.1, acpr.p_t*2*pi*r (N)                        g=0.12, acpr.p_t*2*pi*r (N)                       g=0.14, acpr.p_t*2*pi*r (N)                       g=0.16, acpr.p_t*2*pi*r (N)                       g=0.18, acpr.p_t*2*pi*r (N)                       g=0.2, acpr.p_t*2*pi*r (N)
700                                               9056.713457372887+47729.33029369127i              9071.423757565568+47733.961379162676i             9086.277761069681+47742.07732436093i              9100.871146860272+47747.0745461222i               9115.147438139096+47751.492949329986i             9128.914592533325+47753.745235775i                9142.05723892346+47753.79908046926i               9154.486674551636+47752.04222042544i              9166.195682110905+47750.70557665469i              9177.005073509512+47746.74672938477i
705                                               9189.021102608702+48065.01892346506i              9204.24379897895+48069.473875892785i              9219.574104600464+48077.40284676706i              9234.596630257742+48082.154216710296i             9249.254267020793+48086.294822021686i             9263.350797706376+48088.23032140159i              9276.769228230574+48087.934186245446i             9289.420314777892+48085.80308495545i              9301.298899894904+48084.09178847037i              9312.223260742168+48079.73842708232i
710                                               9322.438393339857+48400.57212646457i              9338.18005661836+48404.83447293459i               9353.99082771428+48412.55980583068i               9369.444138896157+48417.04867005773i              9384.482377281349+48420.89518637375i              9398.905221477378+48422.49822660027i              9412.59419256263+48421.83732544067i               9425.459678051644+48419.318330299706i             9437.498814928354+48417.22011858547i              9448.52749427104+48412.46150272005i
715                                               9456.968569926057+48735.98682260904i              9473.235458223864+48740.03953050527i              9489.530480538588+48747.54407328069i              9505.415788869885+48751.75336924898i              9520.833406619944+48755.28918332929i              9535.578990387363+48756.543861817816i             9549.532727098776+48755.50327304594i              9562.604820863009+48752.58269268209i              9574.794951080465+48750.08536109306i              9585.91678334972+48744.91090309944i
720                                               9592.614996272523+49071.25997580769i              9609.413025107828+49075.085444200464i             9626.195677855296+49082.351551457476i             9642.513733634367+49086.263806942996i             9658.309004957102+49089.47198591503i              9673.373220746907+49090.362175369584i             9687.58539745063+49088.92685062793i               9700.855754344244+49085.59096611287i              9713.186774950269+49082.682381113744i             9724.390072194557+49077.081660789896i
725                                               9729.38117393925+49406.38857606307i               9746.715884296365+49409.96862857518i              9763.98910945403+49416.978158389764i              9780.740172776908+49420.575491996125i             9796.910841837414+49423.43878739235i              9812.289024843636+49423.948143077134i             9826.75274490784+49422.10291739576i               9840.212448734315+49418.33799479819i              9852.673699738649+49415.00610842967i              9863.946243448474+49408.96888886752i
730                                               9867.270754083758+49741.36961990687i              9885.147278577802+49744.685499287014i             9902.913548486988+49751.419811684966i             9920.097358861027+49754.68393508899i              9936.640611971694+49757.184788612205i             9952.327515407076+49757.296757307304i             9967.035290014855+49755.02636084243i              9980.674836278004+49750.81866528883i              9993.255087662099+49747.0515310052i               10004.584120287258+49740.567775649724i
735                                               10006.28754706625+50076.20008943006i              10024.710574319797+50079.23245405863i             10042.971857669958+50085.67241145483i             10060.58760224496+50088.5846336197i               10077.500038867516+50090.70518483243i             10093.489808273791+50090.40301565733i             10108.433534483012+50087.69208721418i             10122.242812583478+50083.02789860651i             10134.930250930669+50078.81368863411i             10146.302467193504+50071.87357969609i
740                                               10146.435529572136+50410.87693016825i             10165.40926690558+50413.60585273377i              10184.166993265362+50419.73182255081i             10202.213273793377+50422.27305610195i             10219.490876505417+50423.99515224216i             10235.777023226337+50423.2619095202i              10250.947961403122+50420.0950120157i              10264.916236410781+50414.96064255762i             10277.698451319362+50410.287666912176i            10289.099989461543+50402.88162524348i
745                                               10287.718849127124+50745.397028153704i            10307.246983737501+50747.80199671837i             10326.502006746176+50753.59385639451i             10344.976805446722+50755.74462634843i             10362.614909021608+50757.04983443922i             10379.190283011567+50755.868412781674i            10394.579033819075+50752.23005079684i             10408.694927990968+50746.61186446916i             10421.558898401958+50741.468591734745i            10432.975331524314+50733.587298281906i
750                                               10430.14182594011+51079.75718643448i              10450.227484724177+51081.81710808703i             10469.980044161228+51087.25425266137i             10488.880688658475+51088.99470770494i             10506.873948440965+51089.864329138654i            10523.730710597052+51088.21747088628i             10539.327191699305+51084.09211045i                10553.578665925463+51077.9765445531i              10566.510746545819+51072.3516245318i              10577.92707421022+51063.9860434486i
755                                               10573.708952020572+51413.95410137029i             10594.354660244573+51415.64730866776i             10614.60434315327+51420.70866113767i              10633.92747071122+51422.01858760695i              10652.269830504656+51422.43367534075i             10669.39942471075+51420.30399050342i              10685.19284741027+51415.67608122662i              10699.567182771305+51409.04967008039i             10712.553090809144+51402.93195842516i             10723.953731072925+51394.07336190939i
760                                               10718.424887574303+51747.98433902512i             10739.632526621965+51749.288599397834i            10760.378227726722+51753.95262399463i             10780.119748983288+51754.811462706726i            10798.80440866723+51754.75284121856i              10816.197533793227+51752.12283003483i             10832.176379820785+51746.97682968486i             10846.66015948095+51739.82623059001i              10859.684961857918+51733.20481544184i             10871.05374394378+51723.84481036178i
765                                               10864.294454706403+52081.84431197665i             10886.065219141483+52082.7368402419i              10907.30510080144+52086.981558774096i             10927.460163268384+52087.368424844106i            10946.479546393179+52086.81671294081i             10964.126128474669+52083.6687911424i              10980.278127151038+52077.98919274661i             10994.857218818226+52070.30121425576i             11007.90532010716+52063.16544496986i              11019.225477926704+52053.29600130395i
770                                               11011.322628508653+52415.53025682798i             11033.656982723933+52415.98773096495i             11055.388434684268+52419.79074234473i             11075.951386269684+52419.68444808686i             11095.297107881875+52418.620084660804i            11113.186272743797+52414.93661151346i             11129.498378780572+52408.70797304559i             11144.157917953758+52400.46960558135i             11157.21304925516+52392.80912354563i              11168.467215982466+52382.422604639265i
775                                               11159.514525643777+52749.03821275003i             11182.412160372327+52749.03679301025i             11204.631759603393+52752.37529606271i             11225.596112423264+52751.75437703534i             11245.258947406935+52750.15764983879i             11263.378993988928+52745.92095901403i             11279.837366172422+52739.1279356818i              11294.56174044298+52730.326384517706i             11307.606949440717+52722.13115607015i             11318.777153363184+52711.220350697564i
780                                               11308.875390563107+53082.36400129583i             11332.335179550995+53081.879352767086i            11355.038650454131+53084.73017236743i             11376.397045247712+53083.572916645746i            11396.36689745477+53081.42399409523i              11414.705272125864+53076.61642737848i             11431.295253151025+53069.24380652166i             11446.068087797907+53059.86652712349i             11459.085730223369+53051.12687852559i             11470.153392094657+53039.68503471666i
785                                               11459.41057953644+53415.503207778944i             11483.43053668421+53414.51052641238i              11506.612711998187+53416.850143002644i            11528.35688341686+53415.134623671554i             11548.622755880486+53412.41358970358i             11567.166028009835+53407.017533535414i            11583.872125738102+53399.05027210961i             11598.676270878788+53389.085007771566i            11611.648003641772+53379.791662214746i            11622.59393576798+53367.812522776985i
790                                               11611.125542693479+53748.451164407415i            11635.702779999005+53746.925206563144i            11659.357562677293+53748.72978905835i             11681.478305781939+53746.433899910844i            11702.028272316147+53743.120791862275i            11720.762111393129+53737.118716664205i            11737.567981809303+53728.541981258495i            11752.385501354513+53717.97680298773i             11765.292277559798+53708.12091951337i             11776.096684809436+53695.598759149885i
795                                               11764.025804333307+54081.20293543463i             11789.156490929665+54079.1180508958i              11813.276817345006+54080.36349292373i             11835.76395559939+54077.46498734743i              11856.585134068226+54073.53983679472i             11875.494288668297+54066.91433902137i             11892.382720782862+54057.713548306274i            11907.194883464548+54046.536896859565i            11920.01694955942+54036.11011111684i              11930.659432535402+54023.03977509711i
800                                               11918.11694171507+54413.75330443473i              11943.796264358303+54411.0834728672i              11968.374069150486+54411.74543230091i             11991.216424211718+54408.22196527195i             12012.294951777605+54403.66484174284i             12031.363230619201+54396.39868854937i             12048.316133616769+54386.55955807637i             12063.103406312048+54374.76028800373i             12075.82030158813+54363.75475468989i              12086.279862187663+54350.131698688136i
805                                               12073.4045626407+54746.096763885565i              12099.62668795057+54742.81563465815i              12124.652870776034+54742.86957636343i             12147.838234427956+54738.69874939561i             12169.159245061057+54733.489806848134i            12188.369500466913+54725.5659832433i              12205.367893325896+54715.07457241796i             12220.109936931973+54702.64199799025i             12232.70049560189+54691.05043483539i              12242.955545105558+54676.87076622629i
810                                               12229.894282077461+55078.22750715488i             12256.652320864881+55074.30844238648i             12282.116715435688+55073.729684016835i            12305.631823899284+55068.88909300281i             12327.179428423351+55063.00861889578i             12346.513542426846+55054.410377232314i            12363.537546266341+55043.25313831806i             12378.213214351505+55030.17708114006i             12390.655570390489+55017.9928142333i              12400.683940290228+55003.25333412937i
815                                               12387.591698140128+55410.139422925655i            12414.877672110015+55405.55554364132i             12440.769017767514+55404.31930431893i             12464.599528716093+55398.786590056596i            12486.3567976743+55392.215056870555i              12505.795671022619+55382.925968456686i            12522.824504419223+55371.08979740771i             12537.411844826482+55357.36063552417i             12549.683439779776+55344.57764578034i             12559.46239551201+55329.27589198721i
820                                               12546.502367700692+55741.82609213317i             12574.307178850544+55736.55032731754i             12600.613094970977+55734.63177908712i             12624.743567500433+55728.38468025789i             12646.692517070893+55721.102799207794i            12666.21606136651+55711.106807858414i             12683.228038809439+55698.57909677319i             12697.70429846538+55684.1878150138i               12709.781892384526+55670.8007855629i              12719.288150087303+55654.93507604015i
825                                               12706.63178194267+56073.28078736819i              12734.945184913344+56067.28592571567i             12761.652148408062+56064.660247459185i            12786.066026214345+56057.67665587894i             12808.187607428365+56049.66543262988i             12827.774740601888+56038.94690990467i             12844.747274344847+56025.715600715805i            12859.088907372885+56010.653842177395i            12870.948593004525+55996.65820640892i             12880.158339453701+55980.22768306234i
830                                               12867.985342119791+56404.4964747166i              12896.795919764956+56397.75521884027i             12923.889245923403+56394.39765242998i             12948.56884391875+56386.65567031145i              12970.842935371493+56377.896462412i               12990.47158071075+56366.4402642494i               13007.38118613254+56352.49390375578i              13021.563865452448+56336.75402181161i             13033.18108583565+56322.14601182679i              13042.070001617518+56305.15068432828i
835                                               13030.568335795993+56735.465817948374i            13059.863478215502+56727.95084077276i             13087.327305109578+56723.836749215065i            13112.253799676482+56715.31474813044i             13134.659203924923+56705.789323881276i            13154.30629278534+56693.58084838928i              13171.128597416639+56678.90864383897i             13185.127229952059+56662.48375484945i             13196.476799496388+56647.26045003876i             13205.02008551473+56629.701239437985i
840                                               13194.385913833254+57066.18118494635i             13224.151801051894+57057.86518797949i             13251.969077697688+57052.970115226926i            13277.122500752728+57043.64679649429i             13299.636944586258+57033.3373949651i              13319.27842292262+57020.36264103309i              13335.988179268259+57004.954516389866i            13349.776924843252+56987.83855242759i             13360.833053955046+56971.9979278798i              13369.005461294986+56953.87670969038i
845                                               13359.443068347438+57396.63465623573i             13389.664656849392+57387.49042942664i             13417.817135273499+57381.7901615276i              13443.176372296022+57371.64461770138i             13465.776510910566+57360.53400955458i             13485.38734980545+57346.7796359922i               13501.958452028313+57330.626288282394i            13515.510746011447+57312.81404983313i             13526.247069321536+57296.35502427147i             13534.02293251471+57277.674670784305i
850                                               13525.744611837388+57726.81803544057i             13556.40562506892+57716.818518250744i             13584.873856441094+57710.28914550147i             13610.416648578159+57699.300922644376i            13633.07807389368+57687.3724714532i               13652.632284022426+57672.825856305215i            13669.03778855273+57655.91881192872i              13682.326368298176+57637.40602005716i             13692.715976482918+57620.32850301856i             13700.069250125769+57601.09292451426i
855                                               13693.295157687095+58056.72286146859i             13724.378080697885+58045.84120483311i             13753.1414155661+58038.459184669i                 13778.84436587765+58026.60834497119i              13801.541618931997+58013.84606867401i             13821.012269144387+57998.495368387776i            13837.224419239265+57980.82703892774i             13850.221354295223+57961.61038673617i             13860.236829493146+57943.9153246763i              13867.141128207044+57924.12950925831i
860                                               13862.099102179847+58386.34042224723i             13893.585180355638+58374.550051074446i            13922.621773158507+58366.29227114095i             13948.460357070475+58353.55945567949i             13971.16694457894+58339.94808783439i              13990.526184532058+58323.782295946214i            14006.516438758352+58305.34603319988i             14019.193164851882+58285.423236188326i            14028.806619598283+58267.11265719436i             14035.235261236425+58246.78270898094i
865                                               14032.160608141732+58715.661769744i               14064.029850225808+58702.93644550787i             14093.316667953297+58693.78028678942i             14119.265247921221+58680.146777935835i            14141.9536629849+58665.6718284141i                14161.172749800342+58648.68083338798i             14176.911814421539+58629.470983298415i            14189.239171130517+58608.84082832692i             14198.422290741102+58589.91788517831i             14204.348342772744+58569.0510605184i
