% Model:              ParameterStudy_2Array_gu_V2.mph
% Version:            COMSOL 5.2.0.166
% Date:               May 30 2017, 10:30
% Table:              Table 1 - gu_b (acpr.p_t*2*pi*r)
% freq (Hz)                                       g=0.02, acpr.p_t*2*pi*r (N)                       g=0.04, acpr.p_t*2*pi*r (N)                       g=0.06, acpr.p_t*2*pi*r (N)                       g=0.08, acpr.p_t*2*pi*r (N)                       g=0.1, acpr.p_t*2*pi*r (N)                        g=0.12, acpr.p_t*2*pi*r (N)                       g=0.14, acpr.p_t*2*pi*r (N)                       g=0.16, acpr.p_t*2*pi*r (N)                       g=0.18, acpr.p_t*2*pi*r (N)                       g=0.2, acpr.p_t*2*pi*r (N)
700                                               1567.8925237389853+831.7846791753132i             3099.7797396692054+1535.7694922548924i            4595.171092128546+2122.5965884887605i             6053.507246556219+2601.7429224747953i             7474.148755392949+2981.2104753923923i             8856.418958750432+3268.2370271014834i             10199.607459951194+3469.239943719954i             11502.976094862739+3589.975225831529i             12765.748121215333+3635.4906061386414i            13987.213049440368+3610.9441624170254i
705                                               1583.9675596271807+825.5457967035805i             3131.106562585266+1522.167719409862i              4640.912714565434+2100.5977371567083i             6112.811255516044+2570.3970690296683i             7546.145225078237+2939.6422916512265i             8940.219756885359+3215.642905374508i              10294.305651476649+3404.88391335794i              11607.645616472953+3513.1861446164107i            12879.443186258128+3545.6583839759414i            14108.970782692533+3507.524585894744i
710                                               1600.0108286320503+819.112913109997i              3162.358678133627+1508.1768384220663i             4686.525086910807+2078.0138883383856i             6171.91942182022+2538.2699893722593i              7617.866731939492+2897.0968290424844i             9023.653474955107+3161.8762551333057i             10388.531190497519+3339.161624535367i             11711.723022740971+3434.839404279638i             12992.412367577394+3454.080318467657i             14229.854244347887+3402.175215482536i
715                                               1616.019833904507+812.4869587447533i              3193.531052374313+1493.7987159589293i             4732.0005836797245+2054.847858940571i             6230.821460583583+2505.3654760306426i             7689.300251052876+2853.5788955044964i             9106.704256122854+3106.9429571981846i             10482.265286891885+3272.080109054067i             11815.186481535355+3354.9432892064174i            13104.630677294184+3360.7660743189435i            14349.835176018749+3294.907252679637i
720                                               1631.9921418335282+805.6689603254445i             3224.6187748754123+1479.0354077383206i            4777.331759952695+2031.1027443373846i             6289.507321153629+2471.6876866254674i             7760.433041880674+2809.0937484588853i             9189.356574576646+3050.849424665826i              10575.489524717948+3203.647012849798i             11918.0145747922+3273.506779583479i               13216.073578493962+3265.7260942838657i            14468.885804635525+3185.732760647531i
725                                               1647.9253911646506+798.6600359610753i             3255.6170765460615+1463.8891487344274i            4822.51137753179+2006.7819039100682i              6347.967221201854+2437.2411249171378i             7831.252689931882+2763.6470715475134i             9271.595284353598+2993.602575495935i              10668.185917884528+3133.870564640215i             12020.186360660999+3190.5395162942677i            13326.717053549957+3168.971560520591i             14586.978916681324+3074.6646222476893i
730                                               1663.8173016848236+791.4613892220113i             3286.5213466175132+1448.362341508238i             4867.532429827612+1981.888943839593i              6406.191679132545+2402.030618263311i              7901.747146313549+2717.2449469570824i             9353.405665691758+2935.2097999444172i             10760.336962928177+3062.7595386689177i            12121.68143240101+3106.051759227069i              13436.537668818926+3070.5143486939382i            14704.087928405901+2961.7164901789424i
735                                               1679.6656823712178+784.074302291615i              3317.3271485640084+1432.4575427437003i            4912.388165176769+1956.4276972628477i             6464.171544433811+2366.0612916365644i             7971.904764746204+2669.8938235565315i             9434.773468359454+2875.6789230559016i             10851.925688320922+2990.323211839818i             12222.479973338004+3020.054339318773i             13545.512634945859+2970.3669752068076i            14820.186951206948+2846.902729685976i
740                                               1695.4684389117594+776.5001282531877i             3348.0302347811485+1416.177448091085i             4957.072108327512+1930.40220194383i               6521.898025604169+2329.3385384058415i             8041.714335590471+2621.6004810646646i             9515.684951435891+2815.018162528767i              10942.935699678603+2916.5713155759167i            12322.5628071973+2932.558604700744i               13653.619862048512+2868.5425379744142i            14935.250851400735+2730.238354270427i
745                                               1711.2235805011303+768.7402825735759i             3378.626559842541+1399.5248754364306i             5001.578079805839+1903.8166756435794i             6579.362715307346+2291.8679881156218i             8111.165116460485+2572.371990571167i              9596.126919053842+2753.236082303076i              11033.35122033982+2841.5139828002934i             12421.911443214174+2843.5763614491448i            13760.838009084862+2765.0546512551655i            15049.25530361594+2611.7389549801537i
750                                               1726.9292258303371+760.7962338529661i             3409.112292163012+1382.5027467433406i             5045.900212950526+1876.675489389484i              6636.557612451104+2253.655471541141i              8180.246859033421+2522.2156717287207i             9676.086751663159+2690.3415422486373i             11123.157126776441+2765.1616905157525i            12520.50811543894+2753.119809407554i              13867.14652679222+2659.917375148627i              15162.176837150319+2491.4206239457917i
