% Model:              ParameterStudy_2Array_r1u_V2.mph
% Version:            COMSOL 5.2.0.166
% Date:               May 29 2017, 17:16
% Table:              Table 4 - r1u_r1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g=0.02, acpr.p_t*2*pi*a (N)                       g=0.04, acpr.p_t*2*pi*a (N)                       g=0.06, acpr.p_t*2*pi*a (N)                       g=0.08, acpr.p_t*2*pi*a (N)                       g=0.1, acpr.p_t*2*pi*a (N)                        g=0.12, acpr.p_t*2*pi*a (N)                       g=0.14, acpr.p_t*2*pi*a (N)                       g=0.16, acpr.p_t*2*pi*a (N)                       g=0.18, acpr.p_t*2*pi*a (N)                       g=0.2, acpr.p_t*2*pi*a (N)
700                                               35479.15698899158+97500.65408250983i              35492.54809768124+97630.63416399193i              35515.645191586445+97754.27588389676i             35547.08870966869+97867.04265402732i              35585.48947755652+97966.97389771004i              35629.65424630965+98055.39505887468i              35678.45700503557+98134.00202882849i              35730.85584995517+98200.90386920205i              35785.8520876756+98259.4298590858i                35842.63265412048+98308.5904910094i
705                                               35884.87698616974+98016.80383798505i              35900.17450724144+98149.16149386833i              35925.339599051185+98274.84239046002i             35958.96552318658+98389.28260355943i              35999.6163643611+98490.518340371i                 36046.058449217846+98579.89643504705i             36097.128422067864+98659.13945768506i             36151.7505950006+98726.3595188191i                36208.89509438041+98784.9284991956i               36267.723853904274+98833.86808323028i
710                                               36291.30266359239+98530.30557636131i              36308.58288044224+98665.042327148i                36335.889632004175+98792.75361673687i             36371.76779037704+98908.84894821374i              36414.73358112425+99011.36226632728i              36463.51197814383+99101.66276793859i              36516.901492672165+99181.5007487795i              36573.792012970305+99248.99246159784i             36633.121981083335+99307.5535350457i              36694.02800787393+99356.21793400623i
715                                               36698.39958791763+99041.18164377435i              36717.73994354005+99178.29703302466i              36747.26292398216+99308.02783594426i              36785.46378701294+99425.75778683719i              36830.809773628396+99529.51956502683i             36881.98357509388+99620.7057446521i               36937.7447852681+99701.09543570993i               36996.94823808996+99768.81016691781i              37058.50020160799+99827.31050007346i              37121.511662232966+99875.64380409212i
720                                               37106.1346698024+99549.45620646348i               37127.61370427209+99688.94772304119i              37159.42832119714+99820.68498959825i              37200.02292722202+99940.02681724641i              37247.81464708095+100045.0056613817i              37301.442959121094+100137.0385309892i             37359.627760548094+100217.9344814161i             37421.18821108161+100285.82149221981i             37484.997930831574+100344.20628299488i            37550.142000513144+100392.15078539883i
725                                               37514.47634398251+100055.1551499489i              37538.173625516596+100197.01815315074i            37572.35604978464+100330.74659260057i             37615.4159243072+100451.67524460924i              37665.71912060246+100557.83742760633i             37721.860974430856+100650.67568685247i            37782.520913471286+100732.03019740719i            37846.48181515121+100800.03660610801i             37912.58419491771+100858.24905485797i             37979.886968353145+100905.74523209038i
730                                               37923.39474030604+100558.30595947112i             37949.39079014113+100702.53360760711i             37986.0178743679+100838.23562084374i              38031.61494302237+100960.72367294949i             38084.49547324494+101068.03307883994i             38143.20973031999+101161.63306622222i             38206.39590718063+101243.39614812905i             38272.80000414654+101311.46689731024i             38341.22899395584+101369.44818264763i             38410.71539087614+101416.43467883128i
735                                               38332.86184378094+101058.93758241642i             38361.23805506285+101205.52076553051i             38400.387246067156+101343.17638212991i            38448.59374156854+101467.19398065859i             38504.11747998723+101575.61205347405i             38565.46273130802+101669.92770242963i             38631.22569744582+101752.04704140624i             38700.11492147972+101820.12487035964i             38770.90341555399+101877.8141302529i              38842.59708128494+101924.22774707669i
740                                               38742.85164183091+101557.08027391565i             38773.69019275795+101706.00755124161i             38815.4394383052+101845.59437151502i              38866.32780162357+101971.10918108255i             38924.56053613616+102080.59487915109i             38988.59499595688+102175.57767979121i             39056.98464605639+102257.9986058657i              39128.40000833885+102326.02402888886i             39201.57973819053+102383.35834778643i             39275.50293954716+102429.13404038246i
745                                               39153.34025684183+102052.7654268447i              39186.72401851019+102204.02296960296i             39231.15166860859+102345.51611224396i             39284.79444483728+102472.493269304i               39345.80176851436+102583.00302567515i             39412.5831629123+102678.60199282116i              39483.64862193339+102761.26745654765i             39557.63010002427+102829.17874781047i             39633.231522986156+102886.09315027308i            39709.405039960075+102931.16402968537i
750                                               39564.30606252003+102546.02538769033i             39600.318501798116+102699.59692781488i            39647.50320513288+102842.96898375433i             39703.97293440215+102971.3710566102i              39767.82013221131+103082.85874612257i             39837.40558298142+103179.02039419374i             39911.19508867796+103261.87094993671i             39987.781509246466+103329.60413546527i            40065.833693000954+103386.03158704902i            40144.27670671157+103430.32892986557i
755                                               39975.72978243356+103036.89325995822i             40014.45486045103+103192.76004527509i             40064.47545631609+103337.98103826573i             40123.84456035978+103467.76799408338i             40190.59649163341+103580.1849077122i              40263.042396031466+103676.85323307915i            40339.60317750967+103759.82702986167i             40418.83209532951+103827.31588723097i             40499.36259900954+103883.18730307995i             40580.09257651995+103926.64056880314i
760                                               40387.59456953108+103525.4026968528i              40429.116636253224+103683.543453199i              40482.052042668794+103830.58080768079i            40544.39270757213+103961.70998704057i             40614.113684754644+104075.0048139957i             40689.47559173734+104172.1212852828i              40768.853744726955+104255.15406577715i            40850.76131857475+104322.3301319921i              40933.79607102523+104377.5743936837i              41016.82864757227+104420.1112503095i
765                                               40799.88606545082+104011.5876852635i              40844.289751004006+104171.97858600141i            40900.21884958723+104320.79710263199i             40965.602905393396+104453.22320206207i            41038.35656978516+104567.3420201131i              41116.689053364404+104664.84557693226i            41198.92941281035+104747.87068499293i             41283.55027900437+104814.6632730618i              41369.113454922466+104869.20725413274i            41454.462314401506+104910.75361238334i
770                                               41212.592438697015+104495.48232297713i            41259.962542130226+104658.09696629198i            41318.964060415434+104808.65880558714i            41387.462858272425+104942.3338684742i             41463.31205344981+105057.22014289688i             41544.66858394755+105155.04720340906i             41629.8145947216+105237.99560060562i              41717.1817389707+105304.33182513255i              41805.29563368569+105358.10042568341i             41892.97238800093+105398.5804822712i
775                                               41625.7044010673+104977.12059141892i              41676.12577719865+105141.9299856606i              41738.27816915771+105294.1946600525i              41809.96245675984+105429.06807624071i             41888.96910047214+105544.6626677446i              41973.40191441901+105642.74714536688i             42061.49550091963+105725.54743678516i             42151.64012934392+105791.35224894961i             42242.3250330197+105844.26843962676i              42332.33910118443+105883.60472979814i
780                                               42039.21520172609+105456.5361259429i              42092.7726468824+105623.50868335998i              42158.15397240463+105777.43305790823i             42233.09376856703+105913.4515723057i              42315.3187238941+106029.6927541371i               42402.87869342369+106127.96608365304i             42493.960128876424+106210.54455324025i            42586.911539012035+106275.74078538093i            42680.18561114475+106327.72566094462i             42772.54409896547+106365.83912062302i
785                                               42453.12059877816+105933.76198613213i             42509.89873621757+106102.86352506495i             42578.58654037333+106258.40182702143i             42656.851009494894+106395.50955729911i            42742.35395613283+106512.33304174588i             42833.09045869743+106610.72421500251i             42927.19823508916+106693.00487060743i             43022.98368777927+106757.5132905643i              43118.862832829574+106808.48613322806i            43213.57041403577+106845.29617075727i
790                                               42867.418808249364+106408.830428223i              42927.50197406765+106580.02418389887i             42999.57316699564+106737.1280211874i              43081.230494351366+106875.26648474632i            43170.0698008887+106992.60545911589i              43264.03059024295+107091.04107036022i             43361.20128973382+107172.94569856238i             43459.8458827731+107236.68507384008i              43558.343627891896+107286.56342640499i            43655.402427635665+107321.98800402266i
