% Model:              ParameterStudy_2Array_gu_V2.mph
% Version:            COMSOL 5.2.0.166
% Date:               May 30 2017, 10:30
% Table:              Table 2 - gu_g (acpr.p_t*2*pi*a)
% freq (Hz)                                       g=0.02, acpr.p_t*2*pi*a (N)                       g=0.04, acpr.p_t*2*pi*a (N)                       g=0.06, acpr.p_t*2*pi*a (N)                       g=0.08, acpr.p_t*2*pi*a (N)                       g=0.1, acpr.p_t*2*pi*a (N)                        g=0.12, acpr.p_t*2*pi*a (N)                       g=0.14, acpr.p_t*2*pi*a (N)                       g=0.16, acpr.p_t*2*pi*a (N)                       g=0.18, acpr.p_t*2*pi*a (N)                       g=0.2, acpr.p_t*2*pi*a (N)
700                                               375.9017948182591+2350.586099369867i              1499.4529706105727+7800.168746143803i             3364.8597345586204+15479.233495182896i            5966.754845092653+24956.163808493755i             9300.036467567828+35937.29026745307i              13359.725951117663+48216.9474558889i              18140.852049578836+61632.670804720074i            23638.348281687016+76044.48157826948i             29846.967400173202+91341.32508598678i             36761.18299206886+107426.36666953411i
705                                               380.0869851689772+2365.6595362459375i             1516.1583720024842+7849.114945498059i             3402.3785164643973+15574.741174983772i            6033.3486245953745+25107.892249117558i            9403.940782247519+36152.81701088987i              13509.15132662162+48502.364496899725i             18343.98138782951+61992.86483169177i              23903.330876160908+76483.26935680163i             30181.910071130318+91861.63756833172i             37174.137852994594+108030.33000169988i
710                                               384.27644146016996+2380.7120802664363i            1532.8827503080424+7897.980178921226i             3439.9444302237603+15670.071308785935i            6100.034199712349+25259.31136983081i              9508.00108055675+36367.86762998059i               13658.819251665864+48787.10272135975i             18547.464812897015+62352.13969244191i             24168.806304369366+76920.8573696998i              30517.51333140041+92380.42610738169i              37587.95132773917+108632.39764347598i
715                                               388.4697847899418+2395.7441429719347i             1549.6246691100464+7946.766089061483i             3477.5544187843493+15765.227566580645i            6166.806438802656+25410.427619076694i             9612.209802881136+36582.452037798976i             13808.719474733964+49071.176109992135i            18751.28919346127+62710.51393871703i              24434.758427442808+77357.26912877525i             30853.757948960803+92897.71943716098i             38002.60102704691+109232.603676196i
720                                               392.6666536449864+2410.7561598017064i             1566.3827615018406+7995.474412611874i             3515.2055812722388+15860.213826324152i            6233.660487235588+25561.247808275093i             9716.559820952883+36796.580703594766i             13958.842362545634+49354.59942801738i             18955.4422344933+63068.00716692474i               24701.17219023557+77792.52947916792i              31190.626049960043+93413.54793877865i             38418.066218396176+109830.98416374972i
725                                               396.86670617326286+2425.7485890011903i            1583.1557391118904+8044.1069760130395i            3552.8951931595607+15955.034164426816i            6300.59180299435+25711.77909517907i               9821.044493111609+37010.26462720574i              14109.178979054774+49637.38818884192i             19159.912584021855+63424.63996945585i             24968.033759724374+78226.66453667337i             31528.101292536478+93927.9435622278i              38834.328038898915+110427.5770574191i
730                                               401.0696223677277+2440.721910296754i              1599.9424007843215+8092.665690232792i             3590.620725672936+16049.692844179712i             6367.596190966341+25862.028963596742i             9925.657717544955+37223.51530780293i              14259.721161651825+49919.55860967725i             19364.68993617392+63780.433875048875i             25235.330658687428+78659.7016108478i              31866.169034813604+94440.93973028811i             39251.36970113641+111022.42207866118i
735                                               405.2751061364374+2455.676623345166i              1616.741640815142+8141.152544650679i              3628.3798642264046+16144.194302181018i            6434.669835545925+26012.005199579646i             10030.393982958522+37436.34470716404i             14410.461593724962+50201.127559287546i            19569.765129377225+64135.41127853156i             25503.051893200547+79091.66911432963i             32204.81649521286+94952.57122504796i              39669.17668971128+111615.56058062296i
740                                               409.4828872365554+2470.6132459689625i             1633.5524566530826+8189.569600090779i             3666.1705256780924+16238.54313285755i             6501.80933117679+26161.715864237136i              10135.24841608877+37648.76520768548i              14561.393872764962+50482.11249822884i             19775.130238601745+64489.59536036522i             25771.18807248707+79522.59645883551i              32544.03290330349+95462.87405768213i              40087.736946359764+112207.03538901421i
745                                               413.6927230485977+2485.532312189918i              1650.373955975828+8237.918981051402i              3703.990874197472+16332.744071186893i             6569.011710476375+26311.169263365748i             10240.216825515301+37860.78956545912i             14712.512573230051+50762.53141197481i             19980.778660609798+64843.00999654164i             26039.731519790024+79952.51393867815i             32883.809639434374+95971.88532239683i             40507.04104138593+112796.89062348976i
