% Model:              ParameterStudy_2Array_r1u_V2.mph
% Version:            COMSOL 5.2.0.166
% Date:               May 29 2017, 17:16
% Table:              Table 3 - r1u_g (acpr.p_t*2*pi*a)
% freq (Hz)                                       g=0.02, acpr.p_t*2*pi*a (N)                       g=0.04, acpr.p_t*2*pi*a (N)                       g=0.06, acpr.p_t*2*pi*a (N)                       g=0.08, acpr.p_t*2*pi*a (N)                       g=0.1, acpr.p_t*2*pi*a (N)                        g=0.12, acpr.p_t*2*pi*a (N)                       g=0.14, acpr.p_t*2*pi*a (N)                       g=0.16, acpr.p_t*2*pi*a (N)                       g=0.18, acpr.p_t*2*pi*a (N)                       g=0.2, acpr.p_t*2*pi*a (N)
700                                               3555.767557418388+6758.596717059857i              7069.489098571101+12294.46259657157i              10540.154072760119+17006.46091921131i             13966.4203836419+21078.084132988737i              17346.697356995595+24626.8106345924i              20679.16671670578+27728.352472091254i             23961.835731869145+30438.92665086333i             27192.5650667702+32805.236015834635i              30369.115108501977+34861.245367602096i            33489.10769182723+36634.677362739785i
705                                               3594.3359306732814+6786.955210077633i             7145.849290509752+12342.267320962923i             10653.498592769763+17067.571934133528i            14115.901038636875+21147.61102916045i             17531.417919484316+24700.6547106926i              20898.17611866421+27802.91872103365i              24214.122868892322+30510.99445025272i             27477.054452108427+32871.900141703925i            30684.66397944349+34919.834032549465i             33834.50206686499+36682.714019710416i
710                                               3632.9108123911374+6815.041768513454i             7222.219385797024+12389.528146423552i             10766.852296500436+17127.864876077292i            14265.384816655729+21216.041713449507i            17716.128806947265+24773.119108823972i            21117.15475319167+27875.81545838509i              24466.348174240593+30581.09581654749i             27761.439194624392+32936.29340902895i             31000.051816548414+34975.83980320784i             34179.66352728571+36727.848285889864i
715                                               3671.4881104344754+6842.859845194119i             7298.591414149672+12436.251894963301i             10880.203516832677+17187.349821240583i            14414.85649851696+21283.38937675623i              17900.81135356937+24844.219977727702i             21336.080571226128+27947.061623405792i            24718.48623523617+30649.252309060517i             28045.69049279249+32998.43983105641i              31315.246359378016+35029.288992781934i            34524.556238858895+36770.10864022314i
720                                               3710.0638951566316+6870.413117051941i             7374.957727869245+12482.445828190948i             10993.5410662205+17246.037492167474i              14564.30149775111+21349.668054266207i             18085.447674730804+24913.97449966028i             21554.93244796717+28016.677369633227i             24970.512700257157+30715.48687403359i             28329.780735937056+33058.36497310929i             31630.216660412272+35080.20962496432i             34869.145793999094+36809.525424755375i
725                                               3748.6344206828717+6897.705474401446i             7451.311043871136+12528.117626192605i             11106.85429895229+17303.939226525858i             14713.705942547447+21414.892584442317i            18270.020768117796+24982.400839883492i            21773.69030252103+28084.684005128573i             25222.40441638433+30779.8237759807i               28613.6836592539+33116.095875289255i              31944.933256857617+35128.631348308285i            35213.39939977505+36846.13075102841i
730                                               3787.1961452970013+6924.741008030788i             7527.6444839762935+12573.275362080265i            11220.133170841013+17361.06693947736i             14863.056754334122+21479.078559554353i            18454.514610649934+25049.518085695814i            21992.33521266974+28151.103920379108i             25474.1395614197+30842.288514743337i              28897.374492527913+33171.66095908102i             32259.368335496347+35174.58533272353i             35557.28605829542+36879.95838682064i
735                                               3825.745750706913+6951.5239941755135i             7603.9516129969115+12617.92747236438i             11333.368295667357+17417.433079848506i            15012.341722113431+21542.24226805224i             18638.914250204765+25115.346175408828i            22210.84952348487+28215.960504234332i             25725.697768868176+30902.907728823466i            29180.830100926578+33225.08991845662i             32573.495888688394+35218.10414873848i             35900.77673737967+36911.043624004116i
740                                               3864.2801599757627+6978.058877489529i             7680.22647418908+12662.082723357858i              11446.550997754905+17473.05058043094i             15161.549571702471+21604.40062919944i             18823.205891096528+25179.905817726994i            22429.216948539917+28279.278048488366i            25977.06024437238+30961.7090855916i               29464.02911616016+33276.41359613134i              32887.29185978087+35259.22163033278i              36243.844529630645+36939.423128401395i
745                                               3902.7965538926064+7004.350252135495i             7756.463621654821+12705.75017386612i              11559.673360012108+17527.932802753432i            15310.670029056846+21665.57112041112i             19007.376972245205+25243.218402159397i            22647.42266250113+28341.081641823614i             26228.209872295945+31018.721159221153i            29746.952056549424+33325.663846024865i            33200.73427612344+35297.97272233656i              36586.46479793214+36965.13477269868i
750                                               3941.292385602146+7030.402841148103i              7832.658149296978+12748.939134453765i             11672.728266925367+17582.093476786664i            15459.6938769339+21725.771697915527i              19191.416237155874+25305.30590111735i             22865.453384038377+28401.397053875116i            26479.131311133093+31073.973297272743i            30029.58143451399+33372.873382848185i             33513.80336817788+35334.39331363887i              36928.615305689396+36988.21745378303i
755                                               3979.765393293674+7056.221474242067i              7908.805715975515+12791.65912363332i              11785.709441900708+17635.546636061816i            15608.613004162402+21785.02071135112i             19375.313794811966+25366.190764558825i            23083.29744798513+28460.250610460986i             26729.811076555023+31127.495477026485i            30311.90185010525+33418.07562014863i              33826.481673154485+35368.52005748812i             37270.276330144225+37008.7108959398i
760                                               4018.2136107974297+7081.811064252241i             7984.902566521912+12833.919821337307i             11898.611478521774+17688.306548767072i            15757.420446905282+21843.3368130574i              19559.06117067437+25425.895808033692i             23300.944865806017+28517.66906094896i             26980.237611043147+31179.318152796048i            30593.900069443935+33461.30449812688i             34138.75412185909+35400.39018045941i              37611.43075719861+37026.65544162146i
765                                               4056.6353759343456+7107.176582422283i             8060.945548340658+12875.731020106243i             12011.42986526587+17740.387645421823i             15906.110421333933+21900.738862832546i            19742.651347125502+25484.444095119838i            23518.387373558817+28573.67943897342i             27230.401339095733+31229.472095500245i            30875.56508690291+33502.594302738624i             34450.60810751917+35430.041281716825i             37952.06415662599+37042.09183153244i
770                                               4095.0293364961926+7132.3230327563015i            8136.932123342295+12917.102574410947i             12124.161003323146+17791.80444378168i             16054.678347233054+21957.245829020583i            19926.07879271799+25541.85881528808i              23735.618466632273+28628.308917707807i            27480.294707246572+31277.988225990583i            31156.888170135462+33541.97947768152i             34762.03353557739+35457.51112436212i              38292.16483627978+37055.0609760856i
775                                               4133.394453761414+7157.255425681206i              8212.860375007922+12958.044348590043i             12236.802217219916+17842.57147166483i             16203.120862146063+22012.876686828262i            20109.33947977988+25598.163158345214i             23952.633420680286+28681.584661025066i            27729.912208186237+31324.89744357213i             31437.862887212457+33579.494430979175i            35073.022853614384+35482.83742076883i             38631.723874587035+37065.60372016057i
780                                               4171.730003460555+7181.978751254941i              8288.729010432628+12998.566163888361i             12349.351758011979+17892.703188415515i            16351.43582575931+22067.650314836028i             20292.430889966236+25653.380186573417i            24169.4292983077+28733.533671923054i              27979.250388463966+31370.23045135861i             31718.48511522236+33615.173337932065i             35383.57106071428+35506.05761383152i              38970.73513050645+37073.76060350466i
785                                               4210.035574148441+7206.497952190582i              8364.537357253379+13038.67774509355i              12461.808798905304+17942.213905755205i            16499.622314306176+22121.58539064153i             20475.35200751447+25707.53270579921i              24386.004941168656+28784.182639630842i            28228.30783944027+31414.017580064916i             31998.753029997904+33649.04994228792i             35693.67569583625+35527.20865626624i              39309.19523042462+37079.57161883007i
790                                               4248.3110629509465+7230.81789694577i              8440.2853553923+13078.388667290876i               12574.173423212222+17991.117708771493i            16647.680604904916+22174.70028667588i             20658.1033000697+25760.643136613096i              24602.360947375895+28833.55778685222i             28477.08517127802+31456.28861193089i              32278.667076687863+33681.15735751973i             36003.336804958926+35546.32678994736i             39647.10353182842+37083.075970058366i
795                                               4286.556668699407+7254.943353147437i              8515.973543644312+13117.708303255497i             12686.446604659512+18039.42837782374i             16795.6121498102+22227.012967163624i              20840.6866870817+25812.733386977263i              24818.49963415241+28881.68471861027i              28725.584969955285+31497.072606435864i            32558.229921186376+33711.527870088925i            36312.55688694463+35563.447327470545i             39984.462063514+37084.31183297285i
800                                               4324.772882467546+7278.878961609185i              8591.603041133303+13156.645771996136i             12798.63018011298+18087.159312121723i             16943.419540703777+22278.54088727034i             21023.105495867687+25863.82472746842i             25034.424985895155+28928.588274176545i            28973.811737462845+31536.397729527846i            32837.446382581955+33740.192746658555i            36621.34081830402+35578.604438029004i             40321.275442973565+37083.31612046134i
805                                               4362.960475579813+7302.629211209413i              8667.175523776223+13195.209888963836i             12910.726814874452+18134.32345573581i             17091.106463174216+22329.300895407883i            21205.364405612592+25913.937670382962i            25250.14258788804+28974.29238352575i              29221.771815496537+31574.291088017817i            33116.32334696545+33767.18204704788i              36929.69575730352+35591.830939686195i             40657.55077062394+37080.124254951596i
