% Model:              ParameterStudy_2Array_r1u_V2.mph
% Version:            COMSOL 5.2.0.166
% Date:               May 29 2017, 17:16
% Table:              Table 2 - r1u_r2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g=0.02, acpr.p_t*2*pi*a (N)                       g=0.04, acpr.p_t*2*pi*a (N)                       g=0.06, acpr.p_t*2*pi*a (N)                       g=0.08, acpr.p_t*2*pi*a (N)                       g=0.1, acpr.p_t*2*pi*a (N)                        g=0.12, acpr.p_t*2*pi*a (N)                       g=0.14, acpr.p_t*2*pi*a (N)                       g=0.16, acpr.p_t*2*pi*a (N)                       g=0.18, acpr.p_t*2*pi*a (N)                       g=0.2, acpr.p_t*2*pi*a (N)
700                                               31850.584320357568+28827.3026007998i              31244.506377597+24627.00352542767i                30611.621013018266+21036.564772013833i            29952.521450246728+17887.8884577092i              29268.17648304523+15082.395712647512i             28559.518678186534+12554.489330340974i            27827.63790650956+10258.093270939406i             27073.689976100617+8159.249769575109i             26298.958564833338+6232.282589914626i             25504.633622369707+4456.924976945294i
705                                               32157.778656589388+28803.747725350288i            31537.52666009993+24570.18931986048i              30889.886249815863+20951.139479492016i            30215.482533031205+17777.36217111497i             29515.32630121759+14949.630249996912i             28790.390919952308+12401.924154301554i            28041.811068481446+10087.87888522527i             27270.78884741332+7973.32830453504i               26478.657262321336+6032.4419838974445i            25666.652915614526+4244.832543408272i
710                                               32463.85215164148+28777.141635978205i             31829.238232440042+24510.346221907574i            31166.649297242988+20862.718062391028i            30476.743456197415+17663.884231935863i            29760.574785311157+14813.970347290604i            29019.158683684083+12246.535299950869i            28253.675920953185+9914.925764469133i             27465.376171622673+7784.767701575214i             26655.643076133183+5830.0768149616815i            25825.761128198337+4030.3453140547754i
715                                               32768.75534432453+28747.526973424272i             32119.59194819412+24447.518850600587i             31441.861422870552+20771.34724531316i             30736.25602000354+17547.503593590674i             30003.874406425606+14675.467302713589i            29245.775266611534+12088.37651774451i             28463.18675872918+9739.290208828063i              27657.40742736564+7593.626896865881i              26829.872868901708+5625.248729249208i             25981.916719533983+3813.5277068635396i
720                                               33072.44051906033+28714.948791476178i             32408.540445061706+24381.754227177084i            31715.475720667044+20677.07614103705i             30993.97389676682+17428.271579831784i             30245.179556238403+14534.17476269667i             29470.19593748829+11927.503879673091i             28670.299900910737+9561.03080833864i              27846.840171692067+7399.96707972025i              27001.30563659531+5418.021584120379i              26135.080337665095+3594.4463038916765i
725                                               33374.86192516661+28679.454449314213i             32696.038363863056+24313.10166742643i             31987.447329750663+20579.956142533963i            31249.852849264844+17306.241776210645i            30484.446765013025+14390.148612550945i            29692.37815395485+11763.975668813368i             28874.97390748915+9380.208331259451i              28033.63425565802+7203.851579519939i              27169.902722914285+5208.461333551031i             26285.21503223332+3373.1697350692143i
730                                               33675.97598757757+28641.09348148003i              32982.04255914365+24241.612651623458i             32257.733644793316+20480.040792611682i            31503.850940882072+17181.46989913524i             30721.63491130401+14243.446844682905i             29912.28177170417+11597.852246516326i             29077.169787726292+9196.88558995834i              28217.752031717708+7005.345730215367i             27335.6280254582+4996.635891100137i               26432.286459177754+3149.7685395527383i
735                                               33975.74150666985+28599.917446114483i             33266.51229900308+24167.340672791648i             32526.294515767015+20377.38563185067i             31755.9287351615+17054.013643210936i              30956.705421160284+14094.12940511133i             30129.86924314233+11429.195897816078i             29276.851198069016+9011.127285097806i             28399.158550619406+6804.516713095337i             27498.44819132149+4782.61497115174i               26576.263074770646+2924.315005369074i
740                                               34274.11984498287+28555.979752515635i             33549.40945188491+24090.34106421808i              32793.09243477938+20272.04802582412i              32006.049482496794+16923.932507846752i            31189.622454529115+13942.258019158377i            30345.105803250226+11258.070656036392i            29473.984627198362+8822.999828942122i             28577.82174541893+6601.433378643958i              27658.332799825006+4566.46990927319i              26717.116316764143+2696.8829882095597i
745                                               34571.075098529785+28509.335469203925i            33830.69865816052+24010.670807492294i             33058.09270772102+20164.086972738212i             32254.179291750203+16791.287604233337i            31420.35307658254+13787.895997560614i             30557.959640403402+11084.542107765741i            29668.53956610734+8632.571149007748i              28753.712600490344+6396.166048784346i             27815.254530127604+4348.273462893149i             26854.820770331982+2467.5477105418486i
750                                               34866.57425078566+28460.04111397989i              34110.34748441909+23928.38832245215i              33321.26360880281+20053.56289297619i              32500.287284762206+16656.141444180255i            31648.867411994663+13631.108024287492i            30768.402050142864+10908.677179499924i            29860.488661055908+8439.910473399046i             28926.805303375222+6188.786300726712i             27969.189311662285+4128.099593672662i             26989.35431676851+2236.3855424292383i
755                                               35160.58730728044+28408.154427643603i             34388.32655857273+23843.55324074522i              33582.57651589245+19940.53740215034i              32744.345731758887+16518.557712379108i            31875.138780160505+13471.959927815367i            30976.407569891362+10730.543907702035i            30049.807847458673+8245.088099453005i             29097.077377499678+5979.366734172941i             28120.116455383104+3906.023233150517i             27120.698262939997+2003.4737656480158i
760                                               35453.08740918042+28353.734133242906i             34664.60968395765+23756.226164817548i             33842.00602500429+19825.073069538295i             32986.33016593919+16378.601023992764i             32099.14380956124+13310.518437609959i             31181.954092805525+10550.21119397563i             30236.476462893494+8048.175147546407i             29264.50979400096+5767.980723603057i              28268.018764024273+3682.120033530635i             27248.837449600585+1768.8903230046797i
765                                               35744.05092420915+28296.839682966383i             34939.17393093036+23666.46841445177i              34099.530042302205+19707.233163931127i            33226.21947560466+16236.336669549915i             32320.862529722945+13146.850927864481i            31385.022959186812+10367.748547489042i            30420.477337607736+7849.243302023762i             29429.087060956637+5554.702157714142i             28412.882619697757+3456.466105606149i             27373.76033707082+1532.71355475512i
770                                               36033.457513581474+28237.530994876382i            35211.99970455799+23574.34176302463i              34355.129852242506+19587.081389104645i            33463.99597245601+16091.830349381553i             32540.278439299254+12981.025150659068i            31585.599024011957+10183.225816749007i            30601.79686110155+7648.364541517285i              29590.79728863024+5339.605168198548i              28554.698047421116+3229.1377460315575i            27495.45906664972+1295.0219244998896i
775                                               36321.29017387116+28175.868181903126i             35483.07078726296+23479.90816586799i              34608.79016073425+19464.68161129429i              33699.64543489509+15945.147899927082i             32757.378549170833+12813.108960974596i            31783.67069940557+9996.71291311955i               30780.425023581403+7445.610860918234i             29749.632229510764+5122.763850206106i             28693.458753357856+3000.211156319681i             27613.929496684177+1055.8937367399628i
780                                               36607.5352528656+28111.91127554999i               35752.374355543965+23383.2294832639i              34860.49911237081+19340.097581127735i             33933.15712541663+15796.355014438515i             32972.15339956043+12643.170035927997i             31979.229971089844+9808.279528559142i             30956.355431307467+7241.0539875679i               29905.587292154916+4904.251976980045i             28829.162136762858+2769.7621559894515i            27729.17121226345+815.4068487720908i
