% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 12 2017, 09:53
% Table:              Table 8 - tu_r4 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_side=0.02, acpr.p_t*2*pi*a (N)                  g_side=0.04, acpr.p_t*2*pi*a (N)                  g_side=0.06, acpr.p_t*2*pi*a (N)                  g_side=0.08, acpr.p_t*2*pi*a (N)                  g_side=0.1, acpr.p_t*2*pi*a (N)                   g_side=0.12, acpr.p_t*2*pi*a (N)                  g_side=0.14, acpr.p_t*2*pi*a (N)                  g_side=0.16, acpr.p_t*2*pi*a (N)                  g_side=0.18, acpr.p_t*2*pi*a (N)                  g_side=0.2, acpr.p_t*2*pi*a (N)
100                                               413.8559542491085+949.6893584925424i              412.89182247154076+905.9838825920604i             411.8907877445852+865.3168892856158i              410.8529622462162+827.3641639922508i              409.7783204129895+791.8362257783817i              408.6663690776668+758.4606753717347i              407.5187981232923+727.1068018373861i              406.33405719141183+697.5056848221518i             405.1127488282641+669.5222980596427i              403.8550196675235+643.0143872184397i
105                                               455.607017819828+987.2169851901618i               454.42520266063536+940.9868969377508i             453.1985025645003+897.9495464714872i              451.9270984129128+857.7646960753661i              450.61100297548717+820.1285018345411i             449.24965676134883+784.7548720479593i             447.84517638661765+751.5073247076548i             446.3957081513298+720.1029869183033i              444.90203726191294+690.4004136324223i             443.3643907046724+662.2503718927464i
110                                               499.0201097652483+1023.3891190903338i             497.5892089004269+974.5888418985879i              496.1043427516555+929.1361874622128i              494.565776496153+886.6749315170302i               492.9735725794761+846.8868928142605i              491.3271015164608+809.4722876273112i              489.62897499324623+774.2889776183265i             487.87699812731495+741.0400776981925i             486.07217201315655+709.5777792716748i             484.2148223970563+679.7458982913214i
115                                               544.0647816499513+1058.1497362460852i             542.3504355566043+1006.7323902801097i             540.5718556405784+958.8182774539998i              538.729410040268+914.0352275169596i               536.8232249354901+872.0507510199488i              534.8525985179433+832.5513752229074i              532.8207141621135+795.3894264798016i              530.7249961125909+760.2539482924366i              528.5666995915707+726.9908279393668i              526.3462711485618+695.4369609374827i
120                                               590.7066276042959+1091.4429761589347i             588.6714194239783+1037.3605239647147i             586.5604308176445+986.9377457038642i              584.3741550736155+939.7865698639323i              582.1127993233068+895.5602316063021i              579.7755888219801+853.9315750294492i              577.3663642063607+814.7475184153598i              574.8821275852425+777.6829754202436i              572.3244321231576+742.5775928463669i              569.6938713445625+709.2613796299042i
125                                               638.9076730326667+1123.2136665424573i             636.5110360140607+1066.4170603652492i             634.0257045704783+1013.4375137577827i             631.4523233271275+963.8711030096047i              628.7912011985568+917.356824546751i               626.0414920416123+873.553848227449i               623.2077889582504+832.3038176142667i              620.2866294138157+793.2674591875682i              617.2799144764753+756.2782471728789i              614.1884154851781+721.15934104352i
130                                               688.6267394898492+1153.4077056770861i             685.8248713232679+1093.8470365151165i             682.9199391169207+1038.2618813405472i             679.9127695057317+986.2325178080899i              676.8037981342346+937.3837442729312i              673.5921116027592+891.3610685456598i              670.2831610177924+848.0009988178128i              666.8729758037869+806.950018485388i               663.3638616536042+768.0355013350334i              659.7568037781178+731.0737977821863i
135                                               739.8197776513962+1181.9723394760802i             736.5655612361786+1119.5969879346453i             733.1923689775107+1061.356807091045i              729.7012452217872+1006.8163341733195i             726.0927819228461+955.5862142787568i              722.3660056624489+907.2983088191228i              718.5273421550357+861.7841358214993i              714.5722688921228+818.6758813900129i              710.5035603011402+777.7948952186171i              706.3224573358243+738.9507623586676i
140                                               792.4401662853314+1208.8563608852571i             788.68309660267+1143.615149921569i                784.7895127224929+1082.6701117966147i             780.7607179840974+1025.5701062907328i             776.597495423451+971.9116743208241i               772.2988224563362+921.3130501827802i              767.8722278204796+873.60091261616i                763.3125931246954+828.3930981998102i              758.6232336922235+785.5050130194845i              753.8056945123164+744.7395237136033i
145                                               846.4389782857002+1234.0102520350993i             842.1250952043232+1165.8516016670815i             837.6554514101243+1102.1516245063222i             833.0316566938777+1042.4435707510363i             828.254725724601+986.3099305820232i               823.3236017802586+933.3553342212481i              818.2470576165091+883.4017774758343i              813.019335424773+836.0526973756163i               807.6443723163977+791.1176409171103i              802.1240726819836+748.3928064619956i
150                                               901.7652163681141+1257.3862841735i                896.8370432751677+1186.2583681832346i             891.7320764966734+1119.753286494527i              886.452286525721+1057.3887525448317i              880.9989666169307+998.7332636666763i              875.3710456951682+943.3778729344813i              869.5786949111466+891.1400548033116i              863.6154744146967+841.6087991487462i              857.4860334597222+794.5878822965382i              851.1926989337553+749.8668875459907i
155                                               958.3660216181908+1278.9385863638468i             952.7625098488734+1204.7894910208247i             946.9593105327544+1135.4292239956656i             940.9588165705948+1070.360039810422i              934.7626537983098+1009.1365053188844i             928.36976195809+951.3361273422188i                921.7918791640973+896.7720255098175i              915.0218423662411+845.0186975408394i              908.0651134930182+795.8742412214423i              900.9245134633915+749.1216809280912i
160                                               1016.18685814439+1298.6231910308604i              1009.8433372137189+1221.4010758108245i            1003.2753039937801+1149.1357977333082i            996.4856436308229+1081.3142353061153i             989.476376269487+1017.4770917699063i              982.2464836687019+957.1883626104401i              974.809454509146+900.2569837790601i               967.1573634167155+846.2429185843968i              959.2965964820273+794.9386818870742i              951.2305493359461+746.120798018508i
165                                               1075.171676858195+1316.3980622789545i             1068.0198105366537+1236.051322517519i             1060.616611322875+1160.8316350870882i             1052.9655352865043+1090.21059042694i              1045.0690670433382+1023.7150995125638i            1036.9262682926824+960.8956854522606i             1028.552577773779+901.5572759221255i              1019.9392713075035+845.245260413718i              1011.0937823682095+791.7466696973232i             1002.0201718716519+740.8315894148466i
170                                               1135.263061101236+1332.2231113231173i             1127.230809405613+1248.7005427450474i             1118.9183489465859+1170.4776492064814i            1110.3297949995417+1097.010826048415i             1101.4681759813234+1027.813267744808i             1092.3326788881373+962.4220680164032i             1082.9409087736651+900.6383254915236i             1073.2833094641485+841.9928193666683i             1063.3684975755111+786.2671980408887i             1053.2013005306749+733.2251720177559i
