% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 12 2017, 09:52
% Table:              Table 1 - tu_t (acpr.p_t*2*pi*r)
% freq (Hz)                                       g_side=0.02, acpr.p_t*2*pi*r (N)                  g_side=0.04, acpr.p_t*2*pi*r (N)                  g_side=0.06, acpr.p_t*2*pi*r (N)                  g_side=0.08, acpr.p_t*2*pi*r (N)                  g_side=0.1, acpr.p_t*2*pi*r (N)                   g_side=0.12, acpr.p_t*2*pi*r (N)                  g_side=0.14, acpr.p_t*2*pi*r (N)                  g_side=0.16, acpr.p_t*2*pi*r (N)                  g_side=0.18, acpr.p_t*2*pi*r (N)                  g_side=0.2, acpr.p_t*2*pi*r (N)
100                                               192.982697666211+6924.028442877534i               192.94494675592114+6923.495577058257i             192.90640843769833+6923.594119149289i             192.86689663388714+6923.556528118356i             192.82632338950305+6923.674004689646i             192.7848033160544+6926.614903202199i              192.74146756274172+6923.786851936439i             192.69695238902375+6923.91148469717i              192.65086494211045+6923.968373151574i             192.60307579435047+6924.007918045815i
105                                               213.18012811142466+7269.572432388743i             213.14324507607972+7269.013306998575i             213.10588058139146+7269.117308187361i             213.0678237057857+7269.078345647444i              213.02899244099868+7269.20224025323i              212.98957528241152+7272.291323602611i             212.94846118839325+7269.321797137496i             212.9065326493824+7269.453212884428i              212.86331290267682+7269.513486228258i             212.81867624468313+7269.555551536975i
110                                               234.30282605262488+7615.052709504577i             234.26626485613338+7614.4674578357535i            234.22954207574392+7614.577058102778i             234.19241757566678+7614.536844515274i             234.15481492584826+7614.667265677092i             234.11700468876202+7617.904710583892i             234.07760177814043+7614.793689460088i             234.03776490634834+7614.931938296257i             233.99692154853446+7614.995622331087i             233.9549489538141+7615.040209918549i
115                                               256.35442694652994+7960.468363938532i             256.31766706750955+7959.857224612276i             256.2810827475049+7959.972671240684i              256.2443997098387+7959.9314351362955i             256.2075466177039+7960.0686006625865i             256.1708851357314+7963.454698387542i              256.1327205826985+7960.202270015552i              256.0945211853453+7960.347514426905i              256.05560535625466+7960.414748339933i             256.01585232643316+7960.4619745885i
120                                               279.3375556975391+8305.817904028336i              279.3001103688998+8305.181213801216i              279.2631987544108+8305.302853500803i              279.2265069329489+8305.260922924124i              279.18996806623784+8305.405150669285i             279.15404486047277+8308.940297047484i             279.11669359364+8305.546645123295i                279.07972880245404+8305.699148665633i             279.04234502059376+8305.770173022282i             279.0044222934481+8305.820256132185i
125                                               303.2539593127077+8651.099505865352i              303.21538255115144+8650.437693327804i             303.17772272668736+8650.565965249902i             303.14062017047974+8650.523760091633i             303.10401182952796+8650.675459593855i             303.06847234886254+8654.36014594268i              303.03156543003956+8650.825540729542i             302.99549240162406+8650.98565757042i              302.95930751495064+8651.060803154658i             302.92289026438016+8651.114051284849i
130                                               328.10463904995527+8996.311195413902i             328.06453193331157+8995.624775454766i             328.02575433789923+8995.76020496722i              327.987894104498+8995.718230051574i               327.9508911310615+8995.877894929492i              327.9154438935704+8999.712699715501i              327.8786757059989+8996.037489070939i              327.84321902221353+8996.205654283993i             327.8079697509534+8996.285331688588i              327.77280526172984+8996.34213183866i
135                                               353.8899755376999+9341.450979719013i              353.84799206705765+9340.740548584501i             353.80778451699734+9340.883741642598i             353.76888082821876+9340.842580408653i             353.7312228733325+9341.010781343704i              353.69564588421116+9344.996362435539i             353.6587805142232+9341.180963430988i              353.6237386811079+9341.35768387764i               353.5892381578674+9341.442373686552i              353.55515239855447+9341.503181179434i
140                                               380.6098436818549+9686.516939542142i              380.56569644671964+9685.783170311506i             380.5238099072428+9685.934808237567i              380.48364398262544+9685.895116828222i             380.44514138680705+9686.072494953141i             380.4092880882601+9690.209582286725i              380.37216516017963+9686.254473227214i             380.3374164744777+9686.440318850668i              380.3035600655862+9686.530562237594i              380.2704634427792+9686.595890629093i
145                                               408.26371613108506+10031.507292799868i            408.2171819283469+10030.750931104343i             408.17343617797627+10030.911765601884i            408.13186190108786+10030.874267178979i            408.09240133789626+10031.061527694894i            408.0562062549292+10035.35091615981i              408.0187463905325+10031.256628834297i             407.98425434862247+10031.452224188772i            407.95102493034733+10031.548613758594i            407.9189174144946+10031.619024995722i
150                                               436.8507551837333+10376.42043592258i              436.8016806718474+10375.64229573812i              436.75596994858114+10375.813143977535i            436.71291945516515+10375.77862310125i             436.67246943419246+10375.976528952096i            436.6359536058165+10380.419071342436i             436.59816359960473+10376.18618333454i             436.56398194260584+10376.392199178448i            436.5314547381385+10376.495369888966i             436.5004304634763+10376.571464566456i
155                                               466.3698936276895+10721.254968493558i             466.3182010530612+10720.455927871975i             466.27049971534274+10720.637667498082i            466.2259889381854+10720.606964424449i             466.1846052002453+10720.816329885478i             466.14788143758125+10725.412929760094i            466.10985918569367+10721.042056675784i            466.0761366283086+10721.259201498464i             466.04448364263845+10721.36982151953i             466.0147350226789+10721.452229090992i
