% Model:              2D Model _ g1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 12 2017, 21:47
% Table:              Table 2 - g1u_r2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_side=0.02, acpr.p_t*2*pi*a (N)                  g_side=0.04, acpr.p_t*2*pi*a (N)                  g_side=0.06, acpr.p_t*2*pi*a (N)                  g_side=0.08, acpr.p_t*2*pi*a (N)                  g_side=0.1, acpr.p_t*2*pi*a (N)                   g_side=0.12, acpr.p_t*2*pi*a (N)                  g_side=0.14, acpr.p_t*2*pi*a (N)                  g_side=0.16, acpr.p_t*2*pi*a (N)                  g_side=0.18, acpr.p_t*2*pi*a (N)                  g_side=0.2, acpr.p_t*2*pi*a (N)
100                                               96.64906188768651+1256.2604679350031i             193.25395129330747+2341.1556272586035i            289.8142644923029+3312.6746472394207i             386.3294007077271+4197.637514223785i              482.7986016443168+5013.327191835674i              579.2210051592164+5770.843406985626i              675.5954771400974+6478.967514406513i              771.9210170295473+7144.196598906134i              868.1963701222924+7771.687192724839i              964.4202509384872+8365.561795232295i
105                                               106.67151027655297+1318.1102925989417i            213.28993056801016+2456.262393275907i             319.85477901476895+3475.34357199516i              426.36533323785517+4403.51369567819i              532.8206784702897+5258.918927283313i              639.2197727420989+6053.21318129081i               745.5612441040215+6795.616060627799i              851.8438806802932+7492.948946267486i              958.0661624009235+8150.625580534197i              1064.2265312200284+8772.97406316772i
110                                               117.14299757887865+1379.8363795019684i            234.22265575584757+2571.1183127654367i            351.23840565435086+3637.6309728536235i            468.18938782107705+4608.873945010437i             585.0745102796546+5503.856454476206i              701.8925270227188+6334.7864884950795i             818.6417949620505+7111.3217807938245i             935.3208620861109+7840.607929458523i              1051.9279056448631+8528.315799730464i             1168.4610566915894+9178.979018241236i
115                                               128.06339775299764+1441.4336731981052i            256.0517671948248+2685.713169837671i              383.96444342952816+3799.521359047941i             511.8004136942786+4813.697374458478i              639.558386782973+5748.113360117071i               767.2368868242216+6615.531255920819i              894.8339637702242+7426.046803672724i              1022.34789459709+8187.129735998849i               1149.7765136310431+8904.707950099486i             1277.1175996976906+9583.520522914207i
120                                               139.43196621191558+1502.8969102080143i            278.7756665493283+2800.036338293379i              418.0303310750763+3960.9986329000803i             557.1947767812449+5017.96229835422i               696.2674899742834+5991.662247552522i              835.2467374922767+6895.414247563727i              974.13022397661+7739.751920177951i                1112.9159224288599+8532.4690464269i               1251.601281061709+9279.750460684487i              1390.183682081209+9986.540610485978i
125                                               151.24741552136368+1564.2207384719231i            302.3916685326339+2914.0770206730563i             453.4318751168642+4122.046448598713i              604.3666644627356+5221.6467117345555i             755.1942759355946+6234.475335307298i              905.912690090645+7174.401782634089i               1056.519225350353+8052.397421979138i              1207.011515712944+8876.57999301609i               1357.3865770822772+9653.391168633867i             1507.6413475502509+10387.980684076281i
130                                               163.50798795558364+1625.399803806613i             326.8961463673676+3027.824421283053i              490.16346859691635+4282.648471876641i             653.3083779263857+5424.728636750226i              816.3288411877695+6476.52489027472i               979.2225221215715+7452.460255565717i              1141.9863094552254+8363.94370833162i              1304.617461092649+9219.416853426119i              1467.1125113981718+10025.578099657998i            1629.46790368943+10787.78238385167i
135                                               176.21152241648443+1686.4288116875687i            352.28466599414384+3141.267869826692i             528.2182929452513+4442.788565553123i              704.0106020803365+5627.186370140506i              879.6592610214882+6717.783537141724i              1055.161584667618+7729.556507368526i              1230.5139859914311+8674.351719352837i             1405.7133076538134+9560.934545848066i             1580.7555501725112+10396.260024957712i            1755.6366082318125+11185.888205655958i
140                                               189.3555147261716+1747.3025706237156i             378.5521070337932+3254.3969081957634i             567.5884999956584+4602.450919745577i              756.462649013089+5828.998656867421i               945.171894791664+6958.224475409602i               1133.7131699030535+8005.658086003812i             1322.0823629157373+8983.583239652164i             1510.275860040781+9901.088975809183i              1698.2890725392908+10765.386851114456i            1886.1172893333378+11582.241933840607i
145                                               202.93717115536455+1808.0160218258322i            405.6927702299374+3367.2013498032784i             608.2653737240076+4761.620140853224i              810.6526744072803+6030.144808703319i              1012.8516573984352+7197.821627525531i             1214.8588380368183+8280.733423956493i             1416.6695292156785+9291.601105260113i             1618.2796174718762+10239.837272310922i            1819.6838662092878+11132.90988527201i             2020.8768981614091+11976.78893532717i
