% Model:              2D Model _ g2u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 13 2017, 09:46
% Table:              Table 1 - g2u_g2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_side=0.02, acpr.p_t*2*pi*a (N)                  g_side=0.04, acpr.p_t*2*pi*a (N)                  g_side=0.06, acpr.p_t*2*pi*a (N)                  g_side=0.08, acpr.p_t*2*pi*a (N)                  g_side=0.1, acpr.p_t*2*pi*a (N)                   g_side=0.12, acpr.p_t*2*pi*a (N)                  g_side=0.14, acpr.p_t*2*pi*a (N)                  g_side=0.16, acpr.p_t*2*pi*a (N)                  g_side=0.18, acpr.p_t*2*pi*a (N)                  g_side=0.2, acpr.p_t*2*pi*a (N)
100                                               160.71513627363598+3976.224556829381i             160.69205918500182+3976.753329807047i             160.66992337606325+3977.3839001742485i            160.64866484740062+3977.915602763692i             160.62822915184114+3978.3974745827327i            160.60857529679328+3979.057739470647i             160.5896279096499+3979.2272484670993i             160.57137645904268+3979.57402520614i              160.55377204159538+3979.890307882407i             160.53678095534934+3980.172109124429i
105                                               177.37508854489488+4173.548975747771i             177.34719204317705+4174.103304436281i             177.32044656043456+4174.764735119987i             177.294774151382+4175.322542915335i               177.27010851559623+4175.828196279367i             177.24639977123564+4176.521318267394i             177.22355598846613+4176.699265417696i             177.20156447836277+4177.063470322203i             177.18036562256987+4177.395762989609i             177.15991837299765+4177.691946401223i
110                                               194.7823726516728+4370.684476945182i              194.74897682885015+4371.264409356375i             194.7169753846062+4371.956778230405i              194.686274285988+4372.540795114396i               194.65679355600014+4373.070356941172i             194.62847306152452+4373.796484231833i             194.6012017520896+4373.983033621846i              194.57496445830122+4374.364847780609i             194.54968919151372+4374.713345593621i             194.52532641852673+4375.024118885059i
115                                               212.9367594452046+4567.623360395537i              212.89713235793903+4568.22898681635i              212.85918022891406+4568.952414980664i             212.82279058275935+4569.562788830362i             212.78786776460203+4570.116430658136i             212.7543398914296+4570.875756614428i              212.72207397102196+4571.071117776827i             212.6910520042064+4571.4707680566435i             212.6611878043806+4571.8357121379995i             212.63242210545968+4572.161329101009i
120                                               231.8369845848535+4764.357598031299i              231.79034242192995+4764.989055985314i             231.74569683303687+4765.743712625599i             231.70291432302992+4766.380640071295i             231.66188136876+4766.958582716781i                231.6225126988768+4767.751350417672i              231.58465028578408+4767.955782783229i             231.54827291835812+4768.373546175898i             231.51327821116286+4768.755227857447i             231.47959579245102+4769.095992500005i
125                                               251.48087683062212+4960.879030515025i             251.4263844052227+4961.536509786152i              251.37425524127275+4962.322617086445i             251.32433201573718+4962.986348311037i             251.2764809477211+4963.588866555056i              251.23060158922195+4964.415373366854i             251.18650749969737+4964.629190722365i             251.1441738400818+4965.0653986860725i             251.10347983670766+4965.464163732704i             251.06434251427342+4965.8204343846965i
130                                               271.8654802827901+5157.179509332274i              271.80225184965053+5157.863257030153i             271.74180269966655+5158.681095115664i             271.6839486273655+5159.371938674674i              271.6285329963213+5159.999365955719i              271.57543823847567+5160.859968100626i             271.5244458200932+5161.083543030005i              271.47552682525685+5161.538585801278i             271.4285397067565+5161.954838595711i              271.38338725120775+5162.327031961325i
135                                               292.987166643766+5353.2509981042585i              292.9142670464349+5353.961323754879i              292.8446165741404+5354.811235646356i              292.7780008310686+5355.529563284955i              292.714237508091+5356.182296381967i               292.65318981072085+5357.07741347973i              292.5946031162797+5357.311181768714i              292.538443943589+5357.785512626549i               292.484547381434+5358.2197202866755i              292.4328002006209+5358.6083154197195i
140                                               314.84173603580626+5549.085643570406i             314.75818217539495+5549.822924211698i             314.67840582015344+5550.705320773915i             314.60215880676043+5551.451572226851i             314.5292301072634+5552.130075908097i              314.4594614227585+5553.060195474711i              314.39255771510324+5553.304660456088i             314.32848040874217+5553.798799911056i             314.2670384220828+5554.251496326168i              314.2081005802239+5554.657038507597i
145                                               337.42450627014335+5744.6758240483i               337.32926890042825+5745.440509315435i             337.238400901137+5746.355874179688i               337.15161648546194+5747.130561934372i             337.06867262092203+5747.835373556111i             336.9893870462542+5748.801055436376i              336.91341963226654+5749.0567922571345i            336.84072614058977+5749.571332151168i             336.77108628045363+5750.043121910605i             336.70434884363715+5750.466226404245i
