% Model:              2D Model _ r1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 12 2017, 20:47
% Table:              Table 2 - r1u_g1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_side=0.02, acpr.p_t*2*pi*a (N)                  g_side=0.04, acpr.p_t*2*pi*a (N)                  g_side=0.06, acpr.p_t*2*pi*a (N)                  g_side=0.08, acpr.p_t*2*pi*a (N)                  g_side=0.1, acpr.p_t*2*pi*a (N)                   g_side=0.12, acpr.p_t*2*pi*a (N)                  g_side=0.14, acpr.p_t*2*pi*a (N)                  g_side=0.16, acpr.p_t*2*pi*a (N)                  g_side=0.18, acpr.p_t*2*pi*a (N)                  g_side=0.2, acpr.p_t*2*pi*a (N)
100                                               96.67429504018494+1241.78568859883i               193.3032565661285+2312.702863649594i              289.8853553181052+3270.6537697139393i             386.41889946500834+4142.517743032112i             482.90206189882+4945.607761392769i                579.332947896496+5691.06396594454i                675.7092946055385+6387.481789007749i              772.029121390068+7041.534565351512i               868.2900807045509+7658.29039311004i               964.4898058997272+8241.853995663363i
105                                               106.71212751141661+1302.9273759765824i            213.37233362580992+2426.4180667862647i            319.9789756561573+3431.267803527486i              426.53022079497237+4345.698545328593i             533.024078065243+5187.887792450636i               639.4584760580813+5969.531811300516i              745.8309300515199+6699.654655076096i              852.1392678768374+7385.262873080318i              958.3809078155485+8031.677190961766i              1064.5532483482505+8643.206970468918i
110                                               117.20046447658586+1363.9474979138201i            234.34121138316735+2539.886723227555i             351.42045155932874+3591.506653728998i             468.43617339914033+4548.371672709565i             585.3861803106388+5429.523635886635i              702.2681805336656+6247.214803565707i              819.079413859354+7010.897678846047i               935.8174708113987+7727.911956703336i              1052.47947999484+8403.830873541538i               1169.0625494391982+9043.168338730959i
115                                               128.13940950739254+1424.8411593448604i            256.2100238486107+2653.098950970359i              384.20987336726995+3751.355349151521i             512.1367283618322+4750.516954293673i              639.9881429759153+5670.489803814406i              767.7615592449682+6524.082015540794i              895.4538848519364+7321.174364901476i              1023.0624246374164+8069.439621693146i             1150.5839586399948+8774.703412377385i             1278.0152453476808+9441.684100531364i
120                                               139.5284623836984+1485.603239827688i              278.97769850744555+2766.0444185665006i            418.34552333577113+3910.79824597408i              557.6294483886311+4952.113323761996i              696.8267330532703+5910.759690107729i              835.9345051647216+6800.101178524506i              974.9492806808863+7630.446652146171i              1113.8680278023878+8409.8018823324i               1252.6871156876787+9144.244760519281i             1391.4028906594904+9838.698007973206i
125                                               151.36659296447743+1546.228514373496i             302.64210390961966+2878.7125872485994i            453.8240967577683+4069.8193916238097i             604.9097822285493+5153.139305494825i              755.8960776381664+6150.306179226659i              906.7797464786433+7075.239414306235i              1057.5568503248007+7938.675769414597i             1208.2239671466868+8748.953941398426i             1358.7769894128603+9512.403956757686i             1509.2117850071043+10234.152794398895i
130                                               163.65231254760735+1606.7117410954027i            327.2001924218213+2991.092886612929i              490.64091611151935+4228.402788857013i             653.9713501928474+5353.573367424018i              817.1880207531481+6389.102088221419i              980.2872746105592+7349.46376665858i               1143.2646531527218+8245.822856816578i             1306.1162878194134+9086.850901707938i             1468.83752492899+9879.129927711521i               1631.4236838548547+10627.991067364515i
135                                               176.38374005010957+1667.0477239465122i            352.64813274930464+3103.1748403780853i            528.790130061077+4386.5325848179555i              704.8062097422683+5553.394173655957i              880.6924556014351+6627.120483148397i              1056.4447431804044+7622.74158179697i              1232.0580246027666+8551.849410478626i             1407.5279256177105+9423.448275364673i             1582.8491731100703+10244.372061809618i            1758.0164638505216+11020.155947557756i
140                                               189.55866188100583+1727.2313568133204i            378.98142992665043+3214.9481547575974i            568.2648937924832+4544.193203853336i              757.4050963678135+5752.580761870024i              946.3976261610921+6864.334901215873i              1135.2378304518859+7895.0407753872205i            1323.919999570285+8856.717594515145i              1512.4391913876375+9758.702340794349i             1700.7894360008083+10608.08061147234i             1888.9647292083332+11410.591516245056i
145                                               203.1745852625633+1787.2576536662034i             406.19503225712594+3326.402778848959i             609.0575298431289+4701.369438210194i              811.7576385614973+5951.112664386902i              1014.2903965231351+7100.719502220186i             1216.6505632302249+8166.330014373651i             1418.831691013481+9160.39045325181i               1620.8282044433001+10092.570385345887i            1822.6333551074315+10970.206966077083i            2024.2403548793172+11799.243118545355i
150                                               217.22878522006852+1847.1217682871456i            434.28342561587596+3437.5289440935053i            651.1596700233148+4858.046507209257i              867.8525476327778+6148.969986990449i              1084.35648884344+7336.249166969721i               1300.6656031493333+8436.578834901466i             1516.7726247598916+9462.832048543109i             1732.6712760004657+10425.010861887386i            1948.3539435578468+11330.7038276984i              2163.812967454251+12186.05755818334i
155                                               231.7183457010194+1906.8190062011054i             463.24071601693396+3548.317188064434i             694.5623797350789+5014.210092777797i              925.6777840554013+6346.133456090943i              1156.5806919626514+7570.899555916739i             1387.264497783298+8705.757712243205i              1617.7210332503496+9764.007540789602i             1847.943245697455+10755.983480702133i             2077.922565425969+11689.525313655542i             2307.6503673124453+12570.98321047053i
160                                               246.64019536476263+1966.3448307705714i            493.06070151577563+3658.7583665165375i            739.2562662828294+5169.846357286967i              985.2207024521289+6542.584442138592i              1230.9470432937483+7804.647137910357i             1476.4278996043283+8973.83809464275i              1721.6541117239594+10063.883227612228i            1966.6177750673305+11085.44925269745i             2211.30926656447+12046.627003969188i              2455.7188967619322+12953.970073702432i
165                                               261.99113859737554+2025.6948649224455i            523.7369345438536+3768.84365663897i               785.2315728056806+5324.941948095397i              1046.4681773562613+6738.304965197812i             1307.4389866031877+8037.46919651663i              1568.1357559526784+9240.792410062548i             1828.5482404628988+10362.426550687815i            2088.667602117244+11413.370495993106i             2348.483061463589+12401.965947340066i             2607.9837591432597+13334.969774168256i
170                                               277.7678822731963+2084.8648896091377i             555.2627757136734+3878.564553729623i              832.4782593664725+5479.483992158327i              1109.4067117982138+6933.277687173665i             1386.0395082567059+8269.343819524154i             1662.3674730351613+9506.594052606719i             1938.3791766042077+10659.60607870316i             2214.0647609384396+11739.710815015711i            2489.412180620748+12755.50063599193i              2764.409293769698+13713.935536352226i
175                                               293.9670587354113+2143.8508398410127i             587.6314400334284+3987.9128629767556i             880.9860726153333+5633.460083231787i              1174.0225305756687+7127.485894089134i             1466.7312542130637+8500.24987591052i              1759.1020567045396+9771.217353774246i             2051.1222186994587+10955.391472499143i            2342.7807699865098+12064.435059096826i            2634.0642823844723+13107.190957295428i            2924.9592111735456+14090.822127157764i
180                                               310.585245412689+2202.648798932042i               620.8360363590706+4096.880687629585i              930.7446052527919+5786.858263617047i              1240.3016598552726+7320.913471017987i             1549.4966298289355+8730.166983559342i             1858.3182324771753+10034.637542538503i            2166.7523468909326+11249.753437057583i            2474.786792277381+12387.509265932378i             2782.4066329910597+13456.998128267805i            3089.596792680819+14465.585781024341i
185                                               327.6189814317936+2261.2549914549036i             654.8696008094736+4205.460414563149i              981.7433463793288+5939.667001957686i              1308.229994541336+7513.544871712882i              1634.3178842676678+8959.07547029279i              1959.9945469362574+10296.83069733625i             2285.2443411770396+11542.663664000898i            2610.053770351539+12708.900594145864i             2934.406257939311+13804.884617747994i             3258.2850578751872+14838.18411129549i
190                                               345.0647815463888+2319.665775296574i              689.7251247752856+4313.6446980287055i             1033.9717236917961+6091.875168291832i             1377.7933546837073+7705.365084537202i             1721.177181091273+9186.956330234832i              2064.1094524044192+10557.773692424164i            2406.5728800239726+11834.094767494142i            2748.5525385341493+13028.577248285716i            3090.030067595482+14150.814060060115i             3430.9869031113217+15208.57601212286i
