% Model:              2D Model _ r1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 12 2017, 20:47
% Table:              Table 1 - r1u_r1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_side=0.02, acpr.p_t*2*pi*a (N)                  g_side=0.04, acpr.p_t*2*pi*a (N)                  g_side=0.06, acpr.p_t*2*pi*a (N)                  g_side=0.08, acpr.p_t*2*pi*a (N)                  g_side=0.1, acpr.p_t*2*pi*a (N)                   g_side=0.12, acpr.p_t*2*pi*a (N)                  g_side=0.14, acpr.p_t*2*pi*a (N)                  g_side=0.16, acpr.p_t*2*pi*a (N)                  g_side=0.18, acpr.p_t*2*pi*a (N)                  g_side=0.2, acpr.p_t*2*pi*a (N)
100                                               930.9843046897959+16372.991816192372i             930.8380995731288+16372.610746293794i             930.6912321679653+16373.079454367708i             930.5432567631791+16373.726771423588i             930.3936902157393+16374.14691625678i              930.2419693768464+16376.83093872832i              930.0879996176594+16374.987019484273i             929.9309842693141+16375.324261691385i             929.7706028497305+16375.599234631834i             929.6064111463452+16375.967727162026i
105                                               1027.7793307322613+17183.17584263454i             1027.6284059713903+17182.777996348446i            1027.4782640890157+17183.272580872566i            1027.3284241575222+17183.95482633234i             1027.1783541603686+17184.398615804384i            1027.0274023039747+17187.2194955559i              1026.8756154203875+17185.286095461517i            1026.7220005761574+17185.642881689557i            1026.5662784433334+17185.93425816566i             1026.4079906637587+17186.32378957934i
110                                               1128.9315600886457+17992.284406509192i            1128.7732249966982+17991.870860948577i            1128.6172152390584+17992.39238496365i             1128.46300539163+17993.110598465315i              1128.3100038657242+17993.579038891858i            1128.1574556045593+17996.53773798431i             1128.0055583394987+17994.515775134587i            1127.8530972627032+17994.892964280047i            1127.699833290128+17995.201540153328i             1127.5452873507986+17995.61283700549i
115                                               1234.4446404389273+18800.275244934655i            1234.2762404196594+18799.847514432826i            1234.1118263308022+18800.39748274914i             1233.9508178534493+18801.153149964164i            1233.7925517963442+18801.64769764727i             1233.6361533051447+18804.74563161591i             1233.4819816795577+18802.636481737925i            1233.3285711727892+18803.03539355755i             1233.175721825896+18803.36242902954i              1233.022926280593+18803.796685691555i
120                                               1344.3165600959928+19607.103792875583i            1344.1355040657163+19606.663814513468i            1343.9602353342314+19607.2441561975i              1343.7901071234346+19608.03918826389i             1343.6243712098671+19608.561725827894i            1343.462014399681+19611.800736918703i             1343.3035695535748+19609.60620334027i             1343.147287292758+19610.028585275126i             1342.9930054484832+19610.375768480957i            1342.8401797731156+19610.83460748022i
125                                               1458.540345396061+20412.724355375747i             1458.3441303265336+20412.27447792635i             1458.1556688079143+20412.887532290006i            1457.9742347962863+20413.72424874225i             1457.7989801275933+20414.27706497129i             1457.6287326063707+20417.659398933545i            1457.4642120308833+20415.38168611752i             1457.303348864673+20415.829683693202i             1457.1460171791196+20416.199097892968i            1456.9916261338713+20416.68453387589i
130                                               1577.104738409807+21217.090959202484i             1576.8909725208046+21216.633934945952i            1576.6871166673145+21217.282440368046i            1576.49235140183+21218.163554939998i              1576.3057121231232+21218.74932754128i             1576.125844727247+21222.27761331116i              1575.9536707188456+21219.919303315826i            1575.7867598686514+21220.395433484136i            1575.625020661534+21220.78952720842i              1575.4678047943019+21221.303933872758i
135                                               1699.9948280534838+22020.157963181366i            1699.761253734735+22019.696941881408i             1699.5399625548873+22020.384026813692i            1699.330026084256+22021.312635412633i             1699.130345075855+22021.93441589389i              1698.9393582145321+22025.61164741702i             1698.7582048811935+22023.17567851352i             1698.5840493706307+22023.68280514534i             1698.416832434731+22024.10436451338i              1698.2558361587066+22024.650443712413i
140                                               1827.1926227729655+22821.880487445178i            1826.937139959816+22821.419011798447i             1826.696557270824+22822.14818718663i              1826.4698201300139+22823.127757240203i            1826.2556745845889+22823.788957198885i            1826.052324245706+22827.6184766183i               1825.8611439039078+22825.10812323753i             1825.6788431340442+22825.649433946477i            1825.505392383567+22826.101556297926i             1825.3399905876236+22826.682308504816i
145                                               1958.6775617030758+23622.21470690079i             1958.3982521647208+23621.756708767574i            1958.1367315884395+23622.531861213363i            1957.8918003564445+23623.5662217325i              1957.662027741601+23624.270599739146i             1957.4453516748756+23628.25608117321i             1957.2434011814762+23625.674934428665i            1957.0523771811595+23626.253917939568i            1956.872276697884+23626.739986020813i             1956.7022004592507+23627.35868131914i
