% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 12 2017, 09:53
% Table:              Table 7 - tu_g3 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_side=0.02, acpr.p_t*2*pi*a (N)                  g_side=0.04, acpr.p_t*2*pi*a (N)                  g_side=0.06, acpr.p_t*2*pi*a (N)                  g_side=0.08, acpr.p_t*2*pi*a (N)                  g_side=0.1, acpr.p_t*2*pi*a (N)                   g_side=0.12, acpr.p_t*2*pi*a (N)                  g_side=0.14, acpr.p_t*2*pi*a (N)                  g_side=0.16, acpr.p_t*2*pi*a (N)                  g_side=0.18, acpr.p_t*2*pi*a (N)                  g_side=0.2, acpr.p_t*2*pi*a (N)
100                                               43.2415408951516+113.16391986808134i              86.3483985396796+217.94064223061773i              129.31411477561676+315.08916902304577i            172.1322639513312+405.27728472803904i             214.79634686659597+489.08555475448287i            257.29943354322245+566.9976014724684i             299.6363833240338+639.5597081279152i              341.79930434310756+707.0811015514469i             383.7821634848523+769.9538403168298i              425.578448792296+828.4993195791568i
105                                               47.635862004820915+117.88719117083212i            95.10677847877511+226.91471681383678i             142.40487542027844+327.87984174583283i            189.52232621449036+421.4841121062318i             236.4512216265952+508.3374955825784i              283.18313216439077+588.9480193624146i             329.7118294140667+663.8903068330869i              376.02772075270906+733.4889131665059i             422.1235000020204+798.1561956503883i              467.99128233903997+858.2301310526801i
110                                               52.21096381200993+122.4832992192155i              104.22232359852678+235.6272290473234i             156.02459252308762+340.26740932572164i            207.6083491072176+437.13925047205004i             258.9640798136181+526.8822273530692i              310.0816493114802+610.0288581864824i              360.9535963027171+687.1823056619097i              411.5683938519224+758.6824941772534i              461.917292783001+824.9622371636157i               511.9908520743057+886.376226878281i
115                                               56.96447389628065+126.94689449908864i             113.68987554597558+244.06724882993788i            170.1648916560197+352.2351446835801i              226.3782959149606+452.2199749877005i              282.3187603845359+544.690842895407i               337.9742208779042+630.2048599344043i              393.33582754674603+709.3939478133018i             448.38986688450535+782.6134564860369i             503.1259644850795+850.3168329996176i              557.532926548105+912.8756386351621i
120                                               61.89363903172498+131.27260872847853i             123.50349983447782+252.22382716375145i            184.81621223366554+363.76632184392395i            245.81851895267513+466.70360357943565i            306.4970516968422+561.7345427039111i              366.83757769784154+649.4409640708211i             426.8296926475513+730.4837901668583i              486.45722553651507+805.2338701385657i             545.7079825507451+874.1654838205309i              604.5688076468645+937.6672364558525i
125                                               66.9953636893816+135.4551091946771i               133.6565637990439+260.08610508091203i             199.9679259626121+374.8443797208431i              265.9139196434404+480.5677158659596i              331.4788944422528+577.9849093000172i              396.64619268030776+667.702637639791i              461.40367982290945+750.4110894360999i             525.7324379134236+826.4967058400458i              589.6182480618164+896.4548220044667i              653.0457701351069+960.6912852267927i
130                                               72.26624633906839+139.48913823805293i             144.1418100687781+267.6433928618292i              215.60844844154906+385.4530413318128i             286.6480992891235+493.7903126384807i              357.24257273263305+593.4141072649237i             427.3725134507755+684.9561161402798i              497.0238715502633+769.1360841797181i              566.1746744424411+846.3561584048148i              634.8084615835269+917.1329768300129i              702.9074751313703+981.8898517852352i
135                                               77.70261262930772+143.36954172149134i             154.95142374086504+274.8852272236648i             231.72534122165584+395.5763999682302i             308.00349700380315+506.3499312876536i             383.7648889817069+607.9950282006374i              458.9871753606271+701.1685783048986i              533.654196980267+786.6201996869763i               607.7406010849035+864.7678820272083i              681.2274586737099+936.1498404113479i              754.0943495476555+1001.207101796804i
140                                               83.30054516424687+147.09128935262547i             166.07709270554304+281.80141221923685i            248.30540353750408+405.1989809353234i             329.96151379049127+518.2257286560267i             411.02132136478764+621.7013949705283i             491.4591934636179+716.3082720148969i              571.2566596586181+802.8261958370894i              650.3846441493004+881.6891603652399i              728.8215132506303+953.4572602703037i              806.5439295800138+1018.5895150650389i
145                                               89.05590993977124+150.64948898605968i             177.51006126698923+288.38204809965924i            265.33475393918104+414.3057852392578i             352.50262310033327+529.3975398210246i             438.98616431015154+634.5078358578651i             524.7561340488951+730.3446040998367i              609.791541306021+817.7182728130381i               694.0592276371951+897.0790284298264i              777.5346099266061+969.0091776470679i              860.1911695846483+1033.9860404865017i
150                                               94.96437967314169+154.03939647722117i             189.24117753399213+294.61755127846766i            282.7989025594229+422.88231992896476i             375.6064688757306+539.8459190802305i              467.6326533122135+646.3899364573174i              558.8442673101891+743.2482034091718i              649.2175835334509+831.2621456039126i              738.7149852981515+910.8983587574326i              827.3086878275643+982.7617255708209i              914.9687191876154+1047.3482062267185i
155                                               101.02145433185873+157.25642224129749i            201.26093520251908+300.49866770687754i            300.68281495327864+430.9146185451069i             399.25195234054854+549.5521677383155i             496.9330756536386+657.3242750595708i              593.688703087867+754.9909640407036i               689.4921497794966+843.4250953131145i              784.3009500695338+923.109921028006i               878.0838589213041+994.673296983171i               970.8071720249598+1058.6301965132811i
160                                               107.22247918098428+160.29613536957265i            213.5595103709109+306.0164813580105i              318.9709684858416+438.38925422584254i             423.41730884810795+558.498352082715i              526.8588686994043+667.2884457403691i              629.2535116861752+765.5460737794i                 730.5713698326174+854.1760031628853i              830.7647235817512+933.6784218273623i              929.7986039247395+1004.704590423908i              1027.635289569387+1067.7889033863098i
165                                               113.56266065020948+163.1542659305838i             226.12679399556407+311.16241907092046i            337.6474021811192+445.29334733711477i             448.0801760157726+566.6673140360584i              557.3807072953902+676.261072263067i               665.5018316225458+774.8880314625222i              772.4102691100259+863.4853715124164i              878.05262826574+942.5705294810444i                982.3899486308392+1012.8186388200874i             1085.3802031972887+1074.7839595189018i
170                                               120.03708029466156+165.82670591803029i            238.9524205395181+315.9282526816682i              356.6957608620296+451.61456901307815i             473.2176542526722+574.042676328998i               588.4685816755468+684.2218150875705i              702.3959659975213+782.9926560166092i              814.9628846698103+871.3253350756029i              926.1098443031332+949.7548875924962i              1035.7936232064962+1018.9808254249439i            1143.9675973508176+1079.5777566185127i
175                                               126.64070708699795+168.30950919557677i            252.02579328433902+320.30609913169i               376.09933430115814+457.34114164356913i            498.80636064295464+580.6088435633567i             620.0918670678066+691.1513731977628i              739.8974689167346+789.8370892017499i              858.1823696402691+877.6696647198041i              974.8805333609615+955.2021199829665i              1089.9442066349452+1023.1588899572516i            1203.3218762133986+1082.135452746422i
180                                               133.36840824663145+170.59889069710437i            265.3361067255149+324.28841907533615i             395.84109199203846+462.4618370818146i             524.8224770068579+586.3510002028355i              652.2193860430018+697.0314820266843i              777.9672232202726+795.3997936110272i              902.0210875217801+882.4937656240753i              1024.307950760832+958.8848290656351i              1144.7752581728428+1025.322927188371i             1263.3663159685243+1082.4249710700558i
185                                               140.21495877751644+172.69122508546974i            278.8723663883048+327.8680143851396i              415.90371407280753+466.9659731738567i             551.2417928354799+591.2551062792817i              684.8194644622345+701.8449084735681i              816.5655105505696+799.6605470912393i              946.4306975599277+885.774671163094i               1074.3345474826506+960.7775892048461i             1200.219437376158+1025.4453797287056i             1324.0232043772426+1080.416991966892i
190                                               147.17504986492185+174.58304502388245i            292.623406367685+331.0380248673406i               436.2696188372549+470.84340907035386i             578.0397436919471+595.3078914330077i              717.859981778913+705.5754437727848i               855.6520746506394+802.6004345069939i              991.3622322567259+887.4910335831364i              1124.9020631684207+960.8569362658749i             1256.2086140245183+1023.5010263619124i            1385.213969132839+1076.0849399681067i
195                                               154.24329625366946+176.27103918612158i            306.57790483884014+333.79192443421476i            456.92098720984256+474.08453969379536i            605.1914455749526+598.4968477786714i              751.3084162992508+708.2078948255531i              895.1861786398324+804.2018375698651i              1036.7661678399343+887.6231123002156i             1175.951611114613+959.1013543146677i              1312.673969034033+1019.4669669921661i             1446.859296210325+1069.4049667359966i
200                                               161.41424271785075+177.75205010593967i            320.72439775306503+336.12351693531986i            477.8397845125064+476.68028965726216i             632.6717256773163+600.8102219901768i              785.1318859508018+709.7280744944802i              935.1266568945434+804.4484233285774i              1082.5924884751878+886.1527605314077i             1227.4237561058249+955.4912602489899i             1369.5460873163265+1013.3226050835782i            1508.879239257297+1060.355931023775i
205                                               168.6823697139766+179.0230719503478i              335.05129090856747+338.02693181499404i            499.0077797937436+478.62210689441i                660.455149906837+602.2370069461998i               819.2971850116444+710.122791265557i               975.4319621038568+803.3251318133331i              1128.7907448301505+883.0634108023488i             1279.2585858022685+950.0089870133485i             1426.7550433876531+1005.0496283187643i            1571.1933209148638+1048.9193764400777i
210                                               176.04209830128357+180.08124828783272i            349.54687055866145+339.4966197404014i             520.4065629756384+479.9019561991327i              688.5160475026147+602.766933207919i               853.7708172158182+709.3798386377514i              1016.0602079701133+800.8181632461453i             1175.3101075811603+878.3400598414576i             1331.3957763339786+942.6387659401315i             1484.2304804444752+994.6319880937132i             1633.720626865256+1035.0795076919426i
215                                               183.48779440390635+180.92386991455794i            364.1993127087005+340.5273483186035i              542.0175600351605+480.5123128718838i              716.828533036945+602.3904605771892i               888.5190255950617+707.4879845321143i              1056.9692080044854+796.9149651852183i             1222.0994163451203+871.9692532563415i             1383.7746526728004+933.3667087013555i             1541.9016835473772+982.0558783738321i             1696.3798932893858+1018.8231658908742i
220                                               191.0137724839769+181.54837279002774i             378.9966912374296+341.1141980143702i              563.8220464311697+480.44615662103286i             745.3665260801774+601.0987699427477i              923.5078194018645+704.4369609873802i              1098.1165108128648+791.604219907512i              1269.107224521858+863.9390703736387i              1436.3342443037652+922.1807892801967i             1599.6976474879966+967.309714388681i              1759.0895883909454+1000.1398034443683i
225                                               198.6142986905334+181.9523361305505i              393.9269849746521+341.2525583574901i              585.8011589634898+479.696965862375i               774.10376877967+598.8837556025107i                958.7029984268476+700.2174543703363i              1139.4594322543833+784.8758323088088i             1316.2818404696195+854.2391095452351i             1489.013336693188+909.0708263188329i              1657.5471399028413+950.3841115554865i             1821.7679885782397+979.0214589762294i
230                                               206.2835935456906+182.13348070023557i             408.97808385322236+340.93812452010974i            607.9359062518208+478.2587125372599i              803.0138415997931+595.7380182143349i              994.07017501055+694.8210962951104i                1180.955084825643+776.7209185513427i              1363.5713654326476+842.8604742005294i             1541.7505190125219+894.0284661630645i             1715.3787601323436+931.2718649877637i             1884.3332498730667+955.4627326698954i
235                                               214.01583422856083+182.08966733585902i            424.1377942621061+340.1668943397371i              630.2071780106601+476.1258575532638i              832.0701774521435+591.6548585207651i              1029.5747940442893+688.2404554281707i             1222.560404617211+767.131795671499i               1410.9237286146797+829.7957598925824i             1594.484228579785+877.0471668719534i              1773.1209943334707+909.9679299001468i             1946.7034750878806+929.4607623670817i
240                                               221.80515651603352+181.8188957340022i             439.39384370977876+338.935165839109i              652.5957532963229+473.2933469306667i              861.2460744556374+586.6282719573469i              1065.1821512442827+680.4690303193187i             1264.2321761868006+756.1019723142217i             1458.2867198019119+815.0390425147444i             1647.1527924495606+858.1221834150905i             1830.7022673418508+886.469403161424i              2008.796777306874+901.0152007190513i
