% Model:              2D Model _ g1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 22 2017, 00:43
% Table:              Table 4 - g1u_r3 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*a (N)                g_center=0.24, acpr.p_t*2*pi*a (N)                g_center=0.26, acpr.p_t*2*pi*a (N)                g_center=0.28, acpr.p_t*2*pi*a (N)                g_center=0.3, acpr.p_t*2*pi*a (N)
100                                               859.6485143917229+2888.2308967447966i             858.9876833795232+2801.464142995017i              858.3074314110031+2719.2258489502983i             857.6077689442502+2641.149511806732i              856.8886887115822+2566.9075141568323i
105                                               947.4846913507588+3016.6976648497634i             946.6735626590737+2925.261533806461i              945.8386553115051+2838.5795261377048i             944.9799904951818+2756.2669455877203i             944.0975678838417+2677.979911072166i
110                                               1039.0231295967162+3143.019647499192i             1038.0400003114016+3046.868094528027i             1037.028115108701+2955.696321819587i              1035.9875084355263+2869.1014615894073i            1034.918188893144+2786.723388914836i
115                                               1134.2300044065257+3267.1084640966856i            1133.051113345698+3166.1937340666336i             1131.8378129154235+3070.484456632299i             1130.5901538609755+2979.559616099674i             1129.3081561767358+2893.042865177041i
120                                               1233.0646756052654+3388.8751076830295i            1231.6641288068336+3283.1478193414046i            1230.2227848151867+3182.8516971585454i            1228.7407143156272+3087.5476029425336i            1227.2179517121353+2996.8429901882387i
125                                               1335.480446803915+3508.2310164184496i             1333.8301477632967+3397.6402471785864i            1332.1318697940515+3292.706428289067i             1330.3857078597948+3192.972326319294i             1328.5917144138532+3098.029220484462i
130                                               1441.425285058856+3625.08884847807i               1439.4948691645823+3509.582219621375i             1437.5084379933119+3399.9584289629106i            1435.466115870883+3295.742177037831i              1433.3679776795134+3196.5085955557315i
135                                               1550.8424814497328+3739.363036167258i             1548.5992542360088+3618.8867984731255i            1546.291059052175+3504.519427199157i              1543.9180555489834+3395.7675880450606i            1541.4803462250823+3292.190293924851i
140                                               1663.6712459637806+3850.9701760504076i            1661.0801248937905+3725.4692959234935i            1658.4141042226906+3606.3034912229505i            1655.6733858654525+3492.961426112778i             1652.858106044142+3384.9860254141086i
145                                               1779.8472371866073+3959.829297375145i             1776.8706967419253+3829.2475434701546i            1773.8082828514123+3705.2272989614985i            1770.6602476841174+3587.2392619210655i            1767.4267683370826+3474.810301865451i
150                                               1899.3030308469442+4065.862040015428i             1895.9010508200224+3930.1420704403627i            1892.4011174391292+3801.210317144607i             1888.803542323961+3678.5195497930736i             1885.108551730728+3561.5806175381977i
155                                               2021.968532805779+4168.992765105766i              2018.0985496715093+4028.076215187542i             2014.117362971268+3894.174913111834i              2010.0253542808275+3766.723740138021i             2005.8228085600663+3645.2175622107975i
160                                               2147.771342506767+4269.148615398522i              2143.388203828225+4122.976186016282i              2138.879376573481+3984.0464163445695i             2134.2453242117435+3851.7763416132525i            2129.48640135556+3725.644884024392i
165                                               2276.637072606985+4366.2595379744i                2271.6929944205062+4214.771084451313i             2266.6074432547907+4070.7531423159253i            2261.3809779839576+3933.604945588975i             2256.014035341514+3802.7895145711905i
170                                               2408.489630029913+4460.258278713596i              2402.9341571961722+4303.392900239584i             2397.2200630417183+4154.226388045068i             2391.348017069006+4012.140222285539i              2385.318552272091+3876.5815656297486i
175                                               2543.2514630295664+4551.0803555941i               2537.0314325255035+4388.776485120068i             2530.6342040741565+4234.400406361738i             2524.0605748934718+4087.315895548705i             2517.311190198862+3946.954304487151i
180                                               2680.843778232481+4638.664016112695i              2673.9032853729223+4470.8595106717075i            2666.765525670845+4311.212364219376i              2659.4314431431467+4159.068701624109i             2651.9018131679363+4013.844113176821i
185                                               2821.186731030885+4722.950182982876i              2813.4670986137044+4549.582414382575i             2805.52857469882+4384.602289117551i               2797.3722713712496+4227.338335979194i             2788.9991142440363+4077.1904357032754i
190                                               2964.1995922206447+4803.882391320293i             2955.63934257496+4624.888337122811i               2946.836958192273+4454.513006888912i              2937.7937428372034+4292.067391376059i             2928.5107947217066+4136.935716411157i
