% Model:              2D Model _ r2u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 22 2017, 11:39
% Table:              Table 1 - r2u_r2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*a (N)                g_center=0.24, acpr.p_t*2*pi*a (N)                g_center=0.26, acpr.p_t*2*pi*a (N)                g_center=0.28, acpr.p_t*2*pi*a (N)                g_center=0.3, acpr.p_t*2*pi*a (N)
100                                               929.0575807341045+16850.357899776845i             929.0048234366126+16850.601977976108i             928.9521068358695+16850.914560445788i             928.8993924577095+16851.11947736684i              928.8466334340599+16851.324357817924i
105                                               1025.2927726259675+17683.966515774602i            1025.236395707502+17684.224745571613i             1025.180378412211+17684.554923079824i             1025.1246769371694+17684.77206642968i             1025.0692373596576+17684.98917836898i
110                                               1125.817754518968+18516.447908674203i             1125.7567776750545+18516.720971050832i            1125.6965012786964+18517.06942151847i             1125.6368751500595+18517.29946542631i             1125.5778369956508+18517.529477857985i
115                                               1230.629332309713+19347.758947718285i             1230.5627936021292+19348.04769751079i             1230.4973231004346+19348.415273381914i            1230.432863086395+19348.65906712952i              1230.3693414044944+19348.90282477425i
120                                               1339.7184540815574+20177.854756514414i            1339.6454220897656+20178.160220279362i            1339.5738583820983+20178.547945640315i            1339.5036963963826+20178.806510038172i            1339.4348524634138+20179.0650289661i
125                                               1453.0709575985409+21006.689863729334i            1452.9905431026223+21007.013238319916i            1452.9120349440166+21007.422306759436i            1452.835356268132+21007.696831278765i             1452.7604100519704+21007.971295320698i
130                                               1570.668288104874+21834.219034433685i             1570.579655720844+21834.56168608696i              1570.4934115777426+21834.993459071295i            1570.4094669246642+21835.285299510306i            1570.3277093460074+21835.57705718337i
135                                               1692.4881621215713+22660.397862183912i            1692.3905421649174+22660.761325872092i            1692.2958422701906+22661.217331389053i            1692.2039600019848+22661.528007783923i            1692.1147653064484+22661.838569514788i
140                                               1818.505167442442+23485.183182253484i             1818.3978682300306+23485.569161065632i            1818.2940770186783+23486.05109227176i             1818.1936757204896+23486.382286841836i            1818.096514155637+23486.713322153348i
145                                               1948.6912977892796+24308.53335131682i             1948.5737184537438+24308.943715613565i            1948.46029750271+24309.453429278634i              1948.3508989948643+24309.80698411551i             1948.2453498934487+24310.160318605784i
150                                               2083.0164248814012+25130.408427321963i            2082.888068762515+25130.845213489174i             2082.7645902324784+25131.384727983437i            2082.645833084122+25131.762642296824i             2082.5315984097947+25132.140254118724i
155                                               2221.448712750323+25950.770274727074i             2221.3092013214173+25951.2356833152i              2221.1753619348938+25951.80717597282i             2221.0470154472755+25952.21160267594i             2220.9239337527806+25952.615618345833i
160                                               2363.9549798445246+26769.5826137843i              2363.8040671594877+26770.079006871896i            2363.6597026384566+26770.684810561077i            2363.521681244775+26771.11805204405i              2363.3897420276608+26771.550741423132i
165                                               2510.501014468572+27586.811027841934i             2510.338602044401+27587.340925507942i             2510.183701940461+27587.98352427488i              2510.036079956567+27588.44802720658i              2509.8954382871307+27588.91179748612i
170                                               2661.051848717089+28402.42293916518i              2660.8780007726104+28402.989014942537i            2660.712723594946+28403.671038599758i             2660.5557502171723+28404.169387682738i            2660.4067415709983+28404.6667762695i
175                                               2815.5719955450118+29216.387561185085i            2815.3869544874615+29216.992636409337i            2815.211643025476+29217.716854002552i             2815.0457574574493+29218.251764545937i            2814.8889126150693+29218.785430787353i
180                                               2974.025652993852+30028.675833239795i             2973.8298550511704+30029.32287022377i             2973.6450517975913+30030.09218230325i             2973.470898396834+30030.666491581662i             2973.3069582981816+30031.239207232502i
