% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 21 2017, 02:48
% Table:              Table 2 - tu_r1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*a (N)                g_center=0.24, acpr.p_t*2*pi*a (N)                g_center=0.26, acpr.p_t*2*pi*a (N)                g_center=0.28, acpr.p_t*2*pi*a (N)                g_center=0.3, acpr.p_t*2*pi*a (N)
100                                               422.5574664834876+4153.0747532143205i             422.5089287732231+4153.114637821086i              422.45948630559013+4153.197954291363i             422.40910296905656+4153.225655963021i             422.3577420105304+4153.275297545254i
105                                               466.71234515036963+4357.014008482682i             466.6671015285256+4357.056431443908i              466.62110216260487+4357.144460850925i             466.5743123047559+4357.174088467837i              466.526695554712+4357.226755365199i
110                                               512.849492081929+4560.484256517812i               512.8070439322036+4560.529239398415i              512.7639896955809+4560.621991005723i              512.720295784171+4560.65353972327i                512.675925878326+4560.709213805712i
115                                               560.9731874203608+4763.46988446744i               560.933087273855+4763.517567487301i               560.8925320463612+4763.6151698329295i             560.8514890599823+4763.648754641786i              560.8099217369822+4763.707538254349i
120                                               611.0854615656403+4965.953919714187i              611.0473248548461+4966.004547814178i              611.0088863067879+4966.1072343931055i             610.9701138556128+4966.143075427452i              610.9309702548638+4966.205176320295i
125                                               663.1863681940532+5167.918589560546i              663.1498827880703+5167.972499343772i              663.113252023418+5168.080595175494i               663.0764440978226+5168.119003899782i              663.0394206246216+5168.184721037565i
130                                               717.2742631261655+5369.345731158713i              717.2391972534807+5369.403338622487i              717.204146774438+5369.517247599661i               717.1690797534919+5369.558613780992i              717.1339561175869+5369.628323932258i
135                                               773.346072550255+5570.217086589695i               773.3122815316557+5570.278875451714i              773.2786719601709+5570.399068303414i              773.2452113147206+5570.443847599184i              773.2118572212522+5570.517992567832i
140                                               831.3975418506567+5770.514510048405i              831.3649739457503+5770.581020511806i              831.3327598000365+5770.708023197935i              831.3008658026572+5770.756725191122i              831.2692465772701+5770.835799486647i
145                                               891.4234610088571+5970.220107949118i              891.3921625495883+5970.2919256934i                891.3613972642204+5970.426308050604i              891.3311298797214+5970.479484545035i              891.3013112448099+5970.5640233316835i
150                                               953.4178653068853+6169.316327822234i              953.3879852177375+6169.394073077263i              953.3588254992025+6169.536437550488i              953.3303485802553+6169.594670967591i              953.3025006629654+6169.6852381302215i
155                                               1017.374211607275+6367.786008237084i              1017.3460053488581+6367.870324787938i             1017.3187149125774+6368.021295112122i             1017.2922997145178+6368.085186847436i             1017.2667003481115+6368.182363036858i
160                                               1083.2855313603873+6565.6123990903725i            1083.259364282464+6565.703943103604i              1083.2343169500466+6565.864152821703i             1083.2103449727085+6565.934311466829i             1083.187382269165+6566.038682030193i
165                                               1151.144561840511+6762.779159476156i              1151.120911897572+6762.878588070487i              1151.0985940215173+6763.04866881901i              1151.077559126329+6763.125698165051i              1151.0577332804166+6763.237840876866i
170                                               1220.9438572898664+6959.2703387456995i            1220.9233170585321+6959.37829825565i              1220.9043291956825+6959.558867768121i             1220.886838936893+6959.643354554714i              1220.870763203753+6959.763827128833i
175                                               1292.6758816207227+7155.070345138561i             1292.6591595330485+7155.18745905746i              1292.6442172975094+7155.379108865009i             1292.6309933810144+7155.471610259414i             1292.619394143594+7155.600937614636i
180                                               1366.3330842662247+7350.163905442482i             1366.3210049749823+7350.290762041738i             1366.3109389831063+7350.494044895703i             1366.3028167826192+7350.595075721366i             1366.2965326252245+7350.733737034737i
185                                               1441.9079606671685+7544.536018464687i             1441.9014644583012+7544.673158133783i             1441.8972192753013+7544.888575175035i             1441.8951463094097+7544.998594926389i             1441.8951260260199+7545.147010520163i
190                                               1519.3930987809958+7738.171904555123i             1519.3932399456535+7738.319806909365i             1519.395871958862+7738.547794645899i              1519.4009052599065+7738.66719435923i              1519.4082047027541+7738.825712477005i
195                                               1598.7812128753806+7931.056953011584i             1598.789156973681+7931.216023841851i              1598.7998311184458+7931.456941019497i             1598.813133408365+7931.586030083251i              1598.8289111318484+7931.754913657217i
200                                               1680.0651658215024+8123.176668892518i             1680.0821857667802+8123.347227053067i             1680.1021710350335+8123.60134151102i              1680.1250056694068+8123.740334501027i             1680.150517287366+8123.919748009638i
205                                               1763.2379809918446+8314.516620498784i             1763.2654519029584+8314.698884829753i             1763.296115598402+8314.966360443063i              1763.3298402092278+8315.115364122901i             1763.3664314471118+8315.305360663697i
210                                               1848.2928448272567+8505.06238858977i              1848.3322376097944+8505.256464990667i             1848.375038303125+8505.537348834332i              1848.4210971304358+8505.696349420008i             1848.4701955268577+8505.896858114378i
215                                               1935.2231010868948+8694.799518202217i             1935.2759747225468+8695.005386984407i             1935.3324538866314+8695.29959683297i              1935.392368771525+8695.468447675601i              1935.4554740317358+8695.679261551928i
220                                               2024.0222377485088+8883.713473828815i             2024.090230281541+8883.930977478112i              2024.162002611357+8884.238289777286i              2024.2373626523456+8884.416699582182i             2024.3160356641536+8884.637464081687i
225                                               2114.6838675176496+9071.789598556503i             2114.7686857373174+9072.018430019607i             2114.857428164161+9072.338468477265i              2114.949878061379+9072.525990212176i              2115.045728578541+9072.756192457191i
230                                               2207.201702824407+9259.013077631646i              2207.3051106853477+9259.252769286637i             2207.4125501055237+9259.58499420357i              2207.523777226977+9259.781014835327i              2207.638450292236+9260.019973799604i
235                                               2301.569526225739+9445.368906860085i              2301.693332023049+9445.618820283715i              2301.821231801649+9445.962518771255i              2301.952952023754+9446.16624996681i               2302.0881131710044+9446.4131076937i
240                                               2397.78115705857+9630.84186609537i                2397.9271994222117+9631.101182757897i             2398.077344720378+9631.455459967981i              2398.231287112701+9631.665929895536i              2398.3886064285143+9631.919643901178i
245                                               2495.8304151456814+9815.41649799667i              2496.0005479270603+9815.684211021544i             2496.174729937773+9816.047982523376i              2496.3526203722204+9816.264028870419i             2496.5337555254555+9816.523365860667i
250                                               2595.7110823984785+9999.077092159288i             2595.907158516887+9999.351999247743i              2596.1071576927425+9999.723984655713i             2596.310701482611+9999.944249002507i              2596.5172798060594+10000.207780017103i
255                                               2697.416863030351+10181.807674609568i             2697.64071738498+10182.088372250806i              2697.8682857626018+10182.467090222379i            2698.0991494409136+10182.6900138718i              2698.3327492045205+10182.956110966104i
260                                               2800.94134312581+10363.592002600732i              2801.194774670045+10363.876881661155i             2801.4516174044097+10364.260646368533i            2801.711409759781+10364.484467717422i             2801.9735407606568+10364.751302288021i
265                                               2906.2779502267695+10544.413564558337i            2906.562703322484+10544.700807343546i             2906.850459560199+10545.087726492684i             2907.140712068627+10545.310480051585i             2907.4327956803318+10545.576022878828i
270                                               3013.419913567589+10724.255584973162i             3013.737658743972+10724.54316383099i              3014.0578819559078+10724.931138317848i            3014.38002875002+10725.15065544016i               3014.7033775864547+10725.412678522274i
275                                               3122.3602255283513+10903.101033954947i            3122.7125397723075+10903.386711503104i            3123.066677696832+10903.773436757294i             3123.4220352221573+10903.987348142571i            3123.777832566097+10904.243428369888i
280                                               3233.0916048216363+11080.932641139274i            3233.479951530657+11081.213972149233i             3233.8693258681365+11081.59694123134i             3234.259072368908+11081.802681237268i             3234.648351551402+11082.050205959984i
285                                               3345.6064618664486+11257.732913577149i            3346.0321706140417+11258.007248572168i            3346.4579566108246+11258.38375703369i             3346.883111629548+11258.578569843792i             3347.3067354871196+11258.8147443394i
290                                               3459.8968667373474+11433.484157188956i            3460.3611129770993+11433.748647772249i            3460.8243190702683+11434.11580033432i             3461.285723086149+11434.296747977543i             3461.7443637082724+11434.518604839448i
295                                               3575.9545200195917+11608.168501362048i            3576.4583048867626+11608.42010729875i             3576.959752537563+11608.77482632986i              3577.4580469361313+11608.938798571944i            3577.9521658395306+11609.143209002721i
300                                               3693.7707268276035+11781.767926238192i            3694.314857165121+11782.003424292963i             3694.855161054424+11782.342460090907i             3695.390768560894+11782.486186168011i             3695.9205974717966+11782.66987316484i
305                                               3813.3363741796684+11954.264292212049i            3813.9214429430867+11954.480286725988i            3814.5009916555928+11954.800229596636i            3815.0740974074147+11954.920291775597i            3815.639619818505+11955.079845164606i
