% Model:              2D Model _ g1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 18 2017, 00:39
% Table:              Table 2 - g1u_r2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
100                                               868.3571653915242+7770.545084224638i              868.3033423264594+7771.002209480556i              868.2497615602098+7771.351691518924i              868.196370122144+7771.687192724535i               868.1431189880963+7771.990072033156i              868.0899561899904+7772.273564980704i              868.036842789032+7772.5442019306165i              867.9837290614842+7772.791808259315i              867.9305709435257+7773.024772761763i              867.8773303319617+7773.246947279057i
105                                               958.2396775433535+8149.421657177039i              958.1812774433396+8149.903159657037i              958.1234596630185+8150.271688392349i              958.0661624020911+8150.6255805332075i             958.0093290162778+8150.945254236924i              957.9528992408259+8151.2445983980515i             957.8968288393979+8151.530468543433i              957.8410609253115+8151.792170105234i              957.7855452527265+8152.038507729861i              957.7302392404458+8152.273522827998i
110                                               1052.1173670909047+8527.048194848732i             1052.0532876813263+8527.554694702641i             1051.9901579275256+8527.9428928211i               1051.9279056450305+8528.315799730197i             1051.866465194872+8528.652891336797i              1051.8057665121353+8528.968708477745i             1051.745759034286+8529.270431439632i              1051.6863773542782+8529.546843858692i             1051.6275638513766+8529.807165506514i             1051.5692705042798+8530.05562667731i
115                                               1149.9851461690291+8903.37428805424i              1149.914280300059+8903.906574176897i              1149.844764220286+8904.315234048521i              1149.7765136316334+8904.707950099253i             1149.7094523634487+8905.063254456687i             1149.6434988859248+8905.396338417411i             1149.5785951556636+8905.714706601653i             1149.51466572689+8906.006618917098i               1149.451644263444+8906.281709499282i              1149.3894762456819+8906.544396826963i
120                                               1251.8322766811368+9278.347859151034i             1251.7535223384523+9278.906889099491i             1251.6765565724922+9279.336972010742i             1251.6012810621276+9279.75046068607i              1251.5276074042768+9280.124941861404i             1251.455440754827+9280.476255745138i              1251.3847142972324+9280.81223084287i              1251.3153408737242+9281.12060131549i              1251.247243935111+9281.411414867234i              1251.180361270981+9281.689277429543i
125                                               1357.6430650751283+9651.916238307162i             1357.5553350238172+9652.503139059942i             1357.4698771753958+9652.955775311268i             1357.3865770822329+9653.391168633767i             1357.3053322275885+9653.785958683382i             1357.2260324087626+9654.156632952372i             1357.148600601968+9654.511343359687i              1357.0729360859873+9654.837296208805i             1356.9989504373807+9655.144951941415i             1356.9265724295235+9655.439103170938i
130                                               1467.3975284801752+10024.026941984506i            1467.299759942701+10024.643011347489i             1467.2047985479032+10025.119501023595i            1467.1125113983153+10025.578099657516i            1467.022779792812+10025.994498056007i             1466.9354759174296+10026.38582930964i             1466.8505109547527+10026.760568229682i            1466.7677685802541+10027.105391058185i            1466.6871466532518+10027.431170112794i            1466.6085634553483+10027.742883869643i
135                                               1581.072009739215+10394.628228584492i             1580.963174400318+10395.274937034863i             1580.857739178268+10395.776751171035i             1580.7555501722923+10396.260024957848i            1580.6564702274081+10396.699498475378i            1580.5603514386644+10397.112948643218i            1580.4670914382075+10397.509172621278i            1580.3765560488805+10397.874314281513i            1580.2886273794968+10398.219656904346i            1580.203211593647+10398.550363976607i
140                                               1698.6397324948348+10763.669487734824i            1698.518847003389+10764.348480460578i             1698.4020195843768+10764.877262447992i            1698.2890725402626+10765.386851115149i            1698.1798477610278+10765.85103386843i             1698.074174534483+10766.288229595726i             1697.9719349930033+10766.707557218646i            1697.8729746468598+10767.09462582594i             1697.7771576041257+10767.461128712845i            1697.6843760982456+10767.812413470398i
145                                               1820.0712950120997+11131.10150553886i             1819.9374321045098+11131.814604484749i            1819.8083573581616+11132.372171419502i            1819.6838662092578+11132.909885272196i            1819.5637768666181+11133.400578720037i            1819.4478928136814+11133.863310684515i            1819.3360785473444+11134.307521206996i            1819.2281565553592+11134.71828207965i             1819.1239704617751+11135.107695609848i            1819.023396573395+11135.481292542736i
150                                               1945.335105550008+11496.876637313257i             1945.187405830966+11497.625843008593i             1945.045303824372+11498.214186840183i             1944.9085647467612+11498.782007203952i            1944.7769801253849+11499.301179890042i            1944.6503243693753+11499.791401826757i            1944.5284419730176+11500.262433497086i            1944.4111294247118+11500.698806762803i            1944.298207139186+11501.113031910114i             1944.189533284337+11501.510821815911i
155                                               2074.397763843894+11860.948911227728i             2074.2354482568444+11861.73640425917i             2074.079626873171+11862.35769252618i              2073.930031025597+11862.9577717609i               2073.7864222763324+11863.50755859759i             2073.64854237844+11864.027385863053i              2073.5162132054816+11864.52733374971i             2073.3892019990963+11864.99139144739i             2073.2673029475836+11865.43247613275i             2073.1503536345012+11865.856481751904i
160                                               2207.224394038635+12223.274080337042i             2207.0467769867587+12224.10222227093i             2206.8766451712363+12224.758798281744i            2206.713692037677+12225.39345920237i              2206.557645590965+12225.97616014479i              2206.4082109974183+12226.527867632623i            2206.2651846393846+12227.058980782753i            2206.1283009385656+12227.552943258403i            2205.997324551471+12228.023078001039i             2205.8720697654853+12228.47545891032i
