% Model:              2D Model _ r1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 16 2017, 08:14
% Table:              Table 2 - r1u_g1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
100                                               868.4825343724914+7657.707238932596i              868.4187823815427+7657.907689172164i              868.3546462193206+7658.100095477337i              868.290080705425+7658.290393109297i               868.2250348448609+7658.464211478933i              868.1594599191575+7658.624293823165i              868.093325759821+7658.795090087766i               868.0265677279617+7658.940333158351i              867.9591477587529+7659.080388088519i              867.8910250670283+7659.219845584922i
105                                               958.5737600268044+8031.060628433716i              958.5095817464778+8031.27251689501i               958.4453139311906+8031.475960162724i              958.3809078165626+8031.6771909620975i             958.3163091544183+8031.861106240034i              958.2514655250793+8032.030584610606i              958.1863461773254+8032.211314921857i              958.1208823452705+8032.365186592975i              958.0550342565158+8032.51359568983i               957.9887601740895+8032.66136458134i
110                                               1052.6757778147048+8403.179383660918i             1052.610142735309+8403.403226232054i              1052.5447278852312+8403.618212877556i             1052.4794799956412+8403.830873541307i             1052.4143405695722+8404.02537030014i              1052.349252504829+8404.204716518696i              1052.2841840622632+8404.39584195666i              1052.2190610801679+8404.55878776099i              1052.15384145467+8404.715982481259i               1052.0884819046769+8404.872480027458i
115                                               1150.7865905706055+8774.014878400683i             1150.718517108906+8774.251389520889i              1150.6509927393818+8774.478625202555i             1150.5839586396783+8774.703412377588i             1150.5173509574959+8774.909175752073i             1150.451106787532+8775.099062813159i              1150.3851929194127+8775.301246357496i             1150.319528375264+8775.473914259144i              1150.2540679891579+8775.640529115952i             1150.188766259468+8775.806376283237i
120                                               1252.8987663172345+9143.516501179072i             1252.8273365915313+9143.766583488883i             1252.7568082368932+9144.006962041922i             1252.6871156871273+9144.24476051928i              1252.618188504676+9144.462663668186i              1252.5499567165866+9144.663952465053i             1252.4823850701557+9144.878044974863i             1252.4153842111266+9145.061270602027i             1252.348905063893+9145.238127656388i              1252.282899119579+9145.414132860411i
125                                               1359.000098996129+9511.632755129565i              1358.9244720540298+9511.897490578474i             1358.8501267372196+9512.152084384816i             1358.7769894125968+9512.403956756705i             1358.7049816851752+9512.63504979308i              1358.634025111826+9512.848777316518i              1358.5640817215742+9513.07580498909i              1358.495052072079+9513.270598366595i              1358.4268822091353+9513.458693211986i             1358.3595197233324+9513.645837550348i
130                                               1469.0742517164426+9878.312056616714i             1468.993675907102+9878.592698707864i              1468.9147947039269+9878.862750236647i             1468.8375249293344+9879.12992771244i              1468.7617787207398+9879.375427790503i             1468.6874675917186+9879.602796492085i             1468.6145500812781+9879.84394951078i              1468.5429147845716+9880.051482959321i             1468.4725017526614+9880.251971899068i             1468.4032536821924+9880.451395603619i
135                                               1583.1013568555022+10243.503306790564i            1583.0151818688564+10243.801273630086i            1582.9311520773101+10244.088187776862i            1582.8491731105173+10244.372061810196i            1582.7691459733583+10244.633344036267i            1582.6909703941335+10244.875712014047i            1582.614600530007+10245.132334005464i             1582.539910954172+10245.353930879906i             1582.4668344769223+10245.568118926742i            1582.3953077710719+10245.781108628917i
140                                               1701.0585616598355+10607.1562923826i              1700.9662505554634+10607.473160212412i            1700.8765777984606+10607.778497104424i            1700.7894360003188+10608.080611472442i            1700.7047131942097+10608.359200264762i            1700.6222953881122+10608.618071899424i            1700.5421313345973+10608.891649847457i            1700.4640793431668+10609.12877371762i             1700.3880635687947+10609.358103060911i            1700.314013385533+10609.586079530398i
145                                               1822.9205161098323+10969.221958302698i            1822.8216575386712+10969.559455143637i            1822.7259780181105+10969.884923066926i            1822.6333551071707+10970.206966077847i            1822.5436618450656+10970.504526639887i            1822.4567683731157+10970.78154334544i             1822.372616880669+10971.073697608432i             1822.2910469493022+10971.327941554846i            1822.2119724888298+10971.573980114195i            1822.1353141543464+10971.818486095333i
150                                               1948.6598043900576+11329.652583887251i            1948.5541250964427+11330.01258303849i             1948.452218064502+11330.36003118979i              1948.3539435574867+11330.70382769824i             1948.2591573827942+11331.022157299145i            1948.1677114443928+11331.319088062492i            1948.0795400423012+11331.631562186401i            1947.9944613394607+11331.904637872178i            1947.9123772106343+11332.169067657458i            1947.8331980013515+11332.431755486723i
155                                               2078.2473234602344+11688.401886772966i            2078.1347010844042+11688.78639987376i             2078.0265015827986+11689.157810679373i            2077.9225654267284+11689.525313654613i            2077.8227287339555+11689.866332445354i            2077.7268225463304+11690.185063904253i            2077.6347717672325+11690.51971395607i             2077.5463701940735+11690.81344022451i             2077.4615056661837+11691.098045190442i            2077.380076428408+11691.38066393289i
160                                               2211.652613261568+12045.425072330561i             2211.5330894019658+12045.836241784065i            2211.418701196185+12046.23372255141i              2211.3092665638774+12046.62700396791i             2211.2045992150097+12046.992745114481i            2211.1045064328114+12047.335270934045i            2211.0089020094574+12047.694054133472i            2210.9175521570883+12048.01034489268i             2210.8303284352655+12048.316998088414i            2210.747114991067+12048.621379962507i
165                                               2348.8441432109707+12400.67884215605i             2348.717936680725+12401.118932726364i             2348.5976453232342+12401.544706462835i            2348.483061463521+12401.9659473398i               2348.373973410555+12402.358546291398i             2348.2701614822636+12402.726955664377i            2348.1715264267123+12403.111918130287i            2348.0778033439537+12403.452769347514i            2347.9888450050335+12403.783419184876i            2347.904519221448+12404.111465092485i
