% Model:              2D Model _ r2u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 17 2017, 09:55
% Table:              Table 1 - r2u_r2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
100                                               929.5983517729658+16846.939405388424i             929.5423576616788+16846.87966737866i              929.4869572429257+16847.25350891057i              929.4320804465701+16847.932584658978i             929.3776639394309+16848.288008946245i             929.3236421873963+16848.63205633436i              929.2699638928335+16849.133492822355i             929.216570146824+16849.430197979582i              929.1634067188309+16849.722292253213i             929.1104275388373+16850.112229104732i
105                                               1025.8891305714096+17680.360524349642i            1025.8258383598452+17680.299054725278i            1025.7635587457505+17680.692969628115i            1025.7022075982204+17681.407490113248i            1025.6417092970498+17681.78227183721i             1025.581985579928+17682.145188002687i             1025.522975746582+17682.67343530163i              1025.464610142185+17682.98677301184i              1025.4068247425387+17683.29531833556i             1025.3495658064144+17683.706640557753i
110                                               1126.4810315944312+18512.647759202137i            1126.4091572396774+18512.58518549148i             1126.3387531873257+18512.999815603653i            1126.269718989757+18513.750434461785i             1126.2019647543696+18514.14523681136i             1126.1353974040824+18514.52769215238i             1126.0699452713284+18515.08342660158i             1126.0055261434427+18515.414076897152i            1125.9420645426699+18515.739755486276i            1125.8794976947306+18516.17314629157i
115                                               1231.370991702914+19343.75629313066i              1231.2892094632725+19343.693405799775i            1231.2094009551045+19344.129557459317i            1231.131446934422+19344.917094250057i             1231.0552410180712+19345.332747649147i            1230.9806730119503+19345.73558098813i             1230.9076585361413+19346.319648471224i            1230.836100811843+19346.668461936526i             1230.765911049339+19347.012127481474i             1230.6970159460288+19347.468442424622i
120                                               1340.5499896152971+20173.63954545996i             1340.4569401473882+20173.577302919584i            1340.3664209748722+20174.035951269096i            1340.278291298156+20174.861395086707i             1340.1924258094557+20175.298900096288i            1340.1086946514497+20175.72312087679i             1340.0269987947524+20176.336538303174i            1339.9472246756259+20176.704536835692i            1339.8692681402674+20177.067214549545i            1339.7930436810661+20177.547480847057i
125                                               1454.0037949138148+21002.250316042475i            1453.898093487407+21002.189850196126i             1453.795539851538+21002.672144060834i             1453.695968640231+21003.53665772595i              1453.599232936802+21003.997188559617i             1453.5051804154232+21004.443979663556i            1453.413695260243+21005.087937096792i             1453.3246446800417+21005.47631533245i             1453.2379068846649+21005.859202666743i            1453.1533823086427+21006.36461920796i
130                                               1571.713683952344+21829.541612006473i             1571.5939289915266+21829.48423423063i             1571.478008454017+21829.991501421173i             1571.3657290880303+21830.896426121373i            1571.2569194252046+21831.381334590747i            1571.151401588981+21831.85205561684i              1571.0490406341648+21832.52791885693i             1570.9496818471946+21832.93804606773i             1570.8531833025781+21833.34251392489i             1570.7594293337593+21833.874451766962i
135                                               1693.6570993479536+22655.46723721239i             1693.5218815592423+22655.41444457621i             1693.3912625062326+22655.94819745837i             1693.26501742849+22656.89505763185i               1693.1429470886458+22657.405877378475i            1693.0248446811722+22657.902068176572i            1692.9105535514386+22658.611381616873i            1692.799894113737+22659.044803874556i             1692.692701551893+22659.472398058002i             1692.588841853455+22660.0324012035i
140                                               1819.8082441777378+23479.982204818516i            1819.6561563379557+23479.935686429388i            1819.509518119486+23480.497627577275i             1819.3680692949904+23481.48813591151i             1819.2315793380596+23482.02658669349i             1819.0998088286326+23482.54997097569i             1818.9725765629855+23483.29446051558i             1818.849674860432+23483.752902901047i             1818.7309129901546+23484.205345638296i            1818.6161361118538+23484.79513182961i
145                                               1950.1386098924413+24303.043018223467i            1949.9682574133803+24303.00466149842i             1949.804301226304+24303.59668929745i              1949.6464413291535+24304.63275160603i             1949.4944120648365+24305.20074350127i             1949.3479373649668+24305.753232333907i            1949.2068083811585+24306.53480815768i             1949.0707858023618+24307.02017682773i             1948.9396496690392+24307.49936811244i             1948.8132215909175+24308.12082945465i
150                                               2084.6174412799464+25124.60785395069i             2084.4274535664986+25124.579750707515i            2084.2449141314114+25125.20396471284i             2084.0694784971006+25126.287684602477i            2083.900841697858+25126.887321931325i             2083.7386866239735+25127.471016926997i            2083.5827733860424+25128.291775971127i            2083.4328271806935+25128.806159887983i            2083.2885951919684+25129.314178465225i            2083.149872487592+25129.96938167245i
155                                               2223.2121436166335+25944.636671475306i            2223.0011862508472+25944.621123682744i            2222.7988442738347+25945.279829638297i            2222.6047236441136+25946.413512765117i            2222.4184755284546+25947.047097601466i            2222.239736990876+25947.664293677662i             2222.0682333834575+25948.526521620654i            2221.903650205266+25949.072193770855i             2221.745697808068+25949.611297596246i             2221.5941414323997+25950.302483670646i
160                                               2365.8886378786315+26763.091268498538i            2365.655425590858+26763.090793582556i             2365.4321210316352+26763.786507943034i            2365.218275051629+26764.972665755293i             2365.0134900012818+26765.64270088468i             2364.8173519065026+26766.295888427256i            2364.6295473071114+26767.20206106038i             2364.4497174068442+26767.78147903323i             2364.277531387187+26768.3541050464i               2364.112721056583+26769.083688258543i
165                                               2512.611669724327+27579.935295451058i             2512.354980162243+27579.952631045697i             2512.1096262384312+27580.68808491619i             2511.8750976886213+27581.92943777149i             2511.6509426636158+27582.63862897377i             2511.4366904920057+27583.330495297614i            2511.2319844724793+27584.283279150233i            2511.0364165014266+27584.899084934208i            2510.8496098447586+27585.507848024576i            2510.6712589295653+27586.27841404155i
170                                               2663.345077586689+28395.134239538856i             2663.0637658092305+28395.17234758744i             2662.795363715515+28395.950489958774i             2662.5392934244073+28397.24996950602i             2662.295043035547+28398.001227079385i             2662.062079033772+28398.734657077483i             2661.8399966334237+28399.736909211002i            2661.628332977528+28400.391928108733i             2661.4266602369457+28401.039619161435i            2661.2346311180468+28401.85392222883i
