% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 15 2017, 19:50
% Table:              Table 8 - tu_r4 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
100                                               406.9310067074774+712.0943587165119i              406.33408340654296+697.5065419891666i             405.72802029383206+683.3226339560522i             405.11274882781254+669.522298059896i              404.48844973671453+656.0925716829345i             403.8550308017191+643.0148656443204i              403.2124156456224+630.2712072127791i              402.5608942546242+617.8539402833284i              401.90025299448683+605.7443963719205i             401.23055308864264+593.9304929576908i
105                                               447.1259804966557+735.5822916958081i              446.39574027077896+720.1038952232368i             445.6544518716919+705.0503891823108i              444.90203726195944+690.4004136324056i             444.13872375031934+676.1404204911339i             443.36440432993743+662.2508784204404i             442.578991559633+648.7129035577666i               441.7828463810287+635.5185474587794i              440.9757133697873+622.6481625624303i              440.1576735333801+610.0890867589411i
110                                               488.75961149238645+757.4305853979707i             487.87703699903574+741.0410382373348i             486.9812531782264+725.0975638165455i              486.0721720130173+709.577779271634i               485.1500749123865+694.4675604382805i              484.21483887972056+679.7464334940274i             483.26636470875894+665.3946030076598i             482.3050953321111+651.4038410729396i              481.33072852848244+637.753516480524i              480.3433688184106+624.4303918164716i
115                                               531.780703430554+777.5765539640163i               530.7250426656443+760.254962189725i               529.6537408153998+743.4008551750735i              528.5666995915901+726.9908279390862i              527.4642629671683+711.0101901189963i              526.3462908901417+695.4375254043263i              525.2126718625003+680.2521266545334i              524.063943124202+665.4454999084962i               522.899750433123+650.9960259846246i               521.7202261627343+636.889896803965i
120                                               576.1334630230458+795.958793658172i               574.8821828303475+777.6840438234556i              573.6125420641906+759.8984521940874i              572.3244321232344+742.5775928461507i              571.0182690233894+725.7062195854843i              569.6938947827415+709.2619739692899i              568.3511853231369+693.2232373118645i              566.9907858620024+677.5812635079262i              565.6122847599953+662.3134413656062i              564.2158472425181+647.40539713533i
125                                               621.7579490323194+812.517719690301i               620.2866944461558+793.2685832622905i              618.7940558091165+774.5305741904358i              617.2799144765703+756.2782471730408i              615.7447690850881+738.4958110172049i              614.1884430962847+721.1599658781684i              612.610799857183+704.2481820291662i               611.0126076832504+687.7514755726727i              609.3933920521166+671.646239610719i               607.7533567804348+655.9175400573388i
130                                               668.5904927845698+827.1959606655123i              666.8730518071+806.9511994124795i                 665.1308841126365+787.239867201255i               663.3638616536122+768.0355013352429i              661.5725774441997+749.3217768882547i              659.7568360775812+731.0744537504729i              657.9164886906606+713.2700919995068i              656.0524433523365+695.8994847074041i              654.1641571232565+678.9380259463204i              652.2518789620718+662.37022695421i
135                                               716.5640835683503+839.9386480398034i              714.5723571382644+818.6771203589493i              712.5522281707216+797.9716953137598i              710.5035603012645+777.7948952183086i              708.4270539392849+758.1298730900312i              706.3224948782197+738.9514501097357i              704.1897228390543+720.2352773685121i              702.0298039245503+701.9719400142916i              699.8421212596322+684.1358301751869i              697.6269763874085+666.7109103927776i
140                                               765.6087179972477+850.6936282203753i              763.3126949767621+828.3943964081536i              760.9842479029317+806.6743546155443i              758.6232336923764+785.5050130194504i              756.2304745181517+764.8690146298815i              753.8057378950416+744.7402439084364i              751.3488534210942+725.0934445345252i              748.8610652341347+705.9190091316867i              746.3416770907925+687.1903254104566i              743.7910515194145+668.8908134859067i
145                                               815.6517152367882+859.4116175921366i              813.0194523360635+836.054056021316i               810.350387234993+813.2992300164626i               807.6443723165421+791.1176409171153i              804.9023673229451+769.4914341096833i              802.1241225457059+748.393559771919i               799.3094593237802+727.7978561162105i              796.459821647686+707.6945388650927i               793.5744286223778+688.055989308475i               790.65371322323+668.8650916680541i
150                                               866.6180013305186+866.0463152570603i              863.6156079368759+841.6102194272468i              860.5716684089856+817.8009096881036i              857.4860334594273+794.5878822966677i              854.3598177311638+771.952797692515i               851.1927559603546+749.867674649445i               847.9846637487075+728.3054482286047i              844.7372086530228+707.2561730334384i              841.4495200896372+686.6912224144887i              838.1221120712397+666.5929514618978i
155                                               918.4303662524327+870.5544842596865i              915.0219941432753+845.020180639164i               911.566959004047+820.137267833297i                908.0651134936003+795.8742412219135i              904.5177461038405+772.2122892135471i              900.9245783824949+749.1225025094612i              897.2854234520164+726.5769156955375i              893.6021981557119+704.565438113489i               889.8739374969807+683.0584341617224i              886.1012483400639+662.0377367558937i
160                                               971.0096972084917+872.8960091038144i              967.1575351904578+846.2444656775673i              963.2532152592237+820.2695235542724i              959.2965964815972+794.9386818871875i              955.2891618655661+770.2326701597788i              951.2306229218422+746.121654766252i               947.1207943729519+722.5767728427788i              942.9618701652898+699.5878043211613i              938.7527865737111+677.1241041512728i              934.4942564351704+655.1669901705475i
165                                               1024.2751914323433+873.0339352511124i             1019.9394649170991+845.2468726595679i             1015.5457049371414+818.1622814715142i             1011.093782367914+791.74666969755i                1006.585397200014+765.9803211184598i              1002.0202549451586+740.8324820197244i             997.3981769186573+716.2733954419574i              992.7216641750563+692.2927276640054i              987.9895504422574+668.8588242006601i              983.2026690561693+645.9524950057778i
170                                               1078.1445512776952+870.9344947659686i             1073.2835268474332+841.9944979018013i             1068.358212574532+813.7835582047073i              1063.368497575315+786.2671980412933i              1058.3163231980482+759.4252687704939i             1053.2013939611365+733.2261011718775i             1048.023543776491+707.6390478426828i              1042.785613094573+682.6536769772425i              1037.4863298775408+658.2373251764978i             1032.1266639711246+634.3703017360759i
175                                               1132.5341640170245+866.5671211672054i             1127.1041590123612+836.4577510734227i             1121.6032295106909+807.1047977525336i             1116.0312904297975+778.4728038075233i             1110.3905508514313+750.541201433136i              1104.6807203869962+723.2774108879152i             1098.9016526402806+696.6498982493628i             1093.056562131073+670.6481488878866i              1087.1440685245873+645.2384915175008i             1081.1652957760102+620.4007419578587i
180                                               1187.3592683548716+859.9044557564989i             1181.3146655251417+828.6103616789051i             1175.192130705301+798.100878017066i               1168.9916134052003+768.3395738541474i             1162.7156189156515+739.3054753650205i             1156.363869198651+710.9650976233078i              1149.936245849244+683.286024331508i               1143.436374596332+656.2576728883649i              1136.8627650758551+629.8453656236051i             1130.216714625706+604.0284319486407i
185                                               1242.5341093362279+850.9223471740966i             1235.827376583724+818.4293785747356i              1229.0353400129748+786.7501101918585i             1222.1579938511022+755.8471441376232i             1215.1981702694054+725.6991135250615i             1208.1556121160359+696.271633873875i              1201.0302385708897+667.5314108397303i             1193.8261262784335+639.4678081640664i             1186.5416740106477+612.0451437379944i             1179.1783735321694+585.242267442984i
190                                               1297.9720830202868+839.5998454936467i             1290.5537982697408+805.8951638519069i             1283.0424852829137+773.0342323034043i             1275.4381945694547+740.9786928110555i             1267.7441181437275+709.7067980743336i             1259.9600296620627+679.1832699510596i             1252.0858968749692+649.3739404960476i             1244.1262897048357+620.2681334380048i             1236.0794962297823+591.8291645947551i             1227.9472255436096+564.0354108915864i
195                                               1353.58587209421+825.9191919270448i               1345.4047533014202+790.9913821388004i             1337.1225444246356+756.9383979860544i             1328.7393653679728+723.7209283140531i             1320.2588033388301+691.316857654685i              1311.6806742119472+659.6900202860514i             1303.0050067943005+628.8053791677817i             1294.2369093812574+598.6522308475172i             1285.3745606461948+569.1928917998797i             1276.4199118641523+540.4052721770993i
200                                               1409.287573380837+809.8658049999491i              1400.290513696851+773.7049861635493i              1391.1839833970594+738.4511612982949i             1381.968186537829+704.0640733052901i              1372.6471433590896+670.5212502697146i             1363.2207249588944+637.7856451052776i             1353.6890352774285+605.8213561501077i             1344.0577689100069+574.6176646560103i             1334.3249976337158+544.135890789868i              1324.4929417907433+514.3534836053205i
205                                               1464.9888180667751+791.4282638967062i             1455.1209261624283+754.0261992997296i             1445.1348869107987+717.5644583100411i             1435.031005046332+682.0018451309802i              1424.8137742521044+647.3155424725521i             1414.4831355570345+613.4676281477019i             1404.0392838133903+580.4213402492664i             1393.4885507368986+548.1659554912574i             1382.8289050520755+516.6618010236341i             1372.0628651840225+485.88586983706693i
210                                               1520.6008853701637+770.5982896031853i             1509.8055309097274+731.948495687884i              1498.8830825668465+694.273586050944i              1487.8339641392784+657.5314334292026i             1476.6631858344517+621.6988854482145i             1465.3707751298455+586.7371510416631i             1453.9570353589359+552.6086122405844i             1442.4289891645283+519.3025506965718i             1430.7845074993409+486.7783039963343i             1419.026438089767+455.01241334770947i
215                                               1576.0348102759506+747.3707243537522i             1564.2536745340785+707.4685784647291i             1552.3362590145666+668.5771793398492i             1540.2831269441403+630.6534753868398i             1528.099850885481+593.6739884994005i              1515.78656319836+557.5990648326349i               1503.3436951589836+522.3902342278882i             1490.7790171888319+488.0367912945585i             1478.0903093033908+454.49708759016846i            1465.2807820312942+421.7472159212287i
220                                               1631.2014859141073+721.7435098649959i             1618.3746175086226+680.5863565525641i             1605.4020787150243+640.4771859646607i             1592.284594634095+601.3720291054699i              1579.0283488544005+563.2470904155688i             1565.6335990687523+526.0618591240955i             1552.1009259498555+489.7770163513881i             1538.4389076603404+454.3818760275028i             1524.6452417622168+419.83380721450584i            1510.7235374521008+386.10845663264683i
