% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 12 2017, 09:54
% Table:              Table 9 - tu_b (acpr.p_t*2*pi*r)
% freq (Hz)                                       g_side=0.02, acpr.p_t*2*pi*r (N)                  g_side=0.04, acpr.p_t*2*pi*r (N)                  g_side=0.06, acpr.p_t*2*pi*r (N)                  g_side=0.08, acpr.p_t*2*pi*r (N)                  g_side=0.1, acpr.p_t*2*pi*r (N)                   g_side=0.12, acpr.p_t*2*pi*r (N)                  g_side=0.14, acpr.p_t*2*pi*r (N)                  g_side=0.16, acpr.p_t*2*pi*r (N)                  g_side=0.18, acpr.p_t*2*pi*r (N)                  g_side=0.2, acpr.p_t*2*pi*r (N)
100                                               186.48667966824925+354.61844034189005i            185.97070438381948+339.75550940005365i            185.43792231376767+325.7526187785845i             184.88858484686418+312.5374871150279i             184.32263218229122+300.0357680321998i             183.73915151034282+288.1605151272126i             183.1412971459085+276.9363765006108i              182.5259111705914+266.2314758138622i              181.89421148598274+256.03169687682066i            181.24616088494386+246.29583872755475i
105                                               205.088016107563+367.21261061997313i              204.45633441172095+351.45373514556803i            203.8042971030584+336.5993858753144i              203.13223433551337+322.573786451986i              202.44009402233198+309.2988833420048i             201.7267783866188+296.68315058758077i             200.99617769622606+284.7534070325692i             200.2444409120292+273.3702979720739i              199.47308369298747+262.51937657543493i            198.68208262110832+252.15739733556944i
110                                               224.39094090890652+379.1076097023904i             223.62693174373234+362.4328400843917i             222.8385414933435+346.70745119735625i             222.02619338799371+331.8521921470296i             221.18984728067807+317.785307947034i              220.32819729230695+304.41066724387866i            219.44597787730285+291.75738618208794i            218.5385494825092+279.67852060900543i             217.60777145949322+268.15934597720906i            216.6536397408956+257.15457830824533i
115                                               244.37638592726137+390.2753189067914i             243.46188458349414+372.66427921888675i            242.5184645493901+356.04789581188527i             241.54665864601884+340.3434654157494i             240.54644414586562+325.46553853195906i            239.51628264242+311.31335314768205i               238.46187210717866+297.91845297583046i            237.3776810160573+285.12619203971144i             236.26596361169476+272.92162308115354i            235.12674222883237+261.2574308130482i
120                                               265.0232914478565+400.68794361743494i             263.9385423953781+382.1199165452223i              262.81979027439974+364.5922994228942i             261.6676964656475+348.0189604916914i              260.4822626153554+332.3107639836383i              259.2616922080691+317.36229274095945i             258.0127776914906+303.20765152243854i             256.72898398525575+289.6843794288583i             255.41301704007998+276.7773633900073i             254.06493436655722+264.43726508259397i
125                                               286.30879596865174+410.31825324011936i            285.03241018464036+390.77226600838225i            283.71635671293507+372.3129823446618i             282.3614471782006+354.850867627172i               280.96771625601303+338.2931094125794i             279.5330827542565+322.52961188692836i             278.06557669178727+307.5971770194469i             276.55753970164767+293.3254157315702i             275.0121922272186+279.6991077291707i              273.4296377060767+266.66690104235096i
130                                               308.208413377437+419.13975682023886i              306.7173298330034+398.5946681397149i              305.1803017655221+379.1831831654027i              303.5983157103166+360.812391778152i               301.9714499773909+343.38581584982137i             300.2973113284743+326.78865855435436i             298.58532308524553+311.06055738220226i            296.8265757368976+296.0230822173185i              295.0248733307686+281.6609655948294i              293.18037821993596+267.92085239100027i
135                                               330.69619440028555+427.12683129979285i            328.9656454864606+405.5614193585207i              327.1822328246686+385.17718909831603i             325.34714580025974+365.8778839974598i             323.4605191692975+347.5633726579117i              321.51961968401736+330.1141362095347i             319.53543282733375+313.5727875635861i             317.4976620170623+297.75274364707803i             315.4107707001967+282.6387511032728i              313.2749956518844+268.17546322108643i
140                                               353.7448717899511+434.2548149749299i              351.7483525364434+411.6478665068732i              349.69137987124014+390.27043158695955i            347.57537753527396+370.0229380900019i             345.40055202556783+350.8016151998894i             343.1638017537654+332.48220245632115i             340.8778568278453+315.1104290903355i              338.53088969151986+298.4914486271034i             336.1281060356814+282.61008405824094i             333.6698353683693+267.40900967589914i
145                                               377.3259900510337+440.50007538757166i             375.0352310695388+416.8304758370638i              372.6757329612599+394.4395563684739i              370.2491892081902+373.2244617214869i              367.75589611415745+353.0777969515087i             365.1923553014017+333.870542081666i               362.57323804027925+315.65168395951866i            359.8850340524576+298.21800425623536i             357.13378152826374+281.554465226533i              354.3199241286113+265.60177570675097i
