% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 12 2017, 09:53
% Table:              Table 5 - tu_g2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_side=0.02, acpr.p_t*2*pi*a (N)                  g_side=0.04, acpr.p_t*2*pi*a (N)                  g_side=0.06, acpr.p_t*2*pi*a (N)                  g_side=0.08, acpr.p_t*2*pi*a (N)                  g_side=0.1, acpr.p_t*2*pi*a (N)                   g_side=0.12, acpr.p_t*2*pi*a (N)                  g_side=0.14, acpr.p_t*2*pi*a (N)                  g_side=0.16, acpr.p_t*2*pi*a (N)                  g_side=0.18, acpr.p_t*2*pi*a (N)                  g_side=0.2, acpr.p_t*2*pi*a (N)
100                                               174.62830486906324+649.9714025123784i             174.49023313952398+628.7097188257337i             174.3487925061112+608.6770263322032i              174.20397306578892+589.7756444717213i             174.05572026694733+571.9026520951105i             173.90383410825294+554.9339770762233i             173.74881041655155+538.9132568595097i             173.59008845112598+523.6490680404813i             173.4278286828659+509.122174953538i               173.26200796380422+495.2766343542056i
105                                               192.60290946659063+679.6131820856999i             192.43512581490185+657.216500178002i              192.26324695622364+636.1103389891657i             192.08726130235223+616.192162685884i              191.90710294740077+597.3538926216333i             191.72252894422854+579.4651409740014i             191.53414338737184+562.5720959013375i             191.34126425865222+546.473395731151i              191.14408744920726+531.1489759780094i             190.94258537950003+516.5400996610388i
110                                               211.35714983676138+708.8703880643076i             211.15520869059284+685.3286676411172i             210.9483406540799+663.1390275452528i              210.7365323706203+642.194081384572i               210.51970502931206+622.3805919375967i             210.29756640096127+603.5618402274043i             210.070845453612+585.7866184456536i               209.83872068700921+568.8435747153972i             209.60142898258678+552.7118353141342i             209.3589378571778+537.3298705779225i
115                                               230.88720847546577+737.7266400795605i             230.64625948765027+713.0294715900759i             230.39943759002864+689.7459784459138i             230.14672759958748+667.7639287442148i             229.8880361391346+646.9649256886596i              229.62301480620835+627.2059031597449i             229.3525356517126+608.5383130948567i              229.07561781529645+590.7407593912548i             228.792545304081+573.7915796315565i               228.50328026095812+557.6264526894911i
120                                               251.1879854888049+766.1652597372415i              250.90275949913755+740.3018784141503i             250.61059107502373+715.9138086692919i             250.3114631834829+692.883978484468i               250.00526611364734+671.0888305828161i             249.69158781881848+650.3789352067411i             249.37146332301603+630.8084621271547i             249.0437307877265+612.145914957117i               248.70872808000345+594.3688640869354i             248.36641150405316+577.4101983297119i
125                                               272.2532400696189+794.1694887257846i              271.9180357174415+767.1287889903064i              271.57468654660994+741.6250845719615i             271.22317369456295+717.5364690925059i             270.86336924023306+694.7342239952205i             270.49478942942284+673.0625389103926i             270.1186539003465+652.5783618820933i              269.73359641746833+633.0400381945176i             269.34001606862046+614.42439350979i               268.93786286973454+596.6615281801364i
130                                               294.07572567528354+821.722646927677i              293.68439666470977+793.4931971143386i             293.2835780815291+766.862480639118i               292.87324929891093+741.7037628916839i             292.45326220556245+717.8831633624628i             292.0230526654723+695.2384736405955i              291.5840483968896+673.8294828114557i              291.13465348435+653.4043178538004i                290.6753362570837+633.9390831274416i              290.20604001244385+615.3610923323196i
135                                               316.64731451005355+848.8082457170001i             316.19325753198683+819.3783030665106i             315.7282142080494+791.6088933206975i              315.25216227137173+765.3684601510463i             314.7649313343458+740.517960562317i               314.26586758040344+716.8887702458011i             313.7566321698506+694.5435844043348i              313.2353723000364+673.220249851585i               312.7026342503638+652.8941740359537i              312.1583542002295+633.4898860380595i
140                                               339.9591096336184+875.4100678713701i              339.435252930882+844.7675937502316i               338.8987513298189+815.8475213949614i              338.3495811100655+788.5134796715353i              337.78754742053474+762.6212627210182i             337.2118968232334+737.9958120842678i              336.6245512494711+714.7027964363018i              336.0233718205612+692.4697187404356i              335.40899219435073+671.2713148904018i             334.78134106838786+651.0293316197592i
145                                               364.00154452345384+901.512222643272i              363.40033709552057+869.6448979518428i             362.78465458384073+839.5619214104274i             362.15447207317413+811.1221144077216i             361.50956796217116+784.1761080162689i             360.8490785965543+758.542390999348i               360.1752160417539+734.2896751183116i              359.48552411636+711.1350540300435i                358.78073403153576+689.0526183950866i             358.06076668701587+667.9613351262212i
