% Model:              2D Model _ g1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 12 2017, 21:47
% Table:              Table 1 - g1u_g1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_side=0.02, acpr.p_t*2*pi*a (N)                  g_side=0.04, acpr.p_t*2*pi*a (N)                  g_side=0.06, acpr.p_t*2*pi*a (N)                  g_side=0.08, acpr.p_t*2*pi*a (N)                  g_side=0.1, acpr.p_t*2*pi*a (N)                   g_side=0.12, acpr.p_t*2*pi*a (N)                  g_side=0.14, acpr.p_t*2*pi*a (N)                  g_side=0.16, acpr.p_t*2*pi*a (N)                  g_side=0.18, acpr.p_t*2*pi*a (N)                  g_side=0.2, acpr.p_t*2*pi*a (N)
100                                               10.046517588626639+361.37936294169174i            40.17923963923709+1216.0868428725994i             90.3880126801838+2439.164321214991i               160.66273113555712+3968.859214783566i             250.993259449292+5763.418532941804i               361.36938085789706+7794.332023290868i             491.7806500854725+10037.88026008967i              642.216529845696+12476.133958899583i              812.666154632801+15093.85075334922i               1003.1183963657569+17878.37240435155i
105                                               11.089407696014442+379.3577753478951i             44.349716620885324+1276.5274927875798i            99.76920159959205+2560.3001995210257i             177.33624099098677+4165.832064083576i             277.0392228018459+6049.278319872513i              398.86648286246657+8180.698687603864i             542.8061301069846+10535.182847667344i             708.8462073635651+13093.899956857233i             896.9744121449919+15840.840110496269i             1107.178174827678+18762.706542039185i
110                                               12.179150282637478+397.3247138331511i             48.707420577773085+1336.9220737890246i            109.57124582497222+2681.3319260800213i            194.75722597531544+4362.618721878631i             304.25201356565407+6334.845374068562i             438.0422396433596+8566.640973930964i              596.11430691879+11031.903644427435i               778.4545792727615+13710.900293529745i             985.0490519964833+16586.85273923855i              1215.8834447014258+19645.82491850587i
115                                               13.315755808119151+415.27972067450105i            53.25238225722943+1397.268758963279i              119.79419062328189+2802.255394151079i             212.92572564895195+4559.211886873175i             332.631631786006+6620.108277227954i               478.89656504248666+8952.14241399342i              651.7049488216626+11528.020185730129i             851.0411969882941+14327.105546798817i             1076.8893252368623+17331.851281842068i            1329.233061170195+20527.681243816176i
120                                               14.499171731677007+433.22231550002334i            57.984380676882076+1457.5656314290145i            130.4375155654949+2923.0662958724233i             231.84077526053693+4755.60390235745i              362.17651060386555+6905.0550587522175i            521.427120167+9337.185748147396i                  709.5747631075217+12023.508934580654i             926.6016210317256+14942.484899403687i             1172.4894414216067+18075.79662081579i             1447.2196674922297+21408.227061669502i
125                                               15.729290277424742+451.1520077646643i             62.90297420112724+1517.8107343007016i             141.50020447624385+3043.760234812562i             251.5005301437412+4951.786956525097i              392.88371067076844+7189.673509086459i             565.6295933905122+9721.753377079996i              769.7177771835379+12518.345897081972i             1005.1279188119854+15557.006943603144i            1271.8391985051849+18818.648898299416i            1569.8304724298118+22287.413009074815i
130                                               17.005955905475123+469.0683057892078i             68.00753046155081+1578.002106893012i              152.980812833333+3164.3328075315485i              271.9023856689184+5147.753227648895i              424.74910776854955+7473.951406818906i             611.4979707805456+10105.827689193851i             832.1257069737727+13012.507068497202i             1086.6091461657213+16170.64026435827i             1374.924592702596+19560.368254840625i             1697.0480035771834+23165.189729223806i
135                                               18.328972220815885+486.97072322453386i            73.2972540442889+1638.1378106112775i              164.87753017731742+3284.7796619089586i            293.04308838780565+5343.49498789054i              457.76756676073717+7757.876681053711i             659.0247869914124+10489.391294636062i             896.7882989320616+13505.968752070963i             1171.031794703315+16783.353856072754i             1481.7283853977194+20300.915357173777i            1828.8508080980062+24041.508523442943i
140                                               19.69810821013586+504.85878359174126i             78.77121149849816+1698.215947134036i              177.18823651607175+3405.096538092194i             314.9188365448769+5539.004676159079i              491.9330990002018+8041.437525324843i              708.2013524229686+10872.42718942739i              963.6936398728764+13998.707782493038i             1258.3801972832734+17395.11741451914i             1592.2306172851513+21040.251767727837i            1965.2140885556892+24916.321807343527i
145                                               21.113103786989228+522.7320233869528i             84.4283535850222+1758.234670838708i               189.91055253225284+3525.2792964656896i            337.52536958932507+5734.274947838217i             527.2390025815486+8324.622475285043i              759.0179557315989+11254.918867278426i             1032.8284333140425+14490.701678002759i            1348.6368898485114+18005.901535321987i            1706.409067364977+21778.34019552751i              2106.110270805959+25789.58342014585i
