% Model:              2D Model _ r1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 12 2017, 20:47
% Table:              Table 4 - r1u_g2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_side=0.02, acpr.p_t*2*pi*a (N)                  g_side=0.04, acpr.p_t*2*pi*a (N)                  g_side=0.06, acpr.p_t*2*pi*a (N)                  g_side=0.08, acpr.p_t*2*pi*a (N)                  g_side=0.1, acpr.p_t*2*pi*a (N)                   g_side=0.12, acpr.p_t*2*pi*a (N)                  g_side=0.14, acpr.p_t*2*pi*a (N)                  g_side=0.16, acpr.p_t*2*pi*a (N)                  g_side=0.18, acpr.p_t*2*pi*a (N)                  g_side=0.2, acpr.p_t*2*pi*a (N)
100                                               385.3203183066185+2001.144200340803i              385.0965548118091+1913.4551144219772i             384.8655547248253+1833.0659053862857i             384.62716350185207+1759.0316256090323i            384.3812908912414+1690.5836255311258i             384.1279994533205+1627.1066756072994i             383.8667075928866+1567.9498535533758i             383.5978502859915+1512.752452072133i              383.321184490113+1461.0777484077053i              383.0366574891122+1412.5805535973184i
105                                               425.1101918726752+2095.899565688865i              424.83851792229154+2003.6859732342969i            424.55804017384804+1919.1361338875088i            424.26857122276004+1841.257934273677i             423.9700019040497+1769.2444031854536i             423.66240897069724+1702.4497410650124i            423.345085695687+1640.190243644696i               423.0185619525309+1582.0875727681052i             422.68254287851596+1527.683128729165i             422.33696522542425+1476.6145335723309i
110                                               466.65269288037535+2189.9504415785163i            466.32595511708206+2093.1926440526704i            465.988616280053+2004.4623412603294i              465.6404513687459+1922.7202673396766i             465.28132970528367+1847.1211468600418i            464.91134468646874+1776.9886391201235i            464.52964571809514+1711.6062258068982i            464.13687232182843+1650.577997074827i             463.7326702557792+1593.4234719556287i             463.3169644716295+1539.763095014592i
115                                               509.9429635811195+2283.2670078109795i             509.55336342824523+2181.944549511483i             509.1511146373607+2089.0131925305122i             508.735949479718+2003.3865326995642i              508.30771297698004+1924.1810088837494i            507.8665179088601+1850.68976966352i               507.41134936671466+1782.163449641296i             506.94297273020476+1718.188629251436i             506.460966173949+1658.26294211235i                505.9652415319183+1601.9896676360079i
120                                               554.9734753199635+2375.8187222116753i             554.5125478210753+2269.91041302321i               554.0366530083738+2172.7566769709038i             553.5454748869354+2083.2239867242142i             553.0388312000186+2000.390515085609i              552.5168571578814+1923.5189319125016i             551.978351316208+1851.8269907859528i              551.4242226545462+1784.8838271750844i             550.8539728890739+1722.1651853433318i             550.2674993811711+1663.257192715873i
125                                               601.7343380097715+2467.574797566385i              601.1929317881272+2357.0587362543893i             600.6339470850007+2255.660586135537i              600.0570136840507+2162.1997128448115i             599.4619188830842+2075.7160439192194i             598.8488237003431+1995.4418040939995i             598.2163160975524+1920.5618311509256i             597.5654679941775+1850.6278831366867i             596.8956950911569+1785.0938112719168i             596.2068788858768+1723.5286050358404i
130                                               650.2135955574666+2558.504546817697i              649.5818539147397+2443.358144788892i              648.9296082345936+2337.692859967133i              648.256427700363+2240.280968110605i               647.5620658036265+2150.1241734813407i             646.8467131009648+2066.4242909058758i             646.1087209983432+1988.3332068311117i             645.3493453707727+1915.385372200483i              644.5679056410225+1847.0127418065028i             643.7642660284287+1782.767182133157i
135                                               700.3974976613525+2648.577629895966i              699.6648408234317+2528.7776353340378i             698.9084176293845+2418.8218343822955i             698.1277298517598+2317.4354311445513i             697.3224936233921+2223.581929814009i              696.4929331378759+2136.432772169007i              695.6371353283607+2055.106857104422i              694.7565627735338+1979.121401544396i              693.850427643091+1907.886460821751i               692.9185754441186+1840.9367943131822i
140                                               752.2707443252251+2737.764227333373i              751.4258528292651+2613.286749638299i              750.5535730845522+2499.016415473844i              749.653332196485+2393.6313766137387i              748.7248051947056+2296.0569616568714i             747.7682543993574+2205.4342778424934i             746.7814723371009+2120.849199695935i              745.7661528427377+2041.8017859648294i             744.7213891248293+1967.6801898930498i             743.6470065368856+1898.0020806182786i
145                                               805.8167027682581+2826.0351594270696i             804.8475019841396+2696.8556938812826i             803.8469082625628+2578.246199117575i              802.8142663355117+2468.8377950509253i             801.7492061954295+2367.517660441607i              800.6520331866393+2273.396608190524i              799.5202134161308+2185.527451110218i              798.3556984033464+2103.3931683618143i             797.1574499333766+2026.360008929323i              795.9252717710307+1953.928569588654i
