% Model:              2D Model _ g2u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 18 2017, 11:13
% Table:              Table 1 - g2u_g2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
100                                               10.036567742682974+362.36411070411083i            40.14377801589829+1219.3974780035921i             90.31763071127811+2445.9392329926663i             160.55377204145444+3979.8903078823027i            250.84748821049564+5779.264748934849i             361.1936968418799+7814.978461018884i              491.58694634357494+10064.378005135242i            642.0214042733523+12508.222500571723i             812.4908540809269+15131.60601783947i              1002.9886970038398+17921.800549132437i
105                                               11.076133971185072+380.39023398828823i            44.301529284204015+1279.9980674485669i            99.67135892486257+2567.402294475888i              177.18036562273772+4177.395762989522i             276.8228541633578+6065.889467037669i              398.592680952353+8202.340855544639i               542.4832533032322+10562.959161716333i             708.4875152808271+13127.536462495202i             896.5979437599552+15880.416240523444i             1106.8065508514364+18808.228546769504i
110                                               12.162176239576297+398.40474317619675i            48.64511454427625+1340.5520819734159i             109.44304741099752+2688.7601700777664i            194.54968919150025+4374.713345593548i             303.9582268432326+6352.2190340299085i             437.6613073443237+8589.275639861933i              595.6510368972973+11060.954421319637i             777.9189638672124+13746.079716293778i             984.4560740433698+16628.243680602267i             1215.252793707062+19693.43364921381i
115                                               13.29466371187307+416.4071818522693i              53.1744056542135+1401.057694968408i               119.63239630949936+2810.0087418504145i            212.66118780441417+4571.835712137845i             332.2527028723221+6638.241929087859i              478.3982198063531+8975.76614346681i               651.0883715798204+11558.34096787782i              850.313125442811+14363.822278718233i              1076.0617772913643+17375.05013838042i             1328.3229554602617+20577.368361824956i
120                                               14.473501186691884+434.3970749879902i             57.889017149810144+1461.5130059217654i            130.23852707495485+2931.1437268031104i            231.5132782113534+4768.755227857485i              361.70377279987093+6923.946179814224i             520.7997502250424+9361.795050547351i              708.7901860462928+12055.095113745385i             925.6632677850324+14980.73303697332i              1171.4063882883431+18120.795995801935i            1446.0061503492987+21459.98345277567i
125                                               15.698537250662564+452.37394125254673i            62.788338902081584+1521.9160896617025i            141.2600560533018+3052.1607876944727i             251.10347983680475+4965.464163732648i             392.30752604565083+7209.319669964069i             564.8602141103389+9747.344843079867i              768.7486660407699+12551.192902758927i             1003.9590778913922+15596.780536323837i            1270.4767119931348+18865.441213149188i            1568.285902525449+22341.229183422412i
130                                               16.96957205356604+470.3373018977849i              67.87156726059973+1582.2650318919334i             152.69516465357256+3173.0556129772795i            271.4285397067136+5161.954838595704i              424.0588463732069+7494.350361445768i              610.5721924817416+10132.398120456557i             830.953638587937+13046.610545192794i              1085.1871645674123+16211.933548066098i            1373.2556605598868+19608.94604772857i             1695.1409336629852+23221.056195330933i
135                                               18.28636445918669+488.28668708600486i             73.13773370034433+1642.5579544970456i             164.54166389973318+3293.8239737187537i            292.48454738136104+5358.219720286467i             456.95159174893575+7779.0264523280675i            657.9267912646259+10516.937826923331i             895.3929256105513+13541.324727205541i             1169.331521001564+16826.1614735332i               1479.72283970641+20351.271564941733i              1826.545887996639+24099.416140920086i
140                                               19.648638480120347+506.22164031455486i            78.58573060248783+1702.7930332310686i             176.7970525345819+3414.4617633768366i             314.2670384220659+5554.251496326258i              490.9787562779895+8063.336487189179i              706.9138748668581+10900.947410373892i             962.0526623816838+14035.312826813128i             1256.373941421411+17439.434625952705i             1589.855076928339+21092.379994709256i             1962.4719855607702+24976.262123107026i
145                                               21.056088989440543+524.1417214250961i             84.2143341432822+1762.9685097425222i              189.45856861217152+3534.9650248283965i            336.7710862804449+5750.043121910502i              526.1326140449085+8347.269432018258i              757.5222736949956+11284.41093007082i              1030.9175805058137+14528.55306030714i             1346.2943913761837+18051.72442141901i             1703.6268910136826+21832.234972818835i            2102.8876028990408+25851.548992788215i
