% Model:              2D Model _ r2u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 17 2017, 09:55
% Table:              Table 2 - r2u_g2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
100                                               96.55956715329538+1261.8009406771987i             193.09471655625396+2350.901714514082i             289.6034596750232+3325.442608633051i              386.08379187842394+4212.524393334087i             482.53369512771224+5029.639759132006i             578.9511347526121+5788.156959795882i              675.3340703836011+6496.544593617336i              771.6804441353163+7161.827475182338i              867.9881877249281+7789.07826914613i               964.2552290429816+8382.477332528344i
105                                               106.55671630763887+1323.9195217887439i            213.08393835039232+2466.4817644261793i            319.5792449415432+3488.7321274999736i             426.040195529248+4419.124859045549i               532.464333549024+5276.025966084221i               638.8491824640877+6071.370980715735i              745.1922591878609+6814.050947765733i              851.4910597334351+7511.441055180212i              957.7430677925777+8168.866834927488i              1063.9457629670349+8790.71698336249i
110                                               116.9998498977943+1385.9139017018815i             233.96439052917162+2581.810297258875i             350.89070325912354+3651.6394240865393i            467.77584633904513+4625.208783478955i             584.6168590334112+5521.757510258476i              701.4107567993672+6353.788253291i                 818.1545476027618+7130.614364722281i              934.8452146240628+7859.961283893908i              1051.4797265440748+8547.407303251299i             1168.0550476698743+9197.54936469749i
115                                               127.88854542976478+1447.7791132355924i            255.7351673666542+2696.8772578778535i             383.5363789357098+3814.149222158159i              511.28866588666347+4830.755526219307i             638.988491598749+5766.808235813805i               766.6322912845166+6635.376948195187i              894.2164916261094+7446.197177929204i              1021.7374900991335+8207.344488993327i             1149.191667219211+8924.649823457774i              1276.575398864844+9602.918271666844i
120                                               139.22175581832448+1509.510011023357i             278.39411306566547+2811.672237850844i             417.5129396139378+3976.245720222236i              556.5740711338449+5035.743752878529i              695.5733171125715+6011.151127556274i              834.5064539413097+6916.104214812127i              973.3692483428705+7760.76054115479i               1112.157432839214+8553.5456637594i                1250.8667202400813+9300.543059586958i             1389.4928184692908+10006.765867130393i
125                                               150.9978877452904+1571.1013901234185i             301.93797867980123+2926.1847126909347i            452.8154119526507+4137.912947428884i              603.6252890882355+5240.1519096685015i             754.3626811499001+6254.75890421148i               905.0226205634253+7195.936893219373i              1055.6001288534062+8074.265259208392i             1206.0901877377803+8898.519416546971i             1356.4877561570509+9675.035258599575i             1506.7877879530313+10409.03386866641i
130                                               163.21487642316177+1632.5480716562804i            326.3625718385933+3040.404213144038i              489.43740653560025+4299.135020513275i             652.433657106746+5443.958566008939i               815.3455649145349+6497.604446684416i              978.1673264850996+7474.842028111552i              1140.8931261277387+8386.67238751238i              1303.517102074984+9242.220656009044i              1466.0333663982901+10048.075021254977i            1628.436025913534+10809.664405082547i
135                                               175.8702543831517+1693.8449638314119i             351.6628945388784+3154.32044723229i               527.3713248709157+4459.896326849462i              702.9888993239775+5647.142658568446i              878.5089313233625+6739.661103091633i              1053.9246825559328+7752.787234786802i             1229.2294010958813+8697.943659035507i             1404.4162819716366+9584.605078942906i             1579.4784903263467+10419.611850823565i            1754.4091859779112+11208.600626002619i
140                                               188.9612133979803+1754.987104643168i              377.8332671953288+3267.9233856298706i             566.6085457893978+4620.1816524753285i             755.2793756186433+5849.683661923555i              943.8380367599631+6980.902901998717i              1132.276749907071+8029.740954941396i              1320.5877206640698+9008.04178259407i              1508.763093888767+9925.629511054745i              1696.794980472777+10789.596536293604i             1884.6754860153414+11605.7871274252i
145                                               202.484659462048+1815.9696909393879i              404.86743881313106+3381.2033197598153i            607.1395910203332+4779.976269183877i              809.2923028093164+6051.561704581018i              1011.3167081170784+7221.304697343946i             1213.2038730581305+8305.672630432193i             1414.9448471219098+9316.930645395156i             1616.5306105632449+10265.252138226599i            1817.9521052266193+11157.981412280278i            2019.2002678329025+12001.170240225061i
