% Model:              2D Model _ g1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 12 2017, 21:47
% Table:              Table 3 - g1u_g2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_side=0.02, acpr.p_t*2*pi*a (N)                  g_side=0.04, acpr.p_t*2*pi*a (N)                  g_side=0.06, acpr.p_t*2*pi*a (N)                  g_side=0.08, acpr.p_t*2*pi*a (N)                  g_side=0.1, acpr.p_t*2*pi*a (N)                   g_side=0.12, acpr.p_t*2*pi*a (N)                  g_side=0.14, acpr.p_t*2*pi*a (N)                  g_side=0.16, acpr.p_t*2*pi*a (N)                  g_side=0.18, acpr.p_t*2*pi*a (N)                  g_side=0.2, acpr.p_t*2*pi*a (N)
100                                               40.11019108227595+271.4424689713622i              80.19649297881418+528.2226498846737i              120.25866374917453+771.8582085280306i             160.29639427205552+1003.6282114017197i            200.3093227539006+1224.6241539939974i             240.29705778164043+1435.7882371409999i            280.25908365790707+1637.9266032361497i            320.19497488168616+1831.7622686407253i            360.10418540436615+2017.9198885401765i            399.9861658193258+2196.9557979335254i
105                                               44.2607554222056+284.5374760491243i               88.49255683212864+553.6660919639027i              132.6951125433703+808.9792806236064i              176.8680490777819+1051.819946744743i              221.01092883632768+1283.334051874736i             265.12327818328265+1504.5108147753408i            309.2044721258142+1716.1965458540653i             353.25399561131536+1919.1503594404069i            397.27118675120516+2114.0280406777206i            441.2553796511376+2301.4136597425054i
110                                               48.595933538756285+297.5699264675436i             97.1571037850703+578.9825627939064i               145.68316330225164+845.9070933401956i             194.17366603114513+1099.7502457379644i            242.62808860952154+1341.7124333628033i            291.04586425961253+1572.8298811994064i            339.4262436207373+1793.9890493485427i             387.76861009311114+2005.9851443299092i            436.0721699223149+2209.5050684144694i             484.33612461699397+2405.160617309276i
115                                               53.115459208662394+310.53719293767824i            106.1895371856906+604.1667446560746i              159.2218245040222+882.6335748365155i              212.21179385089465+1147.4082182171398i            265.15882552644285+1399.7455253397738i            318.0622479867716+1640.7287154223404i             370.9211713151192+1871.2843793861914i             423.7348645692153+2092.243810187816i              476.50238489359026+2304.325014143027i             529.2227838909539+2508.167502751476i
120                                               57.81879873065861+323.436568717992i               115.58872390887058+629.2131640490182i             173.30929768436957+919.1504242781393i             230.97990239946148+1194.782674936588i             288.599810850822+1457.4191886450155i              346.168234415737+1708.1901665787586i              403.6841253209313+1948.0623110730935i             461.1466246894516+2177.9029958011224i             518.5546221256083+2398.46131780218i               575.907000802249+2610.404494559456i
125                                               62.70518295995074+336.26531697797276i             125.35305860664677+654.1162904703726i             187.9430740864876+955.4492600882378i              250.47451192490678+1241.8623253295264i            312.9465256838021+1514.7191653797488i             375.3581966855832+1775.1969508105974i             437.7083008874222+2024.302475437825i              499.99583711285254+2262.9391879645073i            562.2195077728896+2491.8872626045454i             624.3780078728536+2711.841612953703i
130                                               67.77363787052103+349.0207064875932i              135.48052501411172+678.8706078404181i             203.1200268985551+991.5217271379352i              270.6913164201993+1288.6359204977575i             338.19341564346973+1571.6312577172266i            405.62526222112797+1841.7318659132793i            472.98543632311043+2099.984609916752i             540.2727793557605+2347.329007806527i              607.4857856747561+2584.5762971987792i             674.6229411592803+2812.4490778710187i
135                                               73.0230126535442+361.70003710343514i              145.96875233005906+703.4706655033199i             218.8364961038179+1027.3595732907263i             291.62529713390416+1335.0923553104078i            364.33403322864655+1628.1414555667154i            436.9614841510824+1907.777944559539i              509.5060136703368+2175.0887371398026i             581.9662899271668+2431.0494151189046i             654.3405771528594+2676.5022655122284i             726.6271299286276+2912.1975642921893i
140                                               78.45200497580069+374.3006576601212i              156.81506591613493+727.9111140322017i             235.08836480768153+1062.9547031279324i            313.27082471738345+1381.2207400571508i            391.36116598007675+1684.2360261455308i            469.35799567651526+1973.3185617837096i            547.2594394801272+2249.595290292987i              625.0639757089851+2514.077851572439i              702.7696152047494+2767.639567790263i              780.3743578596182+3011.058381051305i
145                                               84.05918336792986+386.81997821923096i             168.01653225676515+752.1867297336007i             251.8711269530564+1098.299214711863i              335.62174988060076+1427.010449459123i             419.26695026919026+1739.9015752227583i            502.80514718818193+2038.3375084251911i            586.2342054454857+2323.485198736342i              669.5523963122445+2596.3923384577465i             752.7574527666005+2857.9632704019928i             835.8470954157413+3109.0035926496294i
