% Model:              2D Model _ g3u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 18 2017, 20:42
% Table:              Table 1 - g3u_g3 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
100                                               813.0335083479425+15093.15033128207i              812.9865013838456+15093.3232545369i               812.9394613869939+15093.562849530681i             812.8923447489609+15093.775840988983i             812.8451108827469+15093.986036522134i             812.7977160412752+15094.181064172597i             812.7501250843989+15094.360296465653i             812.7022963010464+15094.536577470237i             812.654189496059+15094.70100781711i               812.60576984292+15094.85479027186i
105                                               897.3359528611983+15840.096632581895i             897.2861424568492+15840.279420730061i             897.2365887893611+15840.532235737011i             897.1872427185339+15840.75713090995i              897.138058571517+15840.979103102349i              897.0889875450538+15841.185152251179i             897.0399911198288+15841.37461930165i              896.9910228455346+15841.560988065141i             896.9420389134124+15841.73490575682i              896.8930016544874+15841.897636456077i
110                                               985.4087858943329+16586.06545549825i              985.3552203171126+16586.258678235354i             985.30222065248+16586.525280284826i               985.2497311023814+16586.76264220404i              985.197699880199+16586.996949702454i              985.1460720290991+16587.214572987094i             985.0948048626922+16587.41482115242i              985.043846154039+16587.611817151355i              984.9931475863549+16587.7957532906i               984.9426679021408+16587.967954866024i
115                                               1077.2510419778177+17331.018583421195i            1077.192786513142+17331.222969544728i             1077.1354300302432+17331.504085497207i            1077.0789088138108+17331.754637690457i            1077.023163798912+17332.002000296423i             1076.9681326610917+17332.231912101925i            1076.9137676443052+17332.44365006809i             1076.8600095963995+17332.65197567935i             1076.8068046759322+17332.84662478115i             1076.7541071942255+17333.028983802065i
120                                               1172.856635877152+18074.91613851116i              1172.7927828003076+18075.132573967785i            1172.730190467272+18075.42908790379i              1172.6687858519138+18075.69371112199i             1172.6085013119791+18075.955005848544i            1172.5492658029534+18076.19807768483i             1172.4910254915155+18076.42217117329i             1172.4337130077827+18076.64268570474i             1172.3772678600387+18076.848899036435i            1172.3216389756924+18077.04225865341i
125                                               1272.2150155479462+18817.717591428765i            1272.1446939288714+18817.947118251297i            1272.07602857084+18818.260069745695i              1272.0089355932082+18818.539799585775i            1271.9433373349593+18818.81605762848i             1271.879152531817+18819.07331444603i              1271.81632014925+18819.310781861222i              1271.754763161899+18819.544496519626i             1271.6944131728003+18819.76327640508i             1271.6352126639304+18819.96862998647i
130                                               1375.3117888169652+19559.382489730364i            1375.2341745271274+19559.626305549635i            1375.1586510473367+19559.956888552915i            1375.0851219376443+19560.252913692664i            1375.013497915638+19560.54531800572i              1374.9436858458175+19560.8179351187i              1374.8756162349107+19561.069943813116i            1374.8092008108954+19561.3180173192i              1374.7443618777836+19561.550512091257i            1374.6810342808853+19561.76899749988i
135                                               1482.1293022330149+20299.870975450067i            1482.0436284042653+20300.13043330863i             1481.960524414353+20300.479995316884i             1481.8798793822543+20300.79365603997i             1481.8015906301885+20301.10353922398i             1481.725551327617+20301.392839540305i             1481.6516821339278+20301.66070239624i             1481.5798817498696+20301.924436904214i            1481.5100616518346+20302.171936154144i            1481.4421477193653+20302.40483034415i
140                                               1592.6471634294528+21039.144145118586i            1592.5527314878611+21039.42075331452i             1592.461398474513+21039.790794567747i             1592.373036996627+21040.123581311556i             1592.2875290248573+21040.452423499704i            1592.204752019147+21040.759874763477i             1592.1246152428246+21041.04504676036i             1592.0470024126428+21041.32588377525i             1591.9718124793742+21041.589813616003i            1591.8989608702227+21041.83852722418i
145                                               1706.8427055030165+21777.164292212456i            1706.7388968311416+21777.459713901982i            1706.6387719314264+21777.85188633705i             1706.5421846155307+21778.20543798384i             1706.448999339199+21778.554864480444i             1706.3590756326098+21778.882076232247i            1706.2723096484817+21779.186150760437i            1706.1885679569045+21779.485666771106i            1706.1077350948983+21779.76758480092i             1706.029714392099+21780.033656441574i
150                                               1824.6913958310554+22513.895061776857i            1824.5776840827814+22514.211114155i               1824.4683024581334+22514.627219896258i            1824.3630834663527+22515.003321587847i            1824.2618716615314+22515.375100004545i            1824.1645062048447+22515.723820047147i            1824.0708682339027+22516.04852468287i             1823.9808047655542+22516.368426271227i            1823.8941838565113+22516.670015998923i            1823.8108948987983+22516.955106016252i
