% Model:              2D Model _ r1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 16 2017, 08:14
% Table:              Table 1 - r1u_r1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
100                                               930.0098841240671+16375.105046403482i             929.9309874445098+16375.226267326574i             929.851246891806+16375.374868325585i              929.7706028506221+16375.599234631041i             929.6890124065168+16375.742361319772i             929.6064130634161+16375.835164955532i             929.5227396247558+16376.092995813779i             929.4379532690618+16376.182040393773i             929.3519841677256+16376.270472511045i             929.2647734379382+16376.409891953172i
105                                               1026.7990413636537+17185.41136662111i             1026.7220053267088+17185.539988394627i            1026.6444388462671+17185.697351416293i            1026.5662784443916+17185.934258165948i            1026.487485421279+17186.085854418652i             1026.4079940545369+17186.184599479922i            1026.3277317777706+17186.45660996703i             1026.2466701835801+17186.551381556i               1026.1647323759805+17186.64549654002i             1026.0818582108648+17186.793133190138i
110                                               1127.929396178921+17994.648727401403i             1127.8531037550733+17994.785172151125i            1127.776605589339+17994.951703423932i             1127.6998332909666+17995.201540152975i            1127.6227522051213+17995.3619783347i              1127.5452923511034+17995.467019024105i            1127.4673724521413+17995.753544519303i            1127.388974916578+17995.85435889821i              1127.310014394438+17995.954452380687i             1127.2304287385282+17996.110580875375i
115                                               1233.4051718125372+18802.777781965047i            1233.3285795960658+18802.922702699758i            1233.25212110478+18803.09904019053i               1233.175721825631+18803.362429029858i             1233.0993509487375+18803.53231497809i             1233.0229330424643+18803.64423984342i             1232.9463765805583+18803.945850942113i            1232.8696752106976+18804.05326000628i             1232.792733533188+18804.15986463955i              1232.7154865393657+18804.324997547865i
120                                               1343.2251408026746+19609.756732187434i            1343.1472978559889+19609.9109957963i              1343.0699467428356+19610.0979914144i              1342.993005447908+19610.375768480873i             1342.9164467697956+19610.555922084055i            1342.8401884686432+19610.67553378588i             1342.7641270162508+19610.99301524914i             1342.6882677720241+19611.107785132124i            1342.6125034661409+19611.221647898332i            1342.5367652276889+19611.396512213614i
125                                               1457.383297650703+20415.54252364938i              1457.3033618024717+20415.70719571214i             1457.224298664681+20415.905899299156i             1457.146017178843+20416.199097891986i             1457.0684934633446+20416.390535476876i            1456.9916369583264+20416.518832362523i            1456.9153301447157+20416.8531638752i              1456.8395906133885+20416.976254899488i            1456.7642971737546+20417.098316236737i            1456.689375952998+20417.283831672194i
130                                               1575.8695229098003+21220.09171606641i             1575.7867754419276+21220.268047122187i            1575.705308634994+21220.479691932927i             1575.6250206618772+21220.78952720955i             1575.5458906325287+21220.993445405147i            1575.4678179650014+21221.131604566537i            1575.3906689308592+21221.483943004365i            1575.3144739188795+21221.616491115783i            1575.2390955048622+21221.74786555208i             1575.1644535451883+21221.945124375652i
135                                               1698.6702084460778+22023.361107640954i            1698.5840678665593+22023.550520525674i            1698.4996473699814+22023.77650977862i             1698.4168324351497+22024.10436451409i             1698.335604781828+22024.322125212017i             1698.255851917095+22024.47148664169i              1698.1774214248917+22024.843149425244i            1698.1003570916646+22024.986448746553i            1698.024502701464+22025.128406641164i             1697.949770402024+22025.3386546098i
140                                               1825.7688295240994+22825.308173315956i            1825.678864868607+22825.51225119293i              1825.5910956044086+22825.754145291026i            1825.505392383082+22826.101556298097i             1825.4217390825258+22826.334672277204i            1825.3400091994922+22826.496723694883i            1825.260028877074+22826.88917282463i              1825.1818559445212+22827.044658884923i            1825.1053125467986+22827.19860887478i             1825.0303015086376+22827.423226883395i
145                                               1957.1464585488986+23625.891362546205i            1957.0524024931374+23626.111837177472i            1956.9610573924833+23626.371341194248i            1956.872276697642+23626.739986021577i             1956.7860459196809+23626.99010684327i             1956.7022222152195+23627.166468800788i            1956.6206072504838+23627.581295166514i            1956.5412735531536+23627.75052842107i             1956.4640184842108+23627.91800013578i             1956.3887337545864+23628.158486161723i
150                                               2092.7822205985426+24425.070290920372i            2092.6839825099305+24425.30903087401i             2092.589015438721+24425.58798195089i              2092.497153019485+24425.979665482675i             2092.408381768875+24426.24856329187i              2092.3225399289945+24426.440974174366i            2092.2394013333833+24426.87988178013i             2092.159053880388+24427.064531037475i             2092.0812666754623+24427.247157767342i            2092.0059183217327+24427.505108743102i
155                                               2232.6536935113495+25222.805851661873i            2232.551372481175+25223.06485010876i              2232.4529310955836+25223.365204451315i            2232.3581802706826+25223.781845103356i            2232.267106796706+25224.071400022316i             2232.1795271541296+25224.281700657673i            2232.095183649262+25224.74649044318i              2232.014180217472+25224.948315907157i             2231.936253896546+25225.14781686134i              2231.8612679547996+25225.42491018231i
160                                               2376.7372566591393+26019.06026660535i             2376.631154473076+26019.34162846207i              2376.5295929317617+26019.665447669384i            2376.4323570318397+26020.109062915937i            2376.3394329630537+26020.42124777413i             2376.2506123068956+26020.651365371472i            2376.165601777827+26021.14391837898i              2376.084521999924+26021.364754036036i             2376.0070737545616+26021.582915972962i            2375.9331025093293+26021.880890383924i
165                                               2525.0083928700187+26813.79709150953i             2524.8990268388106+26814.10301971284i             2524.794918292363+26814.45245624043i              2524.6958227894793+26814.92514727368i             2524.6017248919716+26815.26201147143i             2524.5123878134805+26815.513942692032i            2524.427478230298+26816.036202373027i             2524.3471340634987+26816.277937531395i            2524.2710152503687+26816.5165955646i              2524.198946717329+26816.837231224687i
170                                               2677.441947993826+27606.981187069894i             2677.3300634762522+27607.313967827027i            2677.2242122062216+27607.691249414565i            2677.1241164173475+27608.195184772914i            2677.0297578280024+27608.558837115652i            2676.940867477207+27608.834630140536i             2676.8570671315833+27609.388583663018i            2676.7785125530104+27609.653143520627i            2676.7048178311206+27609.914160942735i            2676.635784312083+27610.259258548896i
175                                               2834.0123522003637+28398.57866433699i             2833.8989347213956+28398.940651225697i            2833.7923877540015+28399.34806419574i             2833.69239593195+28399.885462267128i              2833.5989367210286+28400.278052677055i            2833.511704792248+28400.579788164338i             2833.4302716796633+28401.167446627544i            2833.3548114532073+28401.456771748442i            2833.2848868863707+28401.742018823028i            2833.2202724064346+28402.11337771911i
180                                               2994.693806871707+29188.556811285263i             2994.5800936140104+29188.950408163357i            2994.474151647037+29189.39027950436i              2994.3756233169365+29189.96338983256i             2994.2844801798915+29190.387089896714i            2994.2003759458175+29190.7168607699i              2994.1228261101687+29191.340238283647i            2994.052023421642+29191.656262984267i             2993.9874733858655+29191.967594655747i            2993.9289198048928+29192.36698989304i
185                                               3159.46044040456+29976.884005905107i              3159.34793093314+29977.31164855942i               3159.244158403464+29977.786326807225i             3159.14871772229+29978.3974101818i                3159.061572634182+29978.854392500547i             3158.982330847+29979.214282583445i                3158.910445510124+29979.87537422063i              3158.846128274171+29980.2200038452i               3158.788820932996+29980.55923638189i              3158.7382325959675+29980.988394775417i
