% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 15 2017, 19:50
% Table:              Table 3 - tu_g1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
100                                               394.2468832223138+2034.6599588944441i             394.21495747868863+2034.7423542857828i            394.18271409693136+2034.8182932082425i            394.15012427910324+2034.8798447065433i            394.1171801914226+2034.9480249962528i             394.08385526717115+2035.0195996218074i            394.0501088777174+2035.0648549718255i             394.0159497263976+2035.1319113880263i             393.9813349116138+2035.194054254161i              393.9462401138993+2035.247309360034i
105                                               435.1233326093037+2131.3076643327518i             435.09206546030623+2131.3948148371164i            435.06061078194705+2131.475175143207i             435.0289378811213+2131.5404097092487i             434.99704060464404+2131.61260367792i              434.96489100060313+2131.6883569454335i            434.93244542354864+2131.736444052623i             434.899716951275+2131.807433343787i               434.8666592502866+2131.8732500766077i             434.8332479000629+2131.9297180960516i
110                                               477.8081419338946+2227.284284950749i              477.77706817405857+2227.376397665012i             477.7459418037376+2227.461379117285i              477.7147296869997+2227.530487801245i              477.6834274487963+2227.6068802193918i             477.65200528657374+2227.686989832161i             477.6204157188909+2227.738075275588i              477.5886768041788+2227.8131588013885i             477.5567378948526+2227.882801743429i              477.5245741679342+2227.942625271451i
115                                               522.2993183530601+2322.562858692933i              522.2680047371869+2322.6602378769953i             522.2367797577192+2322.7501376774017i             522.2056072155085+2322.823409201456i              522.174484600119+2322.904282864486i               522.1433797304015+2322.9890248862093i             522.1122403761128+2323.0433737798494i             522.0810902132347+2323.122811883838i              522.049873290312+2323.1965326638815i              522.0185640445488+2323.2599538695217i
120                                               568.592367337041+2417.11547594164i                568.5604203405054+2417.2185161151965i             568.5287112234405+2417.313721660577i              568.4972000332011+2417.391534828265i              568.4658861920739+2417.477262621315i              568.4347345476289+2417.5670031988275i             568.4036871201392+2417.6249705580217i             568.3727738582531+2417.7091135926557i             568.3419324227704+2417.787253799936i              568.3111361173557+2417.8546047512305i
125                                               616.6805865511166+2510.913784853597i              616.6476591289523+2511.022964662974i              616.6151285981473+2511.123947071159i              616.5829504902908+2511.2067639520183i             616.5511262110581+2511.297801693682i              616.5196169741736+2511.3929895512356i             616.4883579542056+2511.455012449128i              616.4573860532377+2511.5442925789675i             616.4266313529081+2511.6272752213117i             616.3960655821267+2511.6989689929164i
130                                               666.5553540538593+2603.9293589827216i             666.5211517894352+2604.045235692273i              666.4875170438361+2604.152543952487i              666.454399985692+2604.2409036925865i              666.421804037702+2604.337783603466i               666.3896860435484+2604.438943175207i              666.3579731364961+2604.50553352283i               666.3267098730721+2604.600457167652i              666.2958174543635+2604.6887787727856i             666.265265539446+2604.765301197229i
135                                               718.2063984740454+2696.133960746667i              718.1706854084267+2696.257165175639i              718.135723982189+2696.371420752345i               718.1014580729307+2696.465933838277i              718.0678931281269+2696.569258464856i              718.0349808038774+2696.6769834758784i             718.0026388927586+2696.7487212689693i             717.9709203270015+2696.849862007638i              717.9397360051962+2696.944085179019i              717.9090529683618+2697.0259870716145i
140                                               771.622045496667+2787.499726331055i               771.5846498079048+2787.630958066829i              771.5482052613964+2787.752849769653i              771.5126484185439+2787.8541925621644i             771.4779867342747+2787.964628973518i              771.4441657704259+2788.0795762996167i             771.4110925662318+2788.157103133091i              771.3788291676848+2788.2650948822916i             771.3472746283211+2788.3658411471647i             771.3163927467538+2788.4537308070085i
145                                               826.7894387723876+2877.9992913998612i             826.750258423443+2878.139314106427i               826.7122459692828+2878.269593063411i              826.6753295262711+2878.3785024298095i             826.6395185049608+2878.496776511164i              826.6047513742602+2878.6196601352963i             826.5709228804334+2878.7036728238377i             826.5381049407673+2878.8192031188396i             826.5061830766939+2878.9271458705994i             826.4751171610706+2879.021681692324i
150                                               883.6947355458485+2967.6058722023367i             883.6537439569931+2967.7555088823324i             883.6141560771165+2967.8949834564914i             883.5758903423073+2968.012251346652i              883.5389580267057+2968.139142034722i              883.5032894029484+2968.2707269435145i             883.4687652557075+2968.361971080068i              883.4354681304303+2968.4857743032762i             883.4032681938234+2968.601631697037i              883.3721206258787+2968.70351473046i
155                                               942.3232783937391+3056.2933130782408i             942.2805301362112+3056.4534411432037i             942.2394422053046+3056.6029716599746i             942.1999219972845+3056.729439491052i              942.1619825095025+3056.8657728171315i             942.1255445996582+3057.0068687069747i             942.090473278099+3057.1061320324466i              942.0568624858506+3057.238982446247i              942.0245650488871+3057.363510102533i              941.9935306027119+3057.4734764352843i
160                                               1002.6597449320502+3144.0361086253306i            1002.6153814434706+3144.207654669119i             1002.5729573322335+3144.3681478410967i            1002.5323674626137+3144.504700575141i             1002.4936263619866+3144.6513434055673i            1002.4566441303366+3144.802798084277i             1002.4212680322744+3144.910903552328i             1002.3876041698142+3145.053608033732i             1002.3554858766327+3145.187591449879i             1002.3248562910683+3145.3064042902206i
165                                               1064.6882775237482+3230.809406784059i             1064.6425327862123+3230.9933409687887i            1064.5990304040956+3231.1657439318883i            1064.5576510748208+3231.3133037693674i            1064.5184105908722+3231.4711571479825i            1064.4812068206702+3231.6338495406085i            1064.4458671440664+3231.7516479929236i            1064.4125105784706+3231.905038384952i             1064.3809486310533+3232.049284960449i             1064.3511168901312+3232.1777263526956i
170                                               1128.3925949389816+3316.5889976078356i            1128.3458010744785+3316.786327595373i             1128.301577793334+3316.97162148192i               1128.2597898355953+3317.1311410852663i            1128.2204539200195+3317.3011331234397i            1128.183454055404+3317.475965829787i              1128.1485954224697+3317.6043282183814i            1128.1160106891293+3317.7692532309147i            1128.085487013319+3317.924583857339i              1128.0569512567915+3318.0634459593816i
175                                               1193.7560877891078+3401.351291357791i             1193.708680500218+3401.563055725741i              1193.6641983925508+3401.762248738036i             1193.6224882837805+3401.934703956091i             1193.5835673963788+3402.1177822158006i            1193.5473040970599+3402.3056735616083i            1193.5134788481162+3402.445482681192i             1193.4822386849773+3402.6227993064917i            1193.4533436824547+3402.7900394774338i            1193.426710675621+3402.9401153747635i
180                                               1260.7618993753993+3485.073288738205i             1260.7144231600396+3485.3005498694215i            1260.6702539726705+3485.5146698062717i            1260.629218559168+3485.7010518671154i             1260.5913341250812+3485.8981752160353i            1260.5564514362927+3486.1000507866333i            1260.5243235153662+3486.2521924900757i            1260.4951124450497+3486.442756914998i             1260.4685482635823+3486.622727348061i             1260.444536339687+3486.7848013909297i
185                                               1329.3929934094126+3567.732545508515i             1329.346106476005+3567.9763819187046i             1329.3029362650939+3568.2064681640754i            1329.2632871048515+3568.407775313498i             1329.2271755535492+3568.6199052469833i            1329.1944326315631+3568.8366888912165i            1329.1647809752099+3569.002042791159i             1329.1383983532749+3569.206700810833i             1329.1149815843733+3569.400207575063i             1329.0944229793756+3569.5750452482716i
190                                               1399.6322098847065+3649.307133213456i             1399.586688693581+3649.568631327449i              1399.5453220490313+3649.815726280971i             1399.5078893021466+3650.032954899316i             1399.4744056125926+3650.2610463305073i            1399.4446799140069+3650.493650653144i             1399.4184012670164+3650.67308032235i              1399.3957637226342+3650.892657264951i             1399.376427443278+3651.1004814547296i             1399.3602699314774+3651.288818793621i
195                                               1471.462310257035+3729.775597471343i              1471.4190536123372+3730.0558428613995i            1471.3804173914598+3730.3209828459003i            1471.3461531830292+3730.5551180303137i            1471.3162738618928+3730.8001095781146i            1471.2905637208219+3731.0494259388765i            1471.268674805841+3731.243768642771i              1471.2508179824315+3731.4790588446576i            1471.2366130670957+3731.7019458141576i            1471.225920829559+3731.904478426882i
200                                               1544.8660129411587+3809.1169149955313i            1544.8260455690297+3809.416983093228i             1544.7911920773518+3809.701188755137i             1544.7611732579846+3809.953194420027i             1544.7359986758138+3810.215998222595i             1544.715425201825+3810.482886290435i              1544.699064157011+3810.69294228153i               1544.6871436970628+3810.9446981604747i            1544.6792393270428+3811.1833463870903i            1544.6751929718403+3811.4007181208763i
205                                               1619.8260200476939+3887.3104503043255i            1619.7904955969668+3887.631396636862i             1619.7606051405874+3887.9356628754354i            1619.7360353890685+3888.206471401821i             1619.7167914113604+3888.487962505093i             1619.7025996397938+3888.7732394012087i            1619.693026678297+3888.9997608500294i             1619.688318374005+3889.2686816255364i             1619.6880016713249+3889.5237312542235i            1619.6918973533031+3889.756522583144i
210                                               1696.325036209138+3964.3359129639566i             1696.295239613+3964.678762937382i                 1696.2716223812843+3965.0040484141014i            1696.253833581029+3965.294549900879i              1696.2418724346012+3965.595555274385i             1696.235431671209+3965.899984373172i              1696.2340288854823+3966.14366397262i              1696.2379279480683+3966.4303841126816i            1696.2466026947202+3966.702405253715i             1696.259850265404+3966.9511214563777i
215                                               1774.3457802717774+4040.173316033185i             1774.3231294235652+4040.539054325818i             1774.3072266328857+4040.886270598133i             1774.2976794769777+4041.197301769184i             1774.294479805291+4041.518589003878i              1774.2972831165239+4041.842868458043i             1774.3055533938225+4042.1043277894496i            1774.3195727825769+4042.4094052434402i            1774.3387571641715+4042.6988861051077i            1774.3628773185214+4042.9639453207537i
220                                               1853.870990593492+4114.8029363269625i             1853.8570372917218+4115.192495931356i             1853.8504215581634+4115.5624962773945i            1853.850705339028+4115.894829102902i              1853.8578713936229+4116.237094868559i             1853.871534197009+4116.58184591769i               1853.8910991988646+4116.86162364787i              1853.9168669892645+4117.185527953345i             1853.9481903253727+4117.492862893704i             1853.9848107110245+4117.77458413927i
225                                               1934.8834246484842+4188.205276970936i             1934.8798547696208+4188.619527955137i             1934.8842296713922+4189.013095940835i             1934.8960612144153+4189.367426048885i             1934.9153211616676+4189.731284368309i             1934.9415788928452+4190.097039515497i             1934.9741760653185+4190.395579497813i             1935.0134318013863+4190.738679848819i             1935.0586302558359+4191.064157431961i             1935.1094805064126+4191.362748684189i
230                                               2017.3658536164403+4260.361032689007i             2017.3744864850269+4260.8007707256365i            2017.391685279767+4261.218608582286i              2017.4169070024473+4261.595543518089i             2017.4501103083835+4261.981513939584i             2017.4908151263216+4262.36870507399i              2017.538293724523+4262.686344446779i              2017.5928837659887+4263.048897802268i             2017.653794993405+4263.392688952146i              2017.7207006975457+4263.708235380612i
235                                               2101.3010525957216+4331.251058156369i             2101.3238395373855+4331.7169928831245i            2101.355823018467+4332.159709767309i              2101.3964000831484+4332.5597571727185i            2101.445513963467+4332.968252915727i              2101.502630493743+4333.377199451874i              2101.5669466034406+4333.7141568122415i            2101.6388184324696+4334.096296135404i             2101.7173751760183+4334.458442488055i             2101.802250758712+4334.7908949418115i
240                                               2186.6717870883404+4400.856339685625i             2186.7108091355276+4401.3490829702605i            2186.759662614212+4401.817183157602i              2186.817679171035+4402.240738949738i              2186.884784094597+4402.672055095064i              2186.9603841923745+4403.102952216168i             2187.043594752606+4403.459315953907i              2187.1347902543057+4403.861038681276i             2187.233012891678+4404.241441210362i              2187.3378534238955+4404.5906050557505i
245                                               2273.4607963719513+4469.157970482498i             2273.518261117373+4469.6780246328i                2273.5861905098504+4470.1718957282i               2273.663845021756+4470.619232338979i              2273.7511292667336+4471.073534140329i             2273.8473858047364+4471.526441225923i             2273.9516416230367+4471.902158103998i             2274.0642893485838+4472.323314913309i             2274.184277395586+4472.721722941623i              2274.3111493553592+4473.087247342266i
250                                               2361.6507743321113+4536.1371295798945i            2361.729011931458+4536.684875582325i              2361.818338966348+4537.204776801398i              2361.9179386139367+4537.676031550268i             2362.0276918791624+4538.153342942218i             2362.1468715691312+4538.628172255782i             2362.274409358316+4539.023036308619i              2362.4107157803533+4539.463320289735i             2362.5546383830665+4539.879320964263i             2362.7056693861537+4540.260688704225i
255                                               2451.2243483752018+4601.775064569102i             2451.3258066876974+4602.350750396591i             2451.438963219446+4602.89680098711i               2451.562917397289+4603.391964654611i              2451.697523481983+4603.892157026401i              2451.841978749986+4604.3886627328875i             2451.9951121890304+4604.8023045827895i            2452.1573519830995+4605.261240883062i             2452.3274374224798+4605.694249198671i             2452.5048049691095+4606.090767133425i
260                                               2542.1640569360297+4666.053078122535i             2542.2912958118+4666.656807183777i                2542.43081726693+4667.2289750416585i              2542.581630182994+4667.747880714633i              2542.743558751965+4668.270662020451i              2542.915718673847+4668.788429617825i              2543.096828543098+4669.22030626411i               2543.287333921242+4669.697242290539i              2543.4858581701437+4670.146491753674i             2543.6917774440185+4670.557281967951i
265                                               2634.452326143777+4728.9525183108935i             2634.6080108743804+4729.584238079976i             2634.776528828226+4730.182328629262i              2634.9567912202024+4730.724640864295i             2635.1485886763085+4731.269545137214i             2635.350949023495+4731.807981356532i              2635.562472419755+4732.257366522868i              2635.7836215585003+4732.751462778743i             2636.012895939431+4733.215996776995i              2636.249606718691+4733.639988547108i
270                                               2728.0714461312696+4790.454772595683i             2728.258340066173+4791.114263491294i              2728.4585739772906+4791.737908872021i             2728.6709539744575+4792.303113254376i             2728.8952334641253+4792.869490577177i             2729.1303458728316+4793.427813833266i             2729.3747645654053+4793.893788930485i             2729.6289691760735+4794.404010552811i             2729.891327168803+4794.882674515489i              2730.1610798975257+4795.31859712711i
275                                               2823.0035474833376+4850.541265392339i             2823.2245038300716+4851.228129942403i             2823.459251942375+4851.876778560836i              2823.706485097103+4852.464171702136i              2823.965915678067+4853.051178705184i              2824.2363759891023+4853.628410141967i             2824.5162039498973+4854.109855920656i             2824.805896031182+4854.634964983724i              2825.103679283518+4855.126399387218i              2825.4087203787653+4855.572775895175i
280                                               2919.230578235808+4909.193459007064i              2919.4885310657173+4909.907111344089i             2919.7606605153906+4910.58001784413i              2920.0455390165325+4911.188697871572i             2920.3428340341875+4911.795288802179i             2920.651269841388+4912.390243997679i              2920.969039993588+4912.8858329393815i             2921.2966578285523+4913.424381583093i             2921.6322014353036+4913.927015869968i             2921.974757885666+4914.3821578523075i
285                                               3016.7342818585444+4966.392857732484i             3017.0322363298264+4967.132513472918i             3017.3446724659625+4967.828729153356i             3017.6700335909027+4968.457586738828i             3018.007938272271+4969.082505155675i              3018.3569957176173+4969.693786537175i             3018.7152459578206+4970.201976037162i             3019.083219409532+4970.75230048243i               3019.458836525101+4971.264347944368i              3019.841099861259+4971.726351304681i
290                                               3115.496176558357+5022.121014835026i              3115.837198378653+5022.885681364745i              3116.1929133256654+5023.604045108395i             3116.5616271414483+5024.2517550848i               3116.942905478966+5024.893526221076i              3117.3352353408573+5025.519516230384i             3117.7364938807646+5026.038542631146i             3118.1472290399415+5026.59875811105i              3118.565194882565+5027.118211789419i              3118.989304591291+5027.5849536634905i
295                                               3215.4975362356504+5076.359542142838i             3215.884740382359+5077.148009365409i              3216.286740876935+5077.8871390943i                3216.7016972276247+5078.552152693479i             3217.1291181557244+5079.209076531176i             3217.567361280877+5079.8479315962895i             3218.014131366382+5080.375805093629i              3218.4699946202095+5080.9438017695775i            3218.9325299404823+5081.468431405667i             3219.400556396989+5081.937568198963i
300                                               3316.7193733523945+5129.090121913528i             3317.15591207115+5129.900953482485i               3317.6072265922585+5130.659238195378i             3318.0713214007633+5131.339775947562i             3318.5476443335206+5132.009921041033i             3319.0344164500525+5132.659566379011i             3319.5291605038997+5133.194066863583i             3320.0324620779547+5133.767506737982i             3320.541716166175+5134.294856821273i              3321.0556431606483+5134.763823425863i
305                                               3419.1424239493595+5180.294520643356i             3419.631474042619+5181.126045708222i              3420.1351392572387+5181.901638123668i             3420.651260184956+5182.59568345531i               3421.179219930639+5183.2768815399i                3421.717095888627+5183.93500683217i               3422.2622191364953+5184.473680676818i             3422.8151961761214+5185.049995557498i             3423.3732294664746+5185.577384495828i             3423.934936405042+5186.043394714888i
310                                               3522.747134968964+5229.9546044386425i             3523.291884398127+5230.804909950114i              3523.8509309510346+5231.59571978906i              3524.421942423179+5232.301013346097i              3525.0042335300855+5232.990854766613i             3525.5957310211875+5233.654910736461i             3526.193564650237+5234.195068586229i              3526.7983639003623+5234.771459113523i             3527.4071302462544+5235.295979554033i             3528.01837410644+5235.756027741762i
315                                               3627.5136540157246+5278.0523555988075i            3628.117287827284+5278.919279192739i              3628.734725488408+5279.722967133848i              3629.363453140547+5280.437001870943i              3630.0027136897347+5281.1328318487585i            3630.6502764897077+5281.800027775588i             3631.303060392911+5282.338743342126i              3631.9617205362015+5282.912179119389i             3632.6230492263903+5283.430699440026i             3633.2854463280387+5283.8815633995i
320                                               3733.421821621883+5324.569890020291i              3734.087507207058+5325.451013515342i              3734.7663094063323+5326.264985853681i             3735.455523961991+5326.985002908172i              3736.1543188711876+5327.683918697518i             3736.860299627737+5328.351220889158i              3737.570164781137+5328.885330788925i              3738.284598495678+5329.452551629611i              3739.000176078726+5329.961718623598i              3739.715183764707+5330.399963754741i
325                                               3840.451166032849+5369.489475055532i              3841.18203774784+5370.382118597496i               3841.925125510666+5371.203522635108i              3842.6775261092944+5371.926508025628i             3843.4383299513333+5372.625356965935i             3844.204972598189+5373.2894882204355i             3844.9739231274393+5373.815592880844i             3845.745898915134+5374.373111185861i              3846.5172508886762+5374.869353957017i             3847.286149174836+5375.291338678152i
330                                               3948.5809004996295+5412.79354745552i              3949.3800436276233+5413.694764336032i             3950.190268928154+5414.520484542541i              3951.0084659533354+5415.243166721227i             3951.833645350022+5415.938545227894i              3952.663067143274+5416.595985301227i              3953.4929621225497+5417.110450951847i             3954.324085972822+5417.654555256113i              3955.1525584098026+5418.13409032259i              3955.976431687737+5418.535972764333i
