% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 21 2017, 02:49
% Table:              Table 9 - tu_b (acpr.p_t*2*pi*r)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*r (N)                g_center=0.24, acpr.p_t*2*pi*r (N)                g_center=0.26, acpr.p_t*2*pi*r (N)                g_center=0.28, acpr.p_t*2*pi*r (N)                g_center=0.3, acpr.p_t*2*pi*r (N)
100                                               179.55520006149115+223.76960094280128i            179.20489874171344+219.54502366417216i            178.85064948853275+215.40729668456055i            178.49234642261953+211.3517677401746i             178.1301216083899+207.37730631104392i
105                                               196.61964321642282+228.16484694423022i            196.19265866508795+223.66249841812635i            195.76095659643167+219.25185450830526i            195.32441043303336+214.92801038726617i            194.8831843724436+210.6898094602958i
110                                               214.1675149194861+231.65605536226866i             213.653112765618+226.8683557637111i               213.13313069141006+222.17733675662106i            212.60741901622788+217.57783904000672i            212.07617909338128+213.0686840493967i
115                                               232.1601878781236+234.21362944165134i             231.5467126089954+229.13311811114394i             230.92669837816385+224.1544014025668i             230.2999699185884+219.27206374674253i             229.6667713463938+214.48490881642306i
120                                               250.55659731950584+235.80956375471177i            249.83146033760977+230.4289688993757i             249.09872577988634+225.15543833967158i            248.35819025481155+219.98329857974488i            247.61014686907947+214.9113398069942i
125                                               269.31350445238+236.41769441933184i               268.46317656891335+230.73000303658327i            267.60409098432905+225.1548200123196i             266.73601361832357+219.68621241531758i            265.8592934582228+214.3229612621634i
130                                               288.3857431565626+236.0138845089614i              287.3957513229793+230.01241247263417i             286.39573932360696+224.1290871070865i             285.3854398285634+218.35771470001396i             284.365265294008+212.6970714114387i
135                                               307.72644826618654+234.57616175988647i            306.5813764205533+228.25462399846842i             305.42491999813865+222.05708639808154i            304.25677589524634+215.97709329019426i            303.07742836310894+210.01342025802995i
140                                               327.2872660057166+232.08482101583786i             325.970759962974+225.43740171089738i              324.6414047100214+218.9200731763654i              323.29885892054074+212.52611678963285i            321.94368773635534+206.25431175840146i
145                                               347.0185481674099+228.52250041113905i             345.5133245153887+221.5439231181175i              343.99368996422135+214.7017872178668i             342.45926262251356+207.98911031692612i            340.9106984343633+201.40467932272495i
150                                               366.86953199098957+223.8742377310692i             365.1573909758881+216.5598353151783i              363.42918503307436+209.38850870543888i            361.6844895139359+202.35301110135626i             359.9240619197376+195.45214101002023i
155                                               386.7885077024223+218.12751156897735i             384.85035010462053+210.4732958272286i             382.8943875826208+202.9690986816616i              380.9201507265568+195.6074084636303i              378.92851023262733+188.38703895309138i
160                                               406.7229755318446+211.27227055885487i             404.53882353105723+203.27500138182262i            402.3350487716748+195.43502727771525i             400.1111353109307+187.74457141650208i             397.86807959458116+180.20246623840998i
165                                               426.6197937623904+203.3009530290051i              424.1688157957628+194.9582069462457i              421.69632939104935+186.78039204199808i            419.20177057249924+178.75946618660404i            416.6862750373698+170.89428351975198i
