% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 21 2017, 02:49
% Table:              Table 5 - tu_g2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*a (N)                g_center=0.24, acpr.p_t*2*pi*a (N)                g_center=0.26, acpr.p_t*2*pi*a (N)                g_center=0.28, acpr.p_t*2*pi*a (N)                g_center=0.3, acpr.p_t*2*pi*a (N)
100                                               475.23671000974645+1280.5674704734095i            518.1616092570998+1380.3109314314447i             561.0360056867484+1477.734247677051i              603.8589111513262+1572.9169856605417i             646.6293955061174+1665.9412817287048i
105                                               523.5936555552223+1334.484381565918i              570.854968556524+1438.1902957531777i              618.0549877184337+1539.442668631028i              665.1925227904223+1638.3250771359083i             712.2664547701979+1734.9238310872465i
110                                               573.9346571374597+1387.0325952258245i             625.7038959325713+1494.562252006154i              677.399452016378+1599.5026462337232i              729.0199040509175+1701.941376934036i              780.5639172424459+1801.968943980018i
115                                               626.2347866708589+1438.1564778134823i             682.6804071878114+1549.3656873960958i             739.0382168331311+1657.8475273527129i             795.3065319186582+1763.693632555897i              851.4837728499435+1866.998711912224i
120                                               680.4651110464898+1487.800116396855i              741.7521245258719+1602.539217149858i              802.9353140838027+1714.4104003992497i             864.012700126445+1823.5093529783774i              924.9824271665567+1929.935014387577i
125                                               736.5931067201957+1535.9079312823137i             802.8827303850552+1654.0218534223181i             869.0504827151854+1769.1248207485232i             935.0940523606841+1881.3165907124994i             1001.0112747932614+1990.7003577387086i
130                                               794.5830568888232+1582.42512155574i               866.0324022587785+1703.7534919375303i             937.3396414642085+1821.9253385799548i             1008.5020932627519+1937.044510950735i             1079.5172488884664+2049.218485682745i
135                                               854.3964189815883+1627.2979855656968i             931.1582151048855+1751.6752620761335i             1007.755326473165+1872.747878661148i              1084.1846615459551+1990.6238011317228i            1160.4433301143931+2105.414818777521i
140                                               915.992157678447+1670.474147905821i               998.2145061240351+1797.7297748873834i             1080.2470881066272+1921.5300094507702i            1162.0863591486534+2041.986961207935i             1243.729008402446+2159.216765900861i
145                                               979.3270428767197+1711.9027165846799i             1067.1532012568339+1841.8612948328778i            1154.7618462595537+1968.2111294767335i            1242.1489356161194+2091.0685047104666i            1329.310696733694+2210.5539400657667i
150                                               1044.355914238213+1751.5343879726827i             1137.9241051777726+1884.0158544984602i            1231.2442060582546+2012.7325918456809i            1324.3116298104626+2137.8050930976106i            1417.1220991035566+2259.3583026470433i
155                                               1111.0319149357242+1789.3215126809234i            1210.4751576475105+1924.1413266091458i            1309.6367370796452+2055.037782421293i             1408.5114722397532+2182.1356201152084i            1507.0945362612308+2305.5642539486003i
160                                               1179.3066976210546+1825.2181321200353i            1284.7526595050813+1962.1874639941025i            1389.8802196092902+2095.072163211051i             1494.6835518495648+2224.0012586272146i            1599.1572332917003+2349.108683497094i
165                                               1249.1306055475104+1859.1799930379307i            1360.701471501068+1998.1059154799682i             1471.9138614342303+2132.7832896195496i            1582.7612510138715+2263.3454792304383i            1693.2375730475285+2389.9309900113194i
170                                               1320.452831615467+1891.16454552248i               1438.2651890034886+2031.8502236966954i            1555.6754884205543+2168.1208080571423i            1672.6764522269632+2300.1140476603546i            1789.2613192085491+2427.973078614209i
175                                               1393.2215577918403+1921.1309286201897i            1517.3862952250558+2063.3758093399733i            1641.101711775417+2201.0364388250473i             1764.359719612459+2334.255006295738i              1887.1528122717873+2463.1793409371694i
180                                               1467.3840770540464+1949.0399467481825i            1598.00629533873+2092.639945345995i               1728.1280745419356+2231.4839480575765i            1857.7404580194993+2365.7186438443996i            1986.8351414518436+2495.49662253169i
185                                               1542.8868997286381+1974.854039383096i             1680.0658335159526+2119.6017237232054i            1816.6891795247361+2259.4191116600555i            1952.7470520351353+2394.4574563717824i            2088.230295015731+2524.874180986711i
190                                               1619.6758458436163+1998.5372459799353i            1763.5047946490613+2144.222017151076i             1906.7188005760197+2284.799673570116i             2049.306987034957+2420.4261022068067i             2191.2592912657383+2551.263637433292i
195                                               1697.6961248774483+2020.05516769508i              1848.2623922794544+2166.463437079323i             1998.149978881161+2307.585300216139i              2147.3469539898256+2443.5813527359496i            2295.842292096315+2574.618923656749i
200                                               1776.892404153285+2039.3749272065963i             1934.277244089599+2186.2902897521085i             2090.9151057034746+2327.737532718218i             2246.7929396677227+2463.882040738247i             2401.898700798044+2594.8962265629434i
205                                               1857.2088669496181+2056.4651277122584i            2021.4874361246339+2203.6685313243547i            2184.9459928966876+2345.2197380931743i            2347.5703035704705+2481.289007690249i             2509.347245619942+2612.0539315311016i
210                                               1938.58926131722+2071.295812021669i               2109.830576837951+2218.5657230843303i             2280.173932319607+2359.997060598006i              2449.6038429009895+2495.765051177434i             2618.1060504341335+2626.0525658925562i
215                                               2020.9769404968006+2083.838422508376i             2199.243841932585+2230.950987622874i              2376.5297452494756+2372.036374089623i             2552.8178466953395+2507.2748734477373i            2728.092693749509+2636.8547436435247i
220                                               2104.314895769641+2094.065762614286i              2289.6640109194295+2240.7949667087487i            2473.9438227814844+2381.3062362476276i            2657.136140202427+2515.7850319528425i             2839.224257242716+2644.425112306475i
