% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 21 2017, 02:48
% Table:              Table 1 - tu_t (acpr.p_t*2*pi*r)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*r (N)                g_center=0.24, acpr.p_t*2*pi*r (N)                g_center=0.26, acpr.p_t*2*pi*r (N)                g_center=0.28, acpr.p_t*2*pi*r (N)                g_center=0.3, acpr.p_t*2*pi*r (N)
100                                               192.47521753772884+6924.119951983511i             192.44805579216276+6924.152712602643i             192.42031194399226+6924.130678171249i             192.39197377389672+6924.1772938712i               192.36301147862028+6924.188125245987i
105                                               212.69996699852152+7269.674591354007i             212.67485660951587+7269.709284267084i             212.64923757597026+7269.686436170749i             212.62310202079024+7269.735690408156i             212.59641779509474+7269.747371373339i
110                                               233.8441745742252+7615.1661489731905i             233.82087311439628+7615.202732651385i             233.79713617036353+7615.179020480281i             233.7729605588503+7615.230857438505i              233.74831133758065+7615.243323674935i
115                                               255.91191347567587+7960.594998000751i             255.8902021078569+7960.633490284585i              255.86812823295696+7960.608923274773i             255.84569373523618+7960.663347247466i             255.8228603587643+7960.676594880786i
120                                               278.90636440826734+8305.960806019466i             278.88605417390767+8306.001276654462i             278.8654544418891+8305.975916051468i              278.8445725629738+8306.03298363947i               278.82336637049804+8306.047061267447i
125                                               302.82992763472936+8651.26279404023i              302.81086445546083+8651.305357605208i             302.79158509716115+8651.27930942373i              302.77210280320526+8651.339122120382i             302.7523708261664+8651.354123228115i
130                                               327.68434075862655+8996.499927267465i             327.66640947105424+8996.544736483062i             327.64833593508837+8996.518144638732i             327.63013974459744+8996.580841789153i             327.6117688205081+8996.596897534362i
135                                               353.47079395795726+9341.671053163385i             353.45392160810883+9341.71829250232i              353.4369818530803+9341.691332257262i              353.4200011262656+9341.757084330731i              353.4029211870312+9341.77435665271i
140                                               380.1900380668774+9686.774998901603i              380.1741966307287+9686.824878442347i              380.1583638123931+9686.797750089225i              380.1425734093582+9686.866752198306i              380.12676010130826+9686.88542717228i
145                                               407.8424831820437+10031.810637629893i             407.8276918116931+10031.86338706032i              407.81298647247814+10031.836309770284i            407.79840888186686+10031.908775360605i            407.78388563890576+10031.929056730442i
150                                               436.42828683358124+10376.77693078219i             436.41461369111653+10376.832793493342i            436.40110551097365+10376.805999256567i            436.38781252257775+10376.882153897113i            436.37465214716156+10376.904256719634i
155                                               465.9474315546033+10721.672952067962i             465.9349952621549+10721.732179270095i             465.92280440415885+10721.705906871885i            465.9109183453163+10721.785982087804i             465.8992441392357+10721.810126430755i
160                                               496.3997921531861+11066.497897475525i             496.38876286248075+11066.560742290927i            496.3780609132623+11066.535231273068i             496.36775546340465+11066.619458381412i            496.3577419085742+11066.645863036316i
165                                               527.7851932102349+11411.25108466725i              527.7757932772502+11411.317796169249i             527.7668037749521+11411.293280750635i             527.7583043421056+11411.381884665074i             527.7501773229626+11411.410760840661i
170                                               560.1034574534801+11755.93194441835i              560.0959616954366+11756.002761594065i             560.0889602155654+11755.979464533677i             560.0825438542613+11756.0726575273i               560.0765804018105+11756.104202521965i
175                                               593.3544456810372+12100.540006187694i             593.3491811823022+12100.61515182805i              593.3444949549013+12100.593278223572i             593.3404897915726+12100.691253647623i             593.3370173179094+12100.725644492602i
180                                               627.5380889115568+12445.074879481244i             627.5354343435495+12445.154553999264i             627.5334413669032+12445.134285042528i             627.5322255064086+12445.23721101697i              627.5316204976887+12445.274598113676i
185                                               662.6544134124371+12789.536232357554i             662.654797833822+12789.620607565425i              662.6559254485537+12789.602094269869i             662.657925323679+12789.710107370896i              662.6606114649219+12789.750608149969i
190                                               698.7035592306278+13133.923768163348i             698.707460332154+13134.012981033728i              698.7121832267601+13133.996337972823i             698.7178713647885+13134.109536956335i             698.72431706102+13134.153229592757i
195                                               735.6857928072249+13478.237201395412i             735.6937345764351+13478.331347853493i             735.7025721964949+13478.316646954365i             735.7124643715209+13478.4350865606i               735.7231796514889+13478.482003799561i
200                                               773.6015142470433+13822.476233434083i             773.6140640255053+13822.575362229481i             773.6275773623855+13822.562626674506i             773.6422291230155+13822.686311564194i             773.6577618967237+13822.736434709894i
205                                               812.4512597714867+14166.640528765272i             812.4690246892815+14166.744635478119i             812.4878124386296+14166.733833768567i             812.5078149884849+14166.862712659904i             812.5287466603389+14166.915965796381i
