% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 15 2017, 19:50
% Table:              Table 7 - tu_g3 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
100                                               385.2163811481662+823.5210303994701i              384.7469649641092+805.0583848705545i              384.26890189761673+787.2142567662763i             383.78216348440617+769.9538403170482i             383.2868307525145+753.2497790823218i              382.7828906296509+737.072371908282i               382.27024686880947+721.3902744547194i             381.7490834632279+706.1859098248773i              381.2193022366718+691.4316587969591i              380.6809012313635+677.10529188372i
105                                               423.8810129300314+854.8680950579688i              423.30569315439317+835.3263164802686i             422.71986540526007+816.4345301558492i             422.12350000204333+798.1561956503829i             421.51670141290384+780.4626337620547i             420.8994588859031+763.3226681871321i              420.271659902807+746.7033670026976i               419.6335350893999+730.5863526578389i              418.98496965210944+714.9426045176567i             418.32596664341264+699.748793632948i
110                                               464.04450176169286+884.8806035905685i             463.34806591672674+864.238955584796i              462.63900639099165+844.2789244651626i             461.9172927829061+824.9622371635933i              461.1830570882096+806.258899077295i               460.4362919049721+788.1362613309097i              459.67686678994187+770.5598028936477i             458.9050664810483+753.5103573063597i              458.1207578944725+736.9575009897347i              457.32395055426565+720.8768083377182i
115                                               505.67359050620456+913.5049871660626i             504.8394063914331+891.7421892927514i              503.99020784880435+870.692805664347i              503.12596448509066+850.316832999368i              502.2468404945799+830.5829691967464i              501.3528331495185+811.4570957789063i              500.44379246510255+792.9031013549084i             499.52006568723806+774.9010429462214i             498.5814998067818+757.4190927644371i              497.628112638715+740.4317317318702i
120                                               548.7312033538313+940.6880830196081i              547.7411734298723+917.7823840359919i              546.7334429522898+895.6220945237295i              545.7079825508283+874.1654838203045i              544.6649939269383+853.3799507821323i              543.6044806966379+833.2299107185096i              542.5262718050714+813.6776609193954i              541.4307863774948+794.7024949239357i              540.3178499424902+776.2711797612012i              539.1874908188004+758.3571064688941i
125                                               593.1768223656135+966.3776313636969i              592.0113421038719+942.306883229472i               590.8251596674583+919.0137650345295i              589.6182480618968+896.454822004642i               588.3908525094478+874.596162974166i               587.1429850366264+853.4007408592424i              585.8744521206335+832.8292610113252i              584.58575519593+812.8602671448854i                583.2766969289789+793.4591204667529i              581.9473188165009+774.5981261270421i
130                                               638.9668420403068+990.5226383003758i              637.6047618888538+965.2643709306329i              636.2186426959508+940.8162088241892i              634.8084615835334+917.13297683022i                633.3745140792364+894.1795033457538i              631.9168231438545+871.9172831724552i              630.4351715719062+850.3054294592569i              628.9301546680053+829.3217503773229i              627.4015510285201+808.9302010247443i              625.8494185227152+789.1020050816496i
135                                               686.0548942502967+1013.0736394408092i             684.473484993002+986.6051362194044i               682.8643453233872+960.979500314546i               681.2274586738704+936.1498404110704i              679.56317849967+912.0797146277092i                677.8715417358469+888.7291644005065i              676.1523065192538+866.0557108045497i              674.4061747965962+844.0364413454137i              672.6329001336501+822.6339051064681i              670.8325605549799+801.8182491553343i
140                                               734.3921415219415+1033.9828900946345i             732.5670628612029+1006.2812641810747i             730.7101892886748+979.4555884932314i              728.8215132507697+953.4572602702566i              726.9014546668928+928.2485780828557i              724.9500680661731+903.7881352352503i              722.9670862495148+880.0318612698287i              720.9533318732239+856.9561384883643i              718.9085328229014+834.522110457448i               716.8327917050842+812.6988529284927i
145                                               783.9275395687241+1053.204501157513i              781.8328118408335+1024.2467725926758i             779.701833713989+996.1984344131417i               777.5346099267065+969.0091776470464i              775.3316363868634+942.6400526179676i              773.0929894907206+917.0482102298191i              770.8183763802782+892.187989468982i               768.508755873002+868.0350834510854i               766.1638298888565+844.5492311510261i              763.7837307784031+821.6984427427249i
150                                               834.6080714693537+1070.6945347606688i             832.2160504428017+1040.4577083881577i             829.782915574727+1011.1641084630168i              827.3086878273111+982.7617255709614i              824.7939496870102+955.21037365665i                822.2388044124381+928.4657674566082i              819.6429335935829+902.4806568354677i              817.0074491175161+877.2300622742953i              814.3320271032247+852.6723195183105i              811.6168356022631+828.7743793430841i
155                                               886.3789564337885+1086.4110700211102i             883.6603111494611+1054.8722142003703i             880.8952647001702+1024.31085770339i               878.0838589218365+994.673296983614i               875.226774615946+965.9181220302571i               872.3241476974671+937.9996181581901i              869.3756348071869+910.8689480151554i              866.3825193721456+884.5004764958824i              863.3444523812533+858.851137934173i               860.2616444251761+833.8868303269815i
160                                               939.1838361406658+1100.314246453316i              936.1075298127821+1067.4505725458077i             932.9790963545955+1035.5991508088298i             929.7986039243614+1004.7045904239633i             926.5668446136251+974.724270398232i               923.2839936632803+945.611053874456i               919.9496839370667+917.314518673479i               916.5653905206342+889.8083916152399i              913.1307405344427+863.0482079067003i              909.6459949032162+836.9988198077484i
165                                               992.9649414761749+1112.3662906099576i             989.4982154454116+1078.1552331961386i             985.9731842266676+1044.9917061579592i             982.389948630532+1012.8186388202936i              978.7494263270293+981.5922127032194i              975.0518395191376+951.2638765392264i              971.2967991159925+921.7816262045723i              967.4859937200279+893.1185683796862i              963.6190285116782+865.2288418916141i              959.696223595094+838.076260724372i
170                                               1047.6632421694292+1122.531530069654i             1043.7716029404394+1086.95082784324i              1039.815016367054+1052.4535071486841i             1035.7936232063007+1018.9808254253502i            1031.708482410014+986.4877807131879i              1027.5598718186918+954.9244155924749i             1023.347382947044+924.237147368506i               1019.0729416074213+894.3984809006074i             1014.7361337252469+865.3611618471188i             1010.3373485557423+837.0879737705594i
175                                               1103.2185815076014+1130.776397828578i             1098.8657908886628+1093.804175094447i             1094.4409362489878+1057.9518077815471i            1089.9442066351812+1023.158889957466i             1085.3768194899153+989.379250671307i              1080.7391181077667+956.5615350964172i             1076.0306779791354+924.6505858387777i             1071.2536877595503+893.6183245735659i             1066.4077176386115+863.4161074700403i             1061.4932372214419+834.0056958873889i
180                                               1159.5697979827394+1137.0694293884485i            1154.717866354975+1098.6842781054156i             1149.7862708111707+1061.4561307859558i            1144.77525817274+1025.3229271882701i              1139.6862231834366+990.2373423040518i             1134.5195856326934+956.1466331192427i             1129.2749092705383+922.9940718948169i             1123.9546732577091+890.7510160330088i             1118.5584364979209+859.3674363422799i             1113.0867614595113+828.8040805342316i
185                                               1216.6548354427227+1141.3812543227714i            1211.2640181830875+1101.5623165889217i            1205.7854470545496+1062.938260048219i             1200.2194373762065+1025.4453797284266i            1194.5675817018398+989.0352119240836i             1188.8303886785732+953.6536350908314i             1183.0074155983252+919.2423559807326i             1177.101461925235+885.7721868393345i              1171.1120807482835+853.1917176702592i             1165.0399413239218+821.4606914040095i
190                                               1274.4108430525569+1143.684583669252i             1268.4396401374372+1102.4116345699144i            1262.3720985034472+1062.3722286711077i            1256.2086140245433+1023.5010263619607i            1249.950999371651+985.7484409625475i              1243.5998658351334+949.0589824801949i             1237.1547706225106+913.3727974508984i             1230.618865538537+878.6601722145854i              1223.991704443277+844.8683209435642i              1217.2740788130814+811.9559909014228i
195                                               1332.7742662016542+1143.9541942528697i            1326.1794250067321+1101.2077249767783i            1319.4791626437259+1059.7343037819187i            1312.673969034125+1019.4669669922902i             1305.765901172282+980.3550210054146i              1298.7556882957203+942.3416178413261i             1291.6428950985128+905.3653495543099i             1284.4310600942101+869.3959958846748i             1277.1197457194758+834.3794005280847i             1269.7098827079408+800.2733244084936i
200                                               1391.6809292970395+1142.1669108295782i            1384.4174506150136+1097.928211939377i             1377.0389702916002+1055.0029689312678i            1369.546087316645+1013.3226050835964i             1361.941129225528+972.8353361944602i              1354.2249601267108+933.4829671060891i             1346.397161059432+895.2025415204872i              1338.4616940630885+857.9633518720489i             1330.4181392679648+821.7098770754089i             1322.267585402774+786.398901192723i
205                                               1451.0661112692467+1138.3015867728845i            1443.087258561534+1092.5528315429688i             1434.983327692082+1048.1589048356454i             1426.7550433873987+1005.0496283187864i            1418.4050320466383+963.1721437249882i             1409.9343112973645+922.466919822509i              1401.342488782606+882.8694584673709i              1392.633989419799+844.3485839565525i              1383.8084215686315+806.8474164325695i             1374.8670525025466+770.3217726527514i
210                                               1510.8646145234113+1132.3390839507945i            1502.1219264089216+1085.0634116477634i            1493.2435920929593+1039.184969075682i             1484.2304804446612+994.6319880932153i             1475.0855472698317+951.3505530487307i             1465.8099841935268+909.2798079768462i             1456.4034372153437+868.3537197251296i             1446.870836136119+828.5406634118359i              1437.2118295964601+789.7824066624514i             1427.427885866922+752.0338085065723i
215                                               1571.0108279818069+1124.2622523103664i            1561.4541339770121+1075.4438513201806i            1551.7507414070044+1028.06617528162i              1541.9016835468915+982.0558783739086i             1531.9102784725535+937.3580043033598i             1521.777914220556+893.9103839029798i              1511.5042885031335+851.6454561162013i             1501.094880755357+810.5311655291468i              1490.5493935781767+770.5079336977998i             1479.8695206955033+731.529671439624i
220                                               1631.4387848192646+1114.0559096611694i            1621.0162243276143+1063.6801003362327i            1610.4354385817796+1014.7896722834838i            1599.6976474879948+967.3097143888848i             1588.8065666871+921.1842464552903i                1577.7638050822534+876.3497977494577i             1566.569127168804+832.7372866432637i              1555.2286096134346+790.3142453974443i             1543.7420243781169+749.0197560867446i             1532.1113172108307+708.8067906677849i
225                                               1692.0822154533957+1101.706822042651i             1680.7402599982452+1049.7601391701728i            1669.228091204011+999.344723614482i               1657.547139903122+950.3841115555072i              1645.701557136243+902.8213155272505i              1633.6931992781733+856.5915749077984i             1621.5219144892305+811.624294978551i              1609.1944272141434+767.8866133377543i             1596.710596015694+725.3162792149112i              1584.072647435146+683.8653348180585i
230                                               1752.8745963204854+1087.203685052281i             1740.5580750175786+1033.6739598178842i            1728.0589068751108+981.7226877320171i             1715.3787601322197+931.271864987531i              1702.522261704299+882.2635132843362i              1689.4915442977747+834.6315937459577i             1676.286558550022+788.3040061237372i              1662.914730272432+743.2475103341235i              1649.3760238013388+699.3985293753543i             1635.6729775487684+656.7081844635719i
235                                               1813.749194945781+1070.5371064289766i             1800.4013232078369+1015.4135477621446i            1786.8579448631697+961.9169992639665i             1773.1209943334022+909.9679299003888i             1759.1956176373722+859.5073866772095i             1745.0842550352493+810.468063958341i              1730.786980478703+762.7763635248851i              1716.3119778802195+716.3986837733497i             1701.6593385597912+671.2701279750357i             1686.8319462799204+627.3409046421078i
240                                               1874.6391118184717+1051.6995901453786i            1860.2015232652766+994.9728653390894i             1845.5551645138364+939.9231515211422i             1830.7022673420356+886.4694031610766i             1815.6485429589266+834.5517082940684i             1800.3967728687173+784.1015057811686i             1784.947177315991+735.0437069083428i              1769.3087582734863+687.3443637514741i             1753.481757401728+640.9372661405329i              1737.469439788286+595.7717175909884i
245                                               1935.47731956269+1030.685522240778i               1919.8901011239466+972.3478367145485i             1904.080470907232+915.7386805114047i              1888.0509917400557+860.7755062014385i             1871.8079890637675+807.3974580394192i             1855.3546218908837+755.5347302996332i             1838.6912819768304+705.1107510613314i             1821.8278526390773+656.0912401561153i             1804.7647514756218+608.4086799466403i             1787.5056634588163+562.011475938991i
250                                               1996.1966998699195+1007.4911585359828i            1979.398430056081+947.5363346394795i              1962.3637582406461+889.3631506012509i             1945.0956146153615+832.8875694542943i             1927.6009909600884+778.047806205957i              1909.883462733312+724.7728210007988i              1891.9436207709691+672.9845656998492i             1873.792296417422+622.6484406980644i              1855.4301111505226+573.6956264261119i             1836.8612110610634+526.0736365164876i
